category,config_key,config_label,pct_tasks_affected,workers_affected,wages_affected
Customer Service Representatives,agentic_confirmed,Agentic Confirmed,54.54,1486793.37,63679359971.13
Retail Salespersons,agentic_confirmed,Agentic Confirmed,37.64,1430228.67,49457307282.99
"Office Clerks, General",agentic_confirmed,Agentic Confirmed,51.24,1286445.87,56127633348.66
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",agentic_confirmed,Agentic Confirmed,49.12,853593.13,39512825915.85
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",agentic_confirmed,Agentic Confirmed,59.56,754545.81,50388568864.34
Accountants and Auditors,agentic_confirmed,Agentic Confirmed,46.01,666306.56,54423920226.68
Human Resources Specialists,agentic_confirmed,Agentic Confirmed,63.88,586058.07,42729493555.29
First-Line Supervisors of Office and Administrative Support Workers,agentic_confirmed,Agentic Confirmed,38.90,581711.03,38474367331.53
Cashiers,agentic_confirmed,Agentic Confirmed,18.39,579023.55,18059744527.38
First-Line Supervisors of Retail Sales Workers,agentic_confirmed,Agentic Confirmed,48.44,539172.34,25513635212.58
"Elementary School Teachers, Except Special Education",agentic_confirmed,Agentic Confirmed,38.60,537798.77,33526375446.15
"Secondary School Teachers, Except Special and Career/Technical Education",agentic_confirmed,Agentic Confirmed,48.06,515443.89,33287366336.23
Computer User Support Specialists,agentic_confirmed,Agentic Confirmed,69.54,484833.56,29254857153.45
Receptionists and Information Clerks,agentic_confirmed,Agentic Confirmed,50.12,483428.62,17998047626.32
"Bookkeeping, Accounting, and Auditing Clerks",agentic_confirmed,Agentic Confirmed,33.02,480671.15,23653827139.08
Baristas,agentic_confirmed,Agentic Confirmed,23.07,456092.87,13901710815.96
Medical Secretaries and Administrative Assistants,agentic_confirmed,Agentic Confirmed,46.95,390011.98,17410134906.47
Computer and Information Systems Managers,agentic_confirmed,Agentic Confirmed,53.35,344616.99,58998429474.17
Investment Fund Managers,agentic_confirmed,Agentic Confirmed,66.18,339606.37,54914350548.91
Market Research Analysts and Marketing Specialists,agentic_confirmed,Agentic Confirmed,77.33,332939.66,25619706473.73
