category,pct_tasks_affected,workers_affected,wages_affected
Scheduling Work and Activities,82.45,1306076.61,64499483330.46
Working with Computers,78.39,1984398.45,143670378374.16
Performing Administrative Activities,61.75,4399709.38,185639222313.59
Communicating with People Outside the Organization,58.83,2923380.49,143761039658.76
Documenting/Recording Information,53.21,8503504.04,502122067681.70
Selling or Influencing Others,46.05,933231.25,47337670099.56
Analyzing Data or Information,43.63,2463864.08,235828892373.63
Performing for or Working Directly with the Public,42.97,1565320.12,76159350059.14
Processing Information,40.73,1714656.94,92914816857.89
"Identifying Objects, Actions, and Events",40.17,549835.09,30497896786.61
Establishing and Maintaining Interpersonal Relationships,38.89,97030.31,8524400976.22
Interpreting the Meaning of Information for Others,34.73,1633487.42,83334058455.84
Thinking Creatively,34.68,2497557.87,233161772373.52
"Organizing, Planning, and Prioritizing Work",34.42,330799.58,24152120927.88
Developing Objectives and Strategies,34.34,763308.99,78326223808.40
Staffing Organizational Units,32.50,364962.09,25663069147.54
Evaluating Information to Determine Compliance with Standards,29.86,655768.25,38961433090.91
Making Decisions and Solving Problems,29.79,2750706.81,170469309079.46
Monitoring and Controlling Resources,29.74,2294861.55,125842075783.02
"Judging the Qualities of Objects, Services, or People",29.08,1133819.40,100240615163.27
Getting Information,24.58,1922229.18,124227022012.47
Updating and Using Relevant Knowledge,23.47,404341.19,32580470132.72
"Estimating the Quantifiable Characteristics of Products, Events, or Information",23.14,969980.69,50560090901.27
Providing Consultation and Advice to Others,22.04,1738089.77,131701041562.45
Resolving Conflicts and Negotiating with Others,21.87,319731.46,25100341518.31
"Monitoring Processes, Materials, or Surroundings",21.78,1987601.55,143582251902.22
"Communicating with Supervisors, Peers, or Subordinates",19.47,2006885.31,135918039509.40
"Guiding, Directing, and Motivating Subordinates",18.05,3584424.20,328525792866.21
Controlling Machines and Processes,17.64,1567432.35,73502686681.44
"Inspecting Equipment, Structures, or Materials",10.29,761287.57,55465254001.61
Assisting and Caring for Others,9.88,1205329.55,56672520386.32
Training and Teaching Others,9.59,539869.45,32003099288.34
"Operating Vehicles, Mechanized Devices, or Equipment",7.83,170293.66,10501825848.09
Coaching and Developing Others,5.61,38163.57,3208267965.35
Handling and Moving Objects,5.58,883541.99,40599134516.53
Repairing and Maintaining Mechanical Equipment,4.76,279391.54,20549519214.85
Performing General Physical Activities,4.70,636683.03,27523855849.79
