category,pct_tasks_affected,workers_affected,wages_affected
Schedule appointments.,94.24,853878.85,39520873753.22
Design databases.,84.74,99251.06,10377585140.16
Process digital or online data.,82.95,784317.16,50595645134.96
Implement security measures for computer or information systems.,81.74,137139.71,14779470084.53
Prepare schedules for services or facilities.,81.33,169062.95,8104085599.18
Program computer systems or production equipment.,75.82,219078.70,17949580033.71
"Set up computer systems, networks, or other information systems.",73.40,193446.63,16357420790.18
Monitor operation of computer or information technologies.,73.30,352000.57,34561563439.01
Design computer or information systems or applications.,72.38,648368.26,70130708552.45
Record information about environmental conditions.,72.26,10246.68,352145166.28
Calculate financial data.,72.23,444616.69,25835739943.67
Alter audio or video recordings.,71.20,25420.98,1677178561.57
Test performance of computer or information systems.,70.97,211634.61,21079927127.31
Analyze market or industry conditions.,70.89,404762.89,36472114061.57
Execute financial transactions.,70.32,3192400.12,124690786952.08
Resolve computer problems.,69.97,260006.50,24200878345.98
Maintain sales or financial records.,69.90,1243037.44,51040040333.78
Operate computer systems or computerized equipment.,69.45,402255.75,20654515397.18
"Prepare documentation for contracts, applications, or permits.",69.28,1175548.79,57218328727.79
Maintain operational records.,68.58,3683542.55,210279427240.61
Gather information for news stories.,67.66,6548.86,365887456.69
Analyze business or financial data.,66.60,648021.61,58248589747.93
Analyze data to improve operations.,66.43,769175.03,74148171824.69
Assign work to others.,65.95,865443.82,63136675146.24
Create visual designs or displays.,65.64,506119.59,38606107977.17
"Provide information to guests, clients, or customers.",65.31,2870148.63,139744582186.05
"Document technical designs, procedures, or activities.",65.20,152114.89,15214967651.59
Operate office equipment.,64.21,604884.66,27598687675.64
Edit written materials or documents.,64.05,95521.48,8310931899.05
Operate communications equipment or systems.,63.58,213555.53,10797914739.99
Gather information from physical or electronic sources.,62.71,369481.71,20373688435.17
Write material for artistic or commercial purposes.,61.18,145150.70,10601113859.36
"Develop models of systems, processes, or products.",61.17,57275.34,6609971200.75
Explain technical details of products or services.,60.70,1100862.26,49392342940.67
Analyze scientific or applied data using mathematical principles.,60.62,125023.71,14650945117.44
Obtain information about goods or services.,60.54,20451.06,1538562510.16
Schedule operational activities.,60.40,285388.93,17148264028.83
Determine values or prices of goods or services.,60.12,1713773.94,75707498038.07
"Compile records, documentation, or other data.",59.89,501291.60,31188100577.83
Develop marketing or promotional materials.,57.94,128671.57,9519121729.17
Perform administrative or clerical activities.,57.61,805518.09,41892929476.14
Record images with photographic or audiovisual equipment.,56.88,6127.41,423632638.12
Present research or technical information.,56.34,376949.24,29670774550.38
Operate audiovisual or related equipment.,56.16,101369.99,4706488118.83
Analyze business or financial risks.,56.01,131738.43,12080633490.24
Evaluate scholarly work.,55.33,1122.31,87948705.66
Advise others on the design or use of technologies.,54.36,349235.33,32523738737.88
Identify business or organizational opportunities.,53.79,231691.90,17782539798.81
"Monitor external affairs, trends, or events.",53.27,166719.80,13322993995.57
Analyze environmental or geospatial data.,52.80,29587.62,2597955200.85
Collect fares or payments.,52.40,825368.19,38989170592.91
Respond to customer problems or inquiries.,51.77,1529377.93,74406164177.31
"Promote products, services, or programs.",51.58,543834.51,29567509641.05
"Investigate individuals' background, behavior, or activities.",51.33,19114.28,1065004412.06
"Explain regulations, policies, or procedures.",50.98,427772.19,26430561215.97
Issue documentation.,49.01,60017.21,2831485016.22
Examine materials or documentation for accuracy or compliance.,48.75,432519.57,23959020113.60
"Evaluate the characteristics, usefulness, or performance of products or technologies.",48.72,188034.69,20139084069.21
"Assess student capabilities, needs, or performance.",47.92,373660.88,24731253539.43
Analyze performance of systems or equipment.,47.88,60563.41,5310460856.38
Manage budgets or finances.,46.94,407192.17,53032964623.84
Develop scientific or mathematical theories or models.,46.74,23187.85,2289016960.89
Authorize business activities or transactions.,46.60,158563.98,19874268566.96
Remove workpieces from production equipment.,46.52,81338.69,3352425239.28
Conduct amusement or gaming activities.,45.02,24911.52,834129619.44
"Interpret language, cultural, or religious information for others.",44.77,19264.65,1143347613.73
"Replenish inventories of materials, equipment, or products.",44.44,365298.82,23241079246.76
Process shipments or mail.,44.15,415173.79,19609080944.10
Advise others on products or services.,44.09,755620.71,46992869607.76
Prepare proposals or grant applications.,43.80,66177.62,5494788751.71
Prepare health or medical documents.,43.39,259179.29,11739468602.81
Develop business or marketing plans.,43.16,294923.10,33941620046.01
Evaluate project feasibility.,43.12,32792.14,5337909323.72
Evaluate the quality or accuracy of data.,43.10,682451.84,37340988031.96
Sell products or services.,42.84,402283.50,18073959554.72
Develop technical specifications for products or operations.,42.24,73696.54,7166545819.99
Prepare informational or instructional materials.,42.20,391048.28,26095726034.12
Research issues related to earth sciences.,41.39,3734.41,318437063.98
Prepare reports of operational or procedural activities.,40.73,288484.28,24170919164.62
Collect data about consumer needs or opinions.,40.62,319184.54,16334222012.09
Develop financial or business plans.,40.01,26489.14,2041877919.13
Monitor resources or inventories.,39.99,401122.71,21853603403.75
Provide information or assistance to the public.,39.65,72862.77,4836307444.76
"Develop news, entertainment, or artistic content.",39.46,16932.07,1180640741.60
Direct scientific or technical activities.,39.44,226680.99,22849880324.98
Develop professional relationships or networks.,38.89,97030.31,8524400976.22
Draft legislation or regulations.,38.64,6960.64,1021816236.39
"Evaluate designs, specifications, or other technical data.",38.59,143954.73,15411809304.04
Plan work activities.,38.13,281746.87,19879494282.56
Explain financial information.,38.03,80102.69,6205242054.91
"Research laws, precedents, or other legal data.",37.86,78182.58,11068777545.85
Develop operational or technical procedures or standards.,37.78,432226.36,44080027032.44
Evaluate personnel capabilities or performance.,37.00,210125.93,20459439687.28
Monitor financial data or activities.,36.92,254428.12,21069529471.88
Record information about legal matters.,35.91,60966.60,3845045960.48
Advise others on financial matters.,35.53,75144.96,6690313676.19
Prepare legal or regulatory documents.,35.51,213570.09,17690548207.80
Consult legal materials or public records.,35.41,107643.92,11051337786.34
Mark materials or objects for identification.,35.37,318143.19,12715356987.80
Obtain formal documentation or authorization.,35.13,14014.81,773468055.64
"Prepare financial documents, reports, or budgets.",35.00,286616.71,24023597902.84
Design industrial systems or equipment.,34.39,54720.90,4808833734.89
Create artistic designs or performances.,34.07,19889.44,1379616842.46
Analyze health or medical data.,33.77,230794.80,24126551847.87
Manage human resources activities.,33.76,176677.61,16041437605.89
Perform human resources activities.,33.28,108099.28,7027027001.26
Test sites or materials for environmental hazards.,32.97,9022.18,488601235.23
Maintain health or medical records.,32.88,786142.53,50462110410.84
Verify personal information.,32.15,122479.79,6849602542.40
Perform recruiting or hiring activities.,32.13,256862.81,18636042146.28
Notify others of emergencies or problems.,31.66,306306.68,18540319115.80
"Provide general assistance to others, such as customers, patrons, or motorists.",31.65,863700.22,35392857662.96
Interview people to obtain information.,31.57,206876.93,12384668854.42
"Evaluate programs, practices, or processes.",31.48,146697.09,14466726230.55
"Evaluate condition of financial assets, property, or other resources.",31.37,67892.84,5589162802.74
Develop recipes or menus.,30.74,66975.57,2723881613.85
Assess characteristics or impacts of regulations or policies.,30.40,28751.74,2514446505.70
Purchase goods or services.,30.32,549135.59,35078278675.67
Coordinate regulatory compliance activities.,30.28,40346.55,3935604859.69
Research technology designs or applications.,29.89,46182.05,4719739543.66
Determine resource needs of projects or operations.,29.77,173555.32,13963734578.00
"Assist scientists, scholars, or technical specialists with projects or research.",29.64,21889.96,1332474225.11
Communicate with others about business strategies.,29.64,128400.97,10549148451.59
Monitor equipment operation.,29.59,188485.71,12208130934.35
Design materials or devices.,29.46,6759.44,497385117.19
"Develop organizational policies, systems, or processes.",28.75,324121.99,33224380539.57
Monitor operations to ensure adequate performance.,28.74,203487.05,12727219147.91
"Distribute materials, supplies, or resources.",28.55,337317.65,16282534992.05
Manage control systems or activities.,28.31,17472.50,2532056530.46
"Coordinate activities with clients, agencies, or organizations.",27.99,93436.73,11134478709.02
"Maintain electronic, computer, or other technical equipment.",27.93,164843.75,14404833170.39
Negotiate contracts or agreements.,27.82,278020.57,20535252690.35
Sort materials or products.,27.71,194063.93,9344152591.38
Reconcile financial data.,27.71,264716.09,10629982847.19
"Coordinate group, community, or public activities.",26.98,56304.78,4263860737.84
Assist individuals with paperwork.,26.28,11965.60,585830646.07
Advise others on business or operational matters.,25.92,284244.13,24870486050.01
Operate lifting or moving equipment.,25.07,535343.38,22221362095.85
Research biological or ecological phenomena.,25.06,17402.50,1628763935.85
Develop contingency or emergency response plans.,24.86,6022.53,709399352.32
Implement procedures or processes.,24.63,160215.69,17023961382.34
Communicate with others about operational plans or activities.,24.14,1024308.33,61077541340.20
Maintain current knowledge in area of expertise.,23.47,404341.19,32580470132.72
Diagnose health conditions or disorders.,23.46,90971.48,11648089170.49
Diagnose system or equipment problems.,23.27,40415.15,2691057843.04
Investigate criminal or legal matters.,22.72,70538.22,5866264443.07
Assess characteristics of land or property.,22.48,30261.63,2118616245.46
Analyze biological or chemical substances or related data.,22.26,55287.84,4685760812.77
Investigate the environmental impact of industrial or development activities.,22.07,15657.22,1356720651.85
Gather data about operational or development activities.,21.97,91649.01,8420484813.63
Coordinate artistic or entertainment activities.,21.85,26213.80,1520818447.37
Design structures or facilities.,21.59,59729.64,5818833646.25
Coordinate with others to resolve problems.,21.17,221563.53,18624090895.09
Monitor environmental conditions.,21.16,14300.70,857412268.30
Design electrical or electronic systems or equipment.,21.13,29611.83,3040083072.31
Counsel others about personal matters.,20.97,124082.85,6684244605.73
"Research organizational behavior, processes, or performance.",20.58,51203.80,3668341472.79
Monitor traffic conditions.,20.48,972.28,73868597.39
Escort others.,20.21,16882.55,627413451.93
Operate medical equipment.,19.99,51196.53,4923500648.51
Develop research plans or methodologies.,19.96,18695.43,1852546989.12
Operate pumping systems or equipment.,19.93,18993.36,890228823.70
Direct legal activities.,19.79,20863.22,1544100749.31
Research healthcare issues.,19.60,18764.25,1988256394.17
Collaborate in the development of educational programs.,19.46,33680.37,1833286430.48
"Examine financial activities, operations, or systems.",19.39,208208.92,13514617844.60
Develop patient or client care or treatment plans.,19.02,82463.06,9237011495.80
Confer with clients to determine needs or order specifications.,18.42,31410.66,1805466153.97
Stock supplies or products.,18.40,193587.14,8316582059.43
Advise patients or clients on medical issues.,18.30,47807.67,5873020922.06
"Measure physical characteristics of materials, products, or equipment.",18.10,451041.23,18738945389.31
Communicate environmental or sustainability information.,17.91,5890.86,385018575.94
"Monitor safety or security of work areas, facilities, or properties.",17.90,268897.20,10802415598.85
Estimate project development or operational costs.,17.89,43745.59,3853895819.51
Communicate with others about specifications or project details.,17.84,114929.91,10856868556.45
Train others to use equipment or products.,17.76,144830.26,9878553963.19
Evaluate patient or client condition or treatment options.,17.55,73474.95,7454962261.66
"Direct organizational operations, activities, or procedures.",16.99,1532102.56,138396423990.43
Teach academic or vocational subjects.,16.88,239076.98,13184353974.30
Inspect completed work or finished products.,16.58,119832.33,5961355298.51
Develop organizational or program goals or objectives.,16.41,80650.54,9312443676.82
Order medical tests or procedures.,16.28,17226.75,2632670133.50
Advise others on healthcare or wellness issues.,16.14,34113.36,3705056754.34
Operate laboratory or field equipment.,15.77,8460.48,583327707.31
Package objects.,15.52,171293.01,6364600768.72
Test performance of equipment or systems.,14.69,135969.87,9418008165.59
Collect information about patients or clients.,14.57,79700.01,6592893322.92
Read documents or materials to inform work processes.,14.49,480858.99,26890586568.41
Monitor individual behavior or performance.,14.35,242035.14,17047960188.34
Maintain safety or security.,14.31,221035.59,9051469078.73
Advise others on legal or regulatory matters.,14.30,32016.39,3749153767.26
"Develop educational programs, plans, or procedures.",14.08,216847.44,13767451022.37
Investigate organizational or operational problems.,13.99,8450.72,740569651.75
Direct construction or extraction activities.,13.89,174744.32,17425780196.49
Determine operational methods or procedures.,13.89,114585.11,7753527806.43
Plan events or programs.,13.87,49052.71,4272626645.33
Perform agricultural activities.,13.69,103465.69,4006804095.33
Present arts or entertainment performances.,13.58,11030.67,919056262.40
Monitor operations to ensure compliance with regulations or standards.,13.35,131039.76,12636144903.09
Study details of artistic productions.,13.29,12713.97,839234377.62
Perform court-related or other legal administrative activities.,12.89,16627.57,1014440783.93
Mediate disputes.,12.78,14607.15,861259603.90
"Assess living, work, or social needs or status of individuals or communities.",12.66,24698.54,1501863215.20
Advocate for individual or community needs.,12.55,3342.70,309042300.56
Assist individuals with special needs.,12.38,132708.12,6021723803.13
"Move materials, equipment, or supplies.",12.05,52279.10,2083673348.21
Collect environmental or biological samples.,11.17,18420.03,1115372477.31
Resolve personnel or operational problems.,10.73,27103.74,3703829224.05
Evaluate production inputs or outputs.,10.71,20059.29,1003031703.43
Test characteristics of materials or products.,10.52,31992.60,2027335163.81
Arrange displays or decorations.,10.47,71146.27,3620001340.89
Research historical or social issues.,10.42,2460.15,431917650.17
Create decorative objects or parts of objects.,10.28,3176.11,149759579.93
Assist others to access additional services or resources.,10.07,124183.45,6068074143.16
Train others on operational or work procedures.,10.03,96091.46,6251566176.77
Direct security or safety activities or operations.,10.02,20121.61,2476884712.46
Collect samples of products or materials.,9.99,5153.33,261345326.90
Select materials or equipment for operations or projects.,9.91,180203.51,11988039730.57
Research agricultural processes or practices.,9.60,1043.20,68401052.75
Assess compliance with environmental standards or regulations.,9.59,2855.51,286843775.12
Position tools or equipment.,9.16,58443.10,2732401702.42
Signal others to coordinate work activities.,8.95,4969.61,272071600.52
Engrave objects.,8.92,413.87,19350665.77
Make legal decisions.,8.89,578.79,58735137.94
Develop sustainable organizational or business policies or practices.,8.87,7573.77,902961806.70
Repair electrical or electronic equipment.,8.81,34453.18,2362867635.88
Prepare mixtures or solutions.,8.73,107968.79,5678313483.78
Advise others on workplace health or safety issues.,8.72,2195.01,104853051.90
Follow standard healthcare safety procedures to protect patient and staff members.,8.61,12589.84,1232756449.16
"Treat injuries, illnesses, or diseases.",8.14,27768.83,5174633894.78
Monitor health conditions of humans or animals.,7.88,188476.38,11251325962.92
Apply decorative finishes.,7.87,2193.52,99655778.04
Operate transportation equipment or vehicles.,7.83,170293.66,10501825848.09
"Load products, materials, or equipment for transportation or further processing.",7.78,85279.87,3844902323.62
Administer diagnostic tests to assess patient health.,7.61,44145.19,2794369268.73
Develop health assessment methods or programs.,7.59,3869.34,497081801.42
Operate industrial processing or production equipment.,7.54,27252.32,1433370870.74
"Inspect commercial, industrial, or production systems or equipment.",7.52,76206.54,5292043368.14
