category,pct_mcp_only,workers_mcp_only,pct_aei_api,workers_aei_api,pct_conv_baseline,workers_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
Architecture and Engineering Occupations,33.58,837350.53,12.16,356359.43,40.43,1119726.49,21.42,-6.85
"Arts, Design, Entertainment, Sports, and Media Occupations",36.93,771705.47,27.08,670371.56,47.59,1176721.97,9.86,-10.65
Building and Grounds Cleaning and Maintenance Occupations,10.49,333621.39,7.21,73450.57,18.46,476603.66,3.28,-7.97
Business and Financial Operations Occupations,40.82,4184943.04,31.88,3826203.80,50.73,5465270.63,8.94,-9.91
Community and Social Service Occupations,21.74,471209.60,21.97,366330.19,47.26,961319.91,-0.23,-25.52
Computer and Mathematical Occupations,65.33,3349439.99,43.93,2271408.88,65.70,3305671.69,21.40,-0.38
Construction and Extraction Occupations,5.61,440347.16,3.24,573566.69,13.88,1338971.01,2.37,-8.27
Educational Instruction and Library Occupations,22.88,1756462.89,33.51,2649055.32,53.58,4231451.71,-10.63,-30.70
"Farming, Fishing, and Forestry Occupations",7.38,34282.11,1.26,11837.73,13.72,41214.17,6.13,-6.34
Food Preparation and Serving Related Occupations,16.57,2383375.42,7.23,1024215.52,35.56,4905325.38,9.33,-19.00
Healthcare Practitioners and Technical Occupations,14.08,1557819.93,12.43,1549717.05,29.25,3345832.72,1.65,-15.17
Healthcare Support Occupations,16.65,988491.95,9.65,545205.21,25.10,2405440.06,7.00,-8.45
"Installation, Maintenance, and Repair Occupations",11.03,734847.96,4.77,314271.55,23.91,1587023.87,6.27,-12.88
Legal Occupations,24.15,315308.77,26.85,348932.56,48.28,521711.86,-2.70,-24.13
"Life, Physical, and Social Science Occupations",27.34,403867.19,18.40,237985.78,41.77,614566.92,8.94,-14.43
Management Occupations,31.79,4060885.00,19.56,2545176.89,35.52,4787440.12,12.23,-3.73
Office and Administrative Support Occupations,54.40,10802514.14,29.02,7349907.91,51.05,11211805.50,25.39,3.35
Personal Care and Service Occupations,23.96,730018.24,9.93,317809.98,34.27,1138612.05,14.02,-10.32
Production Occupations,13.24,1106001.66,2.62,239777.24,18.31,1577975.29,10.62,-5.07
Protective Service Occupations,19.44,782057.40,10.43,540163.35,33.27,1370571.58,9.00,-13.83
Sales and Related Occupations,54.18,7123535.12,40.45,4583691.00,59.53,7574293.67,13.73,-5.35
Transportation and Material Moving Occupations,17.98,3380662.59,3.96,708892.89,17.58,2141407.07,14.01,0.40
