category,pct_mcp_only,pct_aei_api,pct_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
Data Scientists,72.12,0.00,46.04,72.12,26.08
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",70.78,0.00,38.31,70.78,32.48
Penetration Testers,61.45,0.00,50.76,61.45,10.69
Tellers,63.08,4.20,45.63,58.88,17.45
Blockchain Engineers,58.66,0.00,48.02,58.66,10.64
New Accounts Clerks,66.76,10.79,46.31,55.97,20.45
Information Security Engineers,55.56,0.00,35.06,55.56,20.50
Software Quality Assurance Analysts and Testers,72.37,18.32,49.63,54.05,22.74
Telephone Operators,62.26,9.05,52.49,53.21,9.78
Digital Forensics Analysts,52.49,0.00,45.34,52.49,7.15
Photographic Process Workers and Processing Machine Operators,53.70,1.53,20.87,52.17,32.83
Mechanical Drafters,58.60,6.90,50.12,51.69,8.48
Gas Compressor and Gas Pumping Station Operators,51.14,0.00,0.83,51.14,50.31
Web Developers,84.64,34.07,84.52,50.57,0.12
Project Management Specialists,49.30,0.00,24.05,49.30,25.24
Architectural and Civil Drafters,56.15,7.15,45.47,48.99,10.67
Court Reporters and Simultaneous Captioners,55.58,7.11,19.41,48.47,36.17
Web and Digital Interface Designers,75.23,26.92,51.24,48.32,23.99
Surveyors,46.37,0.04,33.39,46.34,12.98
"Entertainment and Recreation Managers, Except Gambling",44.57,0.00,39.76,44.57,4.81
Postal Service Clerks,44.32,0.00,28.78,44.32,15.54
Pharmacy Aides,57.55,13.38,50.04,44.18,7.51
Gambling Change Persons and Booth Cashiers,43.89,0.00,30.95,43.89,12.94
Medical Records Specialists,62.50,18.61,38.67,43.88,23.83
Public Safety Telecommunicators,51.57,7.78,34.51,43.79,17.06
Geodetic Surveyors,46.55,3.55,19.55,43.00,27.00
Sound Engineering Technicians,56.80,14.45,28.35,42.35,28.44
Cashiers,60.59,18.39,46.94,42.20,13.66
Gambling and Sports Book Writers and Runners,44.73,3.31,41.19,41.43,3.55
Payroll and Timekeeping Clerks,61.57,20.64,54.70,40.93,6.87
Remote Sensing Technicians,51.44,10.87,29.17,40.57,22.27
Software Developers,59.94,19.58,45.16,40.36,14.78
Postmasters and Mail Superintendents,52.38,12.06,17.28,40.32,35.10
"Court, Municipal, and License Clerks",60.21,20.07,40.28,40.14,19.93
Reservation and Transportation Ticket Agents and Travel Clerks,58.43,18.79,50.48,39.64,7.95
Parts Salespersons,53.34,13.80,45.85,39.54,7.49
Traffic Technicians,39.49,0.00,26.05,39.49,13.44
Commercial and Industrial Designers,40.81,1.45,58.71,39.36,-17.90
Cartographers and Photogrammetrists,45.91,6.69,39.70,39.22,6.21
Atmospheric and Space Scientists,55.89,16.99,58.78,38.90,-2.90
Proofreaders and Copy Markers,51.40,12.53,54.18,38.87,-2.78
Park Naturalists,38.63,0.00,52.82,38.63,-14.20
Broadcast Technicians,48.32,9.96,32.93,38.35,15.39
Music Directors and Composers,43.45,5.32,37.62,38.14,5.83
"Geoscientists, Except Hydrologists and Geographers",43.93,7.10,32.58,36.83,11.35
First-Line Supervisors of Security Workers,36.73,0.00,21.55,36.73,15.18
Forest Fire Inspectors and Prevention Specialists,36.37,0.00,12.20,36.37,24.17
Mechatronics Engineers,43.34,7.34,50.77,36.00,-7.43
Administrative Services Managers,37.83,1.85,21.21,35.98,16.63
Industrial Production Managers,35.95,0.00,19.54,35.95,16.41
Surveying and Mapping Technicians,38.31,2.41,29.73,35.90,8.58
Solar Energy Systems Engineers,35.66,0.00,42.06,35.66,-6.40
Pharmacy Technicians,48.54,13.00,50.59,35.54,-2.04
Gambling Dealers,44.68,9.16,47.20,35.52,-2.52
Budget Analysts,43.48,7.97,53.93,35.51,-10.45
"Bookkeeping, Accounting, and Auditing Clerks",68.48,33.02,69.59,35.47,-1.10
Motion Picture Projectionists,35.46,0.00,9.83,35.46,25.63
"Tax Examiners and Collectors, and Revenue Agents",40.74,5.40,30.90,35.34,9.84
Radio Frequency Identification Device Specialists,41.13,6.06,50.09,35.07,-8.96
Hydrologic Technicians,34.67,0.00,34.52,34.67,0.15
Facilities Managers,36.06,1.86,7.55,34.20,28.52
Chemical Engineers,34.08,0.00,45.78,34.08,-11.70
Appraisers of Personal and Business Property,33.56,0.00,41.67,33.56,-8.11
Postal Service Mail Carriers,33.32,0.00,21.06,33.32,12.26
Word Processors and Typists,79.15,45.94,75.09,33.21,4.06
Wellhead Pumpers,32.89,0.00,14.02,32.89,18.87
Legal Secretaries and Administrative Assistants,71.74,38.91,33.57,32.84,38.18
Fabric and Apparel Patternmakers,32.55,0.00,23.62,32.55,8.93
Precision Agriculture Technicians,48.59,16.30,37.75,32.29,10.84
Validation Engineers,34.87,2.64,35.48,32.23,-0.60
Data Entry Keyers,70.30,38.16,65.89,32.14,4.41
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",32.06,0.00,41.62,32.06,-9.56
Fundraising Managers,37.91,5.96,11.92,31.94,25.99
Robotics Technicians,35.84,4.02,40.31,31.82,-4.47
Nuclear Power Reactor Operators,31.82,0.00,8.97,31.82,22.84
Police Identification and Records Officers,31.27,0.00,22.07,31.27,9.20
Medical Dosimetrists,31.25,0.00,32.41,31.25,-1.17
Recreation Workers,31.07,0.00,31.95,31.07,-0.88
Amusement and Recreation Attendants,38.31,7.49,40.93,30.82,-2.62
Correspondence Clerks,51.45,20.69,50.43,30.77,1.02
"Library Assistants, Clerical",40.52,9.84,41.44,30.68,-0.92
Video Game Designers,47.48,16.96,60.30,30.52,-12.82
"Coin, Vending, and Amusement Machine Servicers and Repairers",30.49,0.00,9.65,30.49,20.84
Database Administrators,71.03,40.56,75.35,30.46,-4.33
Gambling Cage Workers,40.31,10.25,31.39,30.06,8.92
Supply Chain Managers,36.68,6.79,37.24,29.88,-0.56
Prepress Technicians and Workers,42.39,12.70,36.67,29.69,5.72
"Switchboard Operators, Including Answering Service",68.98,39.30,72.58,29.68,-3.59
"Substitute Teachers, Short-Term",29.67,0.00,38.11,29.67,-8.44
"Ushers, Lobby Attendants, and Ticket Takers",34.44,4.87,37.60,29.56,-3.16
"Disc Jockeys, Except Radio",29.52,0.00,25.07,29.52,4.45
Industrial Truck and Tractor Operators,29.31,0.00,5.43,29.31,23.88
"Office Machine Operators, Except Computer",34.05,4.80,46.41,29.25,-12.36
Gambling Surveillance Officers and Gambling Investigators,44.56,15.41,37.15,29.15,7.41
Regulatory Affairs Specialists,44.95,16.05,40.69,28.91,4.27
Aircraft Cargo Handling Supervisors,28.74,0.00,20.85,28.74,7.88
Merchandise Displayers and Window Trimmers,28.69,0.00,38.94,28.69,-10.25
Stockers and Order Fillers,37.83,9.23,23.26,28.60,14.58
Remote Sensing Scientists and Technologists,56.08,27.49,39.16,28.59,16.92
Public Relations Managers,39.17,10.67,26.43,28.50,12.74
General and Operations Managers,37.07,8.65,27.87,28.43,9.20
"Pump Operators, Except Wellhead Pumpers",28.33,0.00,20.64,28.33,7.70
Private Detectives and Investigators,34.52,6.26,60.57,28.26,-26.04
Environmental Compliance Inspectors,30.64,2.62,33.29,28.02,-2.65
Energy Auditors,35.51,7.54,29.04,27.97,6.47
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",77.01,49.12,75.10,27.89,1.90
Lighting Technicians,27.89,0.00,33.91,27.89,-6.03
Electrical and Electronics Drafters,42.27,14.48,46.56,27.79,-4.29
Occupational Health and Safety Specialists,27.64,0.42,29.38,27.23,-1.74
Quality Control Systems Managers,27.86,0.71,17.89,27.15,9.98
Broadcast Announcers and Radio Disc Jockeys,51.10,23.96,42.82,27.14,8.29
Parking Enforcement Workers,26.89,0.00,18.67,26.89,8.21
Credit Analysts,64.00,37.19,54.05,26.81,9.95
Physicists,36.14,10.02,64.12,26.12,-27.99
Tax Preparers,54.21,28.11,62.90,26.10,-8.69
Computer Numerically Controlled Tool Programmers,46.43,20.34,53.08,26.09,-6.65
Water/Wastewater Engineers,28.70,3.31,41.50,25.38,-12.81
Tour Guides and Escorts,30.47,5.09,36.88,25.37,-6.41
Biostatisticians,57.86,32.50,59.69,25.36,-1.84
Fashion Designers,36.28,10.94,55.70,25.35,-19.42
First-Line Supervisors of Police and Detectives,25.06,0.00,18.41,25.06,6.64
Air Traffic Controllers,26.85,1.83,31.15,25.02,-4.30
Interior Designers,31.52,6.86,49.33,24.66,-17.82
Museum Technicians and Conservators,24.60,0.00,57.94,24.60,-33.35
Industrial Engineers,32.03,7.60,49.94,24.43,-17.91
"Airline Pilots, Copilots, and Flight Engineers",25.26,0.88,14.89,24.39,10.37
Cost Estimators,38.67,14.31,56.37,24.36,-17.71
"Bus Drivers, Transit and Intercity",24.26,0.00,22.47,24.26,1.79
Civil Engineers,31.35,7.11,33.59,24.24,-2.25
Executive Secretaries and Executive Administrative Assistants,66.64,42.41,64.84,24.23,1.80
Network and Computer Systems Administrators,77.95,53.76,73.68,24.18,4.27
"Mining and Geological Engineers, Including Mining Safety Engineers",24.06,0.00,25.19,24.06,-1.12
Electrical Engineers,35.46,11.44,46.76,24.02,-11.31
Waiters and Waitresses,27.89,4.02,39.41,23.87,-11.52
Web Administrators,72.88,49.12,69.77,23.75,3.11
Concierges,66.62,42.90,65.83,23.72,0.79
"Child, Family, and School Social Workers",24.99,1.31,40.05,23.68,-15.06
"Umpires, Referees, and Other Sports Officials",23.60,0.00,13.30,23.60,10.30
Spa Managers,60.95,37.41,46.13,23.54,14.82
Printing Press Operators,23.34,0.00,22.24,23.34,1.10
Fuel Cell Engineers,25.63,2.30,37.66,23.34,-12.03
Quality Control Analysts,27.14,4.02,25.72,23.12,1.42
Geothermal Production Managers,23.07,0.00,10.04,23.07,13.04
Billing and Posting Clerks,63.66,40.60,36.77,23.07,26.89
Biomass Power Plant Managers,25.84,2.81,18.11,23.03,7.73
Medical Secretaries and Administrative Assistants,69.94,46.95,31.36,22.99,38.57
Agricultural Engineers,22.98,0.00,38.39,22.98,-15.41
First-Line Supervisors of Production and Operating Workers,25.05,2.09,32.67,22.96,-7.62
Materials Engineers,22.90,0.00,25.35,22.90,-2.45
Bridge and Lock Tenders,22.87,0.00,0.00,22.87,22.87
Special Effects Artists and Animators,57.25,34.45,41.87,22.81,15.39
Petroleum Engineers,22.78,0.00,20.42,22.78,2.36
Media Technical Directors/Managers,30.24,7.50,23.92,22.75,6.32
Equal Opportunity Representatives and Officers,24.65,1.94,31.77,22.71,-7.12
Graphic Designers,68.45,45.84,81.02,22.61,-12.58
Transportation Planners,34.83,12.23,57.57,22.60,-22.74
