category,pct_conv_baseline,workers_conv_baseline,wages_conv_baseline,pct_agentic_confirmed,workers_agentic_confirmed,wages_agentic_confirmed,pct_mcp_only,workers_mcp_only,wages_mcp_only,pct_agentic_ceiling,workers_agentic_ceiling,wages_agentic_ceiling,delta_pct
Computer and Mathematical Occupations,65.70,3305671.69,331313213511.07,43.93,2271408.88,222351024735.10,65.33,3349439.99,341404684809.84,75.01,3822099.27,387419233674.04,9.31
Sales and Related Occupations,59.53,7574293.67,363035474832.75,40.45,4583691.00,229165365238.74,54.18,7123535.12,335605828522.96,68.47,9184867.85,437413426601.30,8.93
Office and Administrative Support Occupations,51.05,11211805.50,532655747235.43,29.02,7349907.91,345694829780.94,54.40,10802514.14,506843317582.20,62.07,12880563.23,611393854093.78,11.02
Business and Financial Operations Occupations,50.73,5465270.63,443698131584.16,31.88,3826203.80,307225396200.45,40.82,4184943.04,341643868930.86,52.63,5564634.07,452863501882.20,1.90
"Arts, Design, Entertainment, Sports, and Media Occupations",47.59,1176721.97,76028144251.40,27.08,670371.56,45541994767.52,36.93,771705.47,49552076666.65,46.83,1104541.60,71658994836.74,-0.76
Educational Instruction and Library Occupations,53.58,4231451.71,268872175208.94,33.51,2649055.32,178198688010.90,22.88,1756462.89,106373820500.58,41.84,3290851.18,212301960910.90,-11.74
Management Occupations,35.52,4787440.12,613850326628.42,19.56,2545176.89,349661564371.00,31.79,4060885.00,493503064310.08,41.71,5525817.49,690955238912.16,6.19
Legal Occupations,48.28,521711.86,60787696848.72,26.85,348932.56,40723719920.25,24.15,315308.77,31297209848.88,41.33,486290.51,53781962103.92,-6.95
"Life, Physical, and Social Science Occupations",41.77,614566.92,52188878657.71,18.40,237985.78,19969908884.83,27.34,403867.19,33363992613.81,38.11,546101.99,45365071903.68,-3.66
Architecture and Engineering Occupations,40.43,1119726.49,111475278692.68,12.16,356359.43,36309684547.43,33.58,837350.53,80320792064.99,37.96,1005885.32,98968761070.67,-2.47
Community and Social Service Occupations,47.26,961319.91,56006098808.93,21.97,366330.19,22709778168.80,21.74,471209.60,27193775056.25,35.36,643981.73,37579017547.53,-11.90
Personal Care and Service Occupations,34.27,1138612.05,41285161914.16,9.93,317809.98,11738130037.44,23.96,730018.24,26358830899.49,27.91,885052.80,31972387108.32,-6.36
Protective Service Occupations,33.27,1370571.58,72812418372.76,10.43,540163.35,29588678851.44,19.44,782057.40,42396105302.39,26.29,1115671.48,57663155672.10,-6.98
Healthcare Support Occupations,25.10,2405440.06,92312817314.83,9.65,545205.21,22477229972.13,16.65,988491.95,39063008788.32,23.04,1424859.98,57112681039.05,-2.07
Healthcare Practitioners and Technical Occupations,29.25,3345832.72,326418819130.75,12.43,1549717.05,157740938382.22,14.08,1557819.93,138207836375.77,22.53,2791033.69,263867009278.40,-6.71
Food Preparation and Serving Related Occupations,35.56,4905325.38,167268289053.74,7.23,1024215.52,34113688933.78,16.57,2383375.42,81561157796.14,20.87,2983510.15,102748383298.66,-14.69
Transportation and Material Moving Occupations,17.58,2141407.07,101021046727.33,3.96,708892.89,32270388967.57,17.98,3380662.59,149953226262.92,19.93,3620974.08,162077979830.07,2.35
Building and Grounds Cleaning and Maintenance Occupations,18.46,476603.66,19088938187.05,7.21,73450.57,3527227133.62,10.49,333621.39,13223773762.54,15.12,404462.60,16409308451.89,-3.33
Production Occupations,18.31,1577975.29,79093629622.31,2.62,239777.24,12318296549.49,13.24,1106001.66,55964303061.35,14.90,1256634.11,63582705415.43,-3.41
"Installation, Maintenance, and Repair Occupations",23.91,1587023.87,96709542294.39,4.77,314271.55,20793757944.93,11.03,734847.96,44724261562.62,14.32,912810.92,57165066044.35,-9.59
"Farming, Fishing, and Forestry Occupations",13.72,41214.17,1662419115.89,1.26,11837.73,457598729.59,7.38,34282.11,1363765045.98,8.46,35838.16,1445751400.81,-5.26
Construction and Extraction Occupations,13.88,1338971.01,85605981839.16,3.24,573566.69,39369590788.95,5.61,440347.16,28925834116.99,8.28,871246.20,58190567462.07,-5.60
