category,pct_conv_baseline,pct_agentic_ceiling,delta_pct
Office and Administrative Support Occupations,51.05,62.07,11.02
Computer and Mathematical Occupations,65.70,75.01,9.31
Sales and Related Occupations,59.53,68.47,8.93
Management Occupations,35.52,41.71,6.19
Transportation and Material Moving Occupations,17.58,19.93,2.35
Business and Financial Operations Occupations,50.73,52.63,1.90
"Arts, Design, Entertainment, Sports, and Media Occupations",47.59,46.83,-0.76
Healthcare Support Occupations,25.10,23.04,-2.07
Architecture and Engineering Occupations,40.43,37.96,-2.47
Building and Grounds Cleaning and Maintenance Occupations,18.46,15.12,-3.33
Production Occupations,18.31,14.90,-3.41
"Life, Physical, and Social Science Occupations",41.77,38.11,-3.66
"Farming, Fishing, and Forestry Occupations",13.72,8.46,-5.26
Construction and Extraction Occupations,13.88,8.28,-5.60
Personal Care and Service Occupations,34.27,27.91,-6.36
Healthcare Practitioners and Technical Occupations,29.25,22.53,-6.71
Legal Occupations,48.28,41.33,-6.95
Protective Service Occupations,33.27,26.29,-6.98
"Installation, Maintenance, and Repair Occupations",23.91,14.32,-9.59
Educational Instruction and Library Occupations,53.58,41.84,-11.74
Community and Social Service Occupations,47.26,35.36,-11.90
Food Preparation and Serving Related Occupations,35.56,20.87,-14.69
