category,pct_tasks_affected,workers_affected,wages_affected
Retail Sales Workers,62.75,5054601.18,169390216248.53
Business Operations Specialists,52.61,4142135.88,331699769516.57
Information and Record Clerks,65.98,3948205.49,166717303479.08
Computer Occupations,75.07,3519452.32,355093916628.01
Secretaries and Administrative Assistants,77.96,2637395.31,132981199052.04
Material Moving Workers,21.36,2388456.76,93640841435.07
Other Office and Administrative Support Workers,61.92,2296069.77,100599789479.98
Financial Clerks,62.65,1947782.39,93307152974.27
Food and Beverage Serving Workers,24.63,1838999.93,58871789901.38
Healthcare Diagnosing or Treating Practitioners,22.36,1818462.47,209343794841.15
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",31.93,1805079.66,111829349970.95
Top Executives,37.43,1638763.52,178788793476.81
Other Management Occupations,40.59,1618764.32,172497782842.74
Operations Specialties Managers,41.69,1592047.78,240220284870.16
"Sales Representatives, Services",69.61,1586652.85,105789400554.22
Financial Specialists,52.67,1422498.19,121163732365.63
"Sales Representatives, Wholesale and Manufacturing",76.67,1278615.03,92515556645.13
"Material Recording, Scheduling, Dispatching, and Distributing Workers",49.15,1064844.17,53378922471.90
Motor Vehicle Operators,21.58,1008001.40,49613998797.52
Supervisors of Office and Administrative Support Workers,63.96,956589.40,63268823108.11
Supervisors of Sales Workers,69.70,926616.37,49523638677.93
Health Technologists and Technicians,23.09,893663.97,49797208866.47
Other Protective Service Workers,30.50,748380.64,29281816489.18
Postsecondary Teachers,61.82,738322.23,65614186366.79
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",11.88,728255.30,26147240006.25
Other Healthcare Support Occupations,32.70,678076.85,29912765488.69
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",55.72,676241.88,99448377722.46
Engineers,35.75,657250.90,73138614194.58
"Counselors, Social Workers, and Other Community and Social Service Specialists",34.43,608263.21,35451078600.32
Supervisors of Food Preparation and Serving Workers,36.24,527186.90,23159870519.00
Other Production Occupations,16.71,473423.90,22052568788.70
Construction Trades Workers,8.51,468901.99,27506574065.98
Media and Communication Workers,61.23,461166.59,32540097764.75
Cooks and Food Preparation Workers,12.14,406131.19,14185675871.53
"Other Installation, Maintenance, and Repair Occupations",12.81,376887.29,22128853252.28
Other Sales and Related Workers,72.77,338382.41,20194614475.49
Art and Design Workers,48.47,336734.35,21224661792.62
Supervisors of Construction and Extraction Workers,42.00,324830.45,25560908418.56
Other Teachers and Instructors,33.05,317652.52,13051306398.88
Other Educational Instruction and Library Occupations,25.88,315460.71,15523189567.55
Mathematical Science Occupations,74.74,302646.94,32325317046.03
Other Personal Care and Service Workers,22.84,283648.33,10209762818.01
"Lawyers, Judges, and Related Workers",30.07,279956.94,41387098108.94
Law Enforcement Workers,23.45,251455.46,18928433300.01
Entertainment Attendants and Related Workers,37.94,242911.76,7584643195.58
"Drafters, Engineering Technicians, and Mapping Technicians",37.28,238112.79,15956671753.46
Other Food Preparation and Serving Related Workers,19.13,211192.13,6531047006.76
Legal Support Workers,61.66,206333.56,12394863994.98
"Supervisors of Installation, Maintenance, and Repair Workers",33.61,201870.88,15806490077.81
"Entertainers and Performers, Sports and Related Workers",28.34,199720.71,11844371028.53
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",7.56,199239.51,10906137460.92
Building Cleaning and Pest Control Workers,12.11,198104.80,7276718021.74
Supervisors of Production Workers,26.86,184035.12,13101460048.64
Metal Workers and Plastic Workers,12.31,174900.20,8800358205.12
"Life, Physical, and Social Science Technicians",36.51,163362.23,9169584244.96
Personal Appearance Workers,20.45,147057.65,5341028292.12
Assemblers and Fabricators,9.35,145991.84,6337727734.21
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",26.51,134813.24,8323585253.35
Life Scientists,35.33,132702.55,12441438362.29
"Librarians, Curators, and Archivists",50.39,114336.05,6283928606.73
Food Processing Workers,16.18,110737.83,4265149348.61
"Architects, Surveyors, and Cartographers",50.56,110521.63,9873475122.63
Physical Scientists,47.81,107736.25,10786009455.95
Media and Communication Equipment Workers,54.42,106919.94,6049864250.83
Grounds Maintenance Workers,3.42,105150.68,4010309907.40
Supervisors of Building and Grounds Cleaning and Maintenance Workers,33.82,101207.12,5122280522.76
Social Scientists and Related Workers,37.32,99487.07,9548134587.81
Supervisors of Protective Service Workers,25.96,93468.64,8087600852.49
Supervisors of Transportation and Material Moving Workers,27.26,85659.68,5166228874.17
Other Healthcare Practitioners and Technical Occupations,20.55,78907.26,4726005570.77
Supervisors of Personal Care and Service Workers,24.49,75012.18,3963776429.66
Air Transportation Workers,24.05,67322.38,9913708373.02
Other Construction and Related Workers,12.89,64672.81,4418305917.41
Animal Care and Service Workers,16.15,64491.83,2166908116.89
Plant and System Operators,23.23,57956.12,4486076238.72
Printing Workers,28.05,50217.64,2263758755.67
Other Transportation Workers,18.38,48691.23,1952816693.82
"Textile, Apparel, and Furnishings Workers",9.96,43567.33,1617279175.99
Occupational Health and Safety Specialists and Technicians,23.77,42813.88,3419905252.68
"Baggage Porters, Bellhops, and Concierges",43.69,39718.28,1471479474.84
Religious Workers,46.64,35718.52,2127938947.21
Communications Equipment Operators,71.61,29676.69,1140663528.40
Agricultural Workers,10.22,29605.50,1097806287.83
Firefighting and Prevention Workers,15.32,22366.74,1365305030.42
Tour and Travel Guides,37.90,19861.95,728139060.97
Occupational Therapy and Physical Therapist Assistants and Aides,11.09,18527.83,1052675544.11
Woodworkers,10.52,15804.12,658327119.76
Funeral Service Workers,13.58,12350.82,506649720.23
Water Transportation Workers,15.50,11991.36,957332379.04
Rail Transportation Workers,11.01,10851.28,833053277.43
Extraction Workers,6.08,9622.21,575585052.01
"Supervisors of Farming, Fishing, and Forestry Workers",14.62,4316.99,256127132.68
"Helpers, Construction Trades",1.48,3218.73,129194008.11
"Forest, Conservation, and Logging Workers",7.06,1915.67,91817980.30
Fishing and Hunting Workers,4.30,0.00,0.00
