category,pct_mcp_ceiling,pct_mcp_only,pct_conv_baseline
Scheduling Work and Activities,84.54,82.45,44.90
Working with Computers,84.02,78.39,69.32
Performing Administrative Activities,68.18,61.75,58.72
Communicating with People Outside the Organization,67.79,58.83,69.59
Documenting/Recording Information,62.60,53.21,37.30
Analyzing Data or Information,56.97,43.63,58.05
Selling or Influencing Others,56.69,46.05,44.64
Performing for or Working Directly with the Public,53.47,42.97,60.97
Updating and Using Relevant Knowledge,51.23,23.47,72.04
Interpreting the Meaning of Information for Others,51.16,34.73,70.00
Establishing and Maintaining Interpersonal Relationships,50.89,38.89,59.56
Processing Information,47.77,40.73,47.25
Developing Objectives and Strategies,45.75,34.34,54.75
Staffing Organizational Units,45.65,32.50,36.09
Thinking Creatively,44.75,34.68,47.98
"Identifying Objects, Actions, and Events",44.53,40.17,25.15
Providing Consultation and Advice to Others,40.04,22.04,63.01
"Judging the Qualities of Objects, Services, or People",40.00,29.08,37.37
Getting Information,39.27,24.58,55.23
Making Decisions and Solving Problems,37.19,29.79,52.80
"Organizing, Planning, and Prioritizing Work",36.72,34.42,56.21
Evaluating Information to Determine Compliance with Standards,34.89,29.86,37.33
Monitoring and Controlling Resources,33.78,29.74,29.02
Resolving Conflicts and Negotiating with Others,33.08,21.87,25.40
"Monitoring Processes, Materials, or Surroundings",28.70,21.78,21.09
"Estimating the Quantifiable Characteristics of Products, Events, or Information",27.82,23.14,48.23
"Communicating with Supervisors, Peers, or Subordinates",26.79,19.47,38.16
"Guiding, Directing, and Motivating Subordinates",25.74,18.05,20.71
Training and Teaching Others,20.88,9.59,52.38
Controlling Machines and Processes,19.59,17.64,12.74
"Inspecting Equipment, Structures, or Materials",14.80,10.29,20.91
Assisting and Caring for Others,14.60,9.88,23.45
Coaching and Developing Others,13.66,5.61,51.67
"Operating Vehicles, Mechanized Devices, or Equipment",8.43,7.83,1.41
Handling and Moving Objects,7.46,5.58,18.06
Performing General Physical Activities,6.49,4.70,12.22
Repairing and Maintaining Mechanical Equipment,5.63,4.76,13.49
