category,pct_mcp_ceiling,pct_conv_baseline,delta
Record information about environmental conditions.,72.26,14.43,57.84
Maintain operational records.,72.30,21.23,51.07
Prepare schedules for services or facilities.,81.92,31.22,50.71
Maintain sales or financial records.,74.89,28.09,46.80
Test sites or materials for environmental hazards.,46.13,0.07,46.06
Assign work to others.,73.19,27.81,45.38
Remove workpieces from production equipment.,46.52,1.66,44.86
Record images with photographic or audiovisual equipment.,61.62,21.05,40.57
Schedule operational activities.,65.75,26.07,39.68
Collect fares or payments.,52.83,14.06,38.76
Analyze environmental or geospatial data.,55.03,16.58,38.45
Schedule appointments.,94.93,57.54,37.38
Operate audiovisual or related equipment.,63.93,26.61,37.33
Design databases.,89.34,55.00,34.34
Alter audio or video recordings.,84.12,50.94,33.19
Analyze data to improve operations.,73.64,40.74,32.89
Sell products or services.,50.63,20.26,30.37
"Replenish inventories of materials, equipment, or products.",45.14,15.89,29.25
Manage control systems or activities.,28.65,0.00,28.65
Process shipments or mail.,46.83,18.18,28.64
Notify others of emergencies or problems.,37.18,8.80,28.38
Analyze business or financial risks.,69.97,43.05,26.92
Mark materials or objects for identification.,37.32,10.63,26.69
Operate lifting or moving equipment.,25.55,0.87,24.69
Coordinate regulatory compliance activities.,38.08,14.07,24.01
Direct scientific or technical activities.,45.82,21.89,23.92
Monitor equipment operation.,31.07,7.18,23.89
Prepare reports of operational or procedural activities.,46.24,22.49,23.74
Monitor resources or inventories.,43.45,20.80,22.65
Monitor operations to ensure adequate performance.,33.24,12.22,21.02
Assess characteristics of land or property.,26.07,5.53,20.54
Process digital or online data.,86.02,65.96,20.06
Reconcile financial data.,31.74,12.16,19.57
"Prepare financial documents, reports, or budgets.",49.40,30.22,19.18
Design industrial systems or equipment.,34.61,16.00,18.61
Evaluate personnel capabilities or performance.,44.11,25.97,18.14
Evaluate project feasibility.,48.77,30.66,18.11
Authorize business activities or transactions.,60.20,42.20,18.00
Perform human resources activities.,43.58,25.79,17.79
Manage human resources activities.,48.36,30.74,17.63
Draft legislation or regulations.,38.76,21.43,17.33
Monitor traffic conditions.,20.48,3.80,16.67
Manage budgets or finances.,58.70,42.79,15.91
Develop contingency or emergency response plans.,24.86,9.15,15.71
Monitor operation of computer or information technologies.,82.50,67.21,15.30
Record information about legal matters.,41.53,26.54,14.99
Gather information for news stories.,67.66,53.38,14.28
Test performance of computer or information systems.,81.43,67.40,14.03
Maintain health or medical records.,47.21,33.32,13.89
Direct legal activities.,22.19,8.40,13.80
"Evaluate condition of financial assets, property, or other resources.",40.43,26.80,13.63
Implement security measures for computer or information systems.,86.16,72.78,13.38
Monitor financial data or activities.,65.53,52.22,13.31
Operate pumping systems or equipment.,19.93,6.63,13.30
Prepare health or medical documents.,59.63,47.63,11.99
Monitor environmental conditions.,21.33,9.94,11.39
Negotiate contracts or agreements.,41.33,30.13,11.20
Diagnose health conditions or disorders.,26.25,15.08,11.17
Perform agricultural activities.,13.69,2.70,10.99
Execute financial transactions.,73.75,62.95,10.81
Collect data about consumer needs or opinions.,64.77,54.01,10.77
Package objects.,15.52,4.92,10.60
Create visual designs or displays.,71.17,61.16,10.01
Operate computer systems or computerized equipment.,86.25,76.50,9.75
"Set up computer systems, networks, or other information systems.",81.29,71.55,9.74
Program computer systems or production equipment.,80.43,70.69,9.73
Operate medical equipment.,26.58,16.85,9.73
Engrave objects.,8.92,0.00,8.92
"Monitor safety or security of work areas, facilities, or properties.",22.13,13.27,8.86
