category,pct_aei_api
Edit written materials or documents.,94.77
"Research laws, precedents, or other legal data.",87.87
Write material for artistic or commercial purposes.,86.77
Implement security measures for computer or information systems.,82.27
Analyze market or industry conditions.,81.68
Evaluate scholarly work.,73.48
"Assess student capabilities, needs, or performance.",72.16
Explain technical details of products or services.,71.07
Explain financial information.,70.52
"Develop news, entertainment, or artistic content.",67.18
"Monitor external affairs, trends, or events.",66.45
"Evaluate programs, practices, or processes.",65.36
Research historical or social issues.,65.25
Analyze business or financial data.,63.17
Consult legal materials or public records.,63.07
Prepare informational or instructional materials.,62.61
Alter audio or video recordings.,61.76
Design databases.,61.26
Respond to customer problems or inquiries.,60.18
Design computer or information systems or applications.,60.03
Identify business or organizational opportunities.,59.45
Schedule appointments.,57.36
Develop business or marketing plans.,57.15
Present research or technical information.,56.92
"Evaluate condition of financial assets, property, or other resources.",56.77
Operate computer systems or computerized equipment.,56.14
Develop marketing or promotional materials.,56.13
Advise others on the design or use of technologies.,55.70
"Prepare financial documents, reports, or budgets.",55.67
Analyze business or financial risks.,54.23
Test performance of computer or information systems.,52.92
Resolve computer problems.,51.38
Advise others on educational or vocational matters.,51.33
"Compile records, documentation, or other data.",51.25
Collect data about consumer needs or opinions.,49.04
Advise others on products or services.,48.63
"Interpret language, cultural, or religious information for others.",47.95
"Set up classrooms, facilities, educational materials, or equipment.",47.89
Develop professional relationships or networks.,47.64
Advise others on financial matters.,46.37
Monitor operation of computer or information technologies.,46.18
Process digital or online data.,45.64
Analyze scientific or applied data using mathematical principles.,45.47
Program computer systems or production equipment.,45.20
Monitor financial data or activities.,45.09
"Promote products, services, or programs.",44.40
Develop scientific or mathematical theories or models.,43.81
"Prepare documentation for contracts, applications, or permits.",43.64
"Set up computer systems, networks, or other information systems.",43.56
"Document technical designs, procedures, or activities.",42.92
Study details of artistic productions.,42.44
"Provide information to guests, clients, or customers.",41.99
Advise patients or clients on medical issues.,41.44
Research biological or ecological phenomena.,41.30
Investigate criminal or legal matters.,40.84
Maintain current knowledge in area of expertise.,40.68
Develop financial or business plans.,39.61
Gather information from physical or electronic sources.,39.33
Prepare health or medical documents.,39.20
Examine materials or documentation for accuracy or compliance.,38.44
Gather information for news stories.,36.62
Communicate with others about business strategies.,35.65
Collect information about patients or clients.,35.36
Authorize business activities or transactions.,35.33
Perform administrative or clerical activities.,34.67
Analyze data to improve operations.,34.43
Research technology designs or applications.,34.37
Develop organizational or program goals or objectives.,33.96
Analyze biological or chemical substances or related data.,33.93
Negotiate contracts or agreements.,33.07
"Explain regulations, policies, or procedures.",32.51
Manage budgets or finances.,32.34
Explain medical information to patients or family members.,32.33
Teach academic or vocational subjects.,32.31
Interview people to obtain information.,32.10
Maintain health or medical records.,31.84
Provide information or assistance to the public.,31.09
Perform recruiting or hiring activities.,31.06
Develop operational or technical procedures or standards.,31.03
Coach others.,30.68
Obtain information about goods or services.,30.08
"Research organizational behavior, processes, or performance.",30.07
Assess characteristics or impacts of regulations or policies.,30.07
Coordinate artistic or entertainment activities.,29.98
Analyze health or medical data.,29.66
Prepare legal or regulatory documents.,29.11
"Provide general assistance to others, such as customers, patrons, or motorists.",28.82
"Develop educational programs, plans, or procedures.",28.78
Maintain sales or financial records.,28.28
Arrange displays or decorations.,26.39
Create visual designs or displays.,26.38
"Discuss legal matters with clients, disputants, or legal professionals or staff.",26.31
Develop research plans or methodologies.,26.21
Evaluate the quality or accuracy of data.,26.18
"Evaluate the characteristics, usefulness, or performance of products or technologies.",26.06
"Evaluate designs, specifications, or other technical data.",26.00
Teach life skills.,25.71
Develop public or community health programs.,25.48
Monitor individual behavior or performance.,25.30
Manage human resources activities.,24.86
Present arts or entertainment performances.,24.08
Plan events or programs.,23.29
Determine values or prices of goods or services.,22.70
Make legal decisions.,22.59
Implement procedures or processes.,22.47
Develop technical specifications for products or operations.,22.20
Investigate incidents or accidents.,22.15
Execute financial transactions.,22.11
Direct construction or extraction activities.,22.01
"Assist scientists, scholars, or technical specialists with projects or research.",21.98
Communicate with others about specifications or project details.,21.72
Assign work to others.,21.43
Read documents or materials to inform work processes.,21.01
Prepare reports of operational or procedural activities.,20.99
Monitor operations to ensure compliance with regulations or standards.,20.98
Counsel others about personal matters.,20.93
"Develop models of systems, processes, or products.",20.78
Create artistic designs or performances.,20.70
Prepare proposals or grant applications.,20.67
Confer with clients to determine needs or order specifications.,19.84
"Examine financial activities, operations, or systems.",19.72
Develop patient or client care or treatment plans.,19.43
Prepare schedules for services or facilities.,19.24
Analyze performance of systems or equipment.,19.22
Maintain operational records.,19.18
Research issues related to earth sciences.,18.61
Direct scientific or technical activities.,18.34
Assist others to access additional services or resources.,17.99
Sell products or services.,17.87
"Develop organizational policies, systems, or processes.",17.83
Evaluate personnel capabilities or performance.,17.58
Monitor health conditions of humans or animals.,17.11
Schedule operational activities.,16.76
Evaluate project feasibility.,16.70
"Distribute materials, supplies, or resources.",16.69
"Direct organizational operations, activities, or procedures.",16.51
"Coordinate group, community, or public activities.",16.30
Determine operational methods or procedures.,16.27
"Maintain electronic, computer, or other technical equipment.",16.23
Record information about legal matters.,16.23
Coordinate with others to resolve problems.,15.77
Operate office equipment.,15.54
Operate laboratory or field equipment.,15.35
Test characteristics of materials or products.,14.94
Design electrical or electronic systems or equipment.,14.87
"Investigate individuals' background, behavior, or activities.",14.57
Issue documentation.,14.53
Gather data about operational or development activities.,14.42
Create decorative objects or parts of objects.,14.29
Advise others on business or operational matters.,14.19
Test performance of equipment or systems.,13.77
Analyze environmental or geospatial data.,13.28
Estimate project development or operational costs.,13.11
Train others on operational or work procedures.,12.50
Prepare specimens or materials for testing.,12.47
Sort materials or products.,12.31
Coordinate regulatory compliance activities.,12.29
Resolve personnel or operational problems.,12.19
Operate audiovisual or related equipment.,12.01
Communicate with others about operational plans or activities.,11.94
Monitor operations to ensure adequate performance.,11.63
Reconcile financial data.,11.62
Research healthcare issues.,11.57
Evaluate patient or client condition or treatment options.,11.36
Verify personal information.,10.96
Diagnose health conditions or disorders.,10.81
Purchase goods or services.,10.77
Record images with photographic or audiovisual equipment.,10.39
Operate medical equipment.,10.32
Collect samples of products or materials.,10.09
Process shipments or mail.,10.05
Advise others on legal or regulatory matters.,9.53
Repair electrical or electronic equipment.,9.31
Confer with healthcare or other professionals about patient care.,9.20
"Measure physical characteristics of materials, products, or equipment.",9.16
"Coordinate activities with clients, agencies, or organizations.",9.03
Maintain safety or security.,9.00
Provide support or encouragement to others.,8.93
Design structures or facilities.,8.74
Monitor resources or inventories.,8.49
Collect environmental or biological samples.,7.98
Prescribe medical treatments or devices.,7.88
"Develop safety standards, policies, or procedures.",7.86
Determine resource needs of projects or operations.,7.64
Advise others on environmental sustainability or green practices.,7.49
"Assess living, work, or social needs or status of individuals or communities.",7.29
Install commercial or production equipment.,7.25
Inspect characteristics or conditions of materials or products.,6.96
Stock supplies or products.,6.87
Calculate financial data.,6.86
Inspect facilities or equipment.,6.80
Operate communications equipment or systems.,6.48
Advise others on healthcare or wellness issues.,6.44
Train others to use equipment or products.,6.25
Train others on health or medical topics.,6.19
Adjust medical equipment to ensure adequate performance.,6.17
Plan work activities.,6.14
Clean medical equipment or facilities.,5.76
Direct security or safety activities or operations.,5.51
Prepare medical equipment or work areas for use.,5.50
"Treat injuries, illnesses, or diseases.",5.49
"Inspect commercial, industrial, or production systems or equipment.",5.40
Mark materials or objects for identification.,5.30
"Perform athletic activities for fitness, competition, or artistic purposes.",5.16
Communicate environmental or sustainability information.,5.12
Maintain facilities or equipment.,5.12
Evaluate green technologies or processes.,5.09
Assist individuals with special needs.,4.85
Supervise personnel activities.,4.77
Select materials or equipment for operations or projects.,4.75
Collect fares or payments.,4.58
Administer diagnostic tests to assess patient health.,4.31
Research agricultural processes or practices.,4.22
Design materials or devices.,4.14
Assist individuals with paperwork.,3.94
Mediate disputes.,3.87
Provide food or beverage services.,3.77
Investigate the environmental impact of industrial or development activities.,3.74
Apply hygienic or cosmetic agents to skin or hair.,3.65
"Monitor safety or security of work areas, facilities, or properties.",3.37
Prepare foods or beverages.,3.29
Develop health assessment methods or programs.,3.23
Administer therapeutic treatments.,3.22
"Replenish inventories of materials, equipment, or products.",3.19
Inspect completed work or finished products.,3.17
Examine people or animals to assess health conditions or physical characteristics.,3.06
Set up equipment.,2.97
Prepare mixtures or solutions.,2.97
Administer basic health care or medical treatments.,2.65
Investigate organizational or operational problems.,2.59
Assess characteristics of land or property.,2.55
Develop plans for managing or preserving natural resources.,2.54
Assist healthcare practitioners during medical procedures.,2.24
Adjust equipment to ensure adequate performance.,2.16
Assess compliance with environmental standards or regulations.,2.14
Perform human resources activities.,1.98
Maintain medical equipment or instruments.,1.84
Diagnose system or equipment problems.,1.61
Collaborate in the development of educational programs.,1.53
Notify others of emergencies or problems.,1.52
Monitor equipment operation.,1.34
Operate transportation equipment or vehicles.,1.30
Administer emergency medical treatment.,1.13
Develop systems or practices to mitigate or resolve environmental problems.,1.00
Perform general construction or extraction activities.,0.94
Inspect vehicles.,0.93
Prepare industrial materials for processing or use.,0.84
Manage agricultural or forestry operations.,0.75
Position materials or components for assembly.,0.73
Repair tools or equipment.,0.63
Build structures.,0.53
Maintain tools or equipment.,0.31
Operate industrial processing or production equipment.,0.23
Design industrial systems or equipment.,0.22
Evaluate production inputs or outputs.,0.11
Process forensic or legal evidence.,0.00
Connect components or supply lines to equipment or tools.,0.00
Record information about environmental conditions.,0.00
Present information in legal proceedings.,0.00
Develop contingency or emergency response plans.,0.00
Develop sustainable organizational or business policies or practices.,0.00
Direct legal activities.,0.00
Process animal carcasses.,0.00
Cut materials.,0.00
Protect people or property from threats such as fires or flooding.,0.00
Care for plants or animals.,0.00
Apply protective solutions or coatings.,0.00
Apply materials to fill gaps or imperfections.,0.00
Apply decorative finishes.,0.00
Climb equipment or structures.,0.00
