category,pct_mcp_ceiling,pct_mcp_only,pct_conv_baseline
Schedule appointments.,94.93,94.24,57.54
Design databases.,89.34,84.74,55.00
"Research laws, precedents, or other legal data.",88.47,37.86,92.52
Operate computer systems or computerized equipment.,86.25,69.45,76.50
Implement security measures for computer or information systems.,86.16,81.74,72.78
Process digital or online data.,86.02,82.95,65.96
Analyze scientific or applied data using mathematical principles.,85.93,60.62,79.42
Alter audio or video recordings.,84.12,71.20,50.94
Analyze market or industry conditions.,82.74,70.89,76.51
Monitor operation of computer or information technologies.,82.50,73.30,67.21
Evaluate scholarly work.,82.42,55.33,87.96
Write material for artistic or commercial purposes.,82.02,61.18,81.32
Prepare schedules for services or facilities.,81.92,81.33,31.22
Test performance of computer or information systems.,81.43,70.97,67.40
"Set up computer systems, networks, or other information systems.",81.29,73.40,71.55
Program computer systems or production equipment.,80.43,75.82,70.69
Edit written materials or documents.,79.82,64.05,77.87
Design computer or information systems or applications.,79.15,72.38,73.78
"Prepare documentation for contracts, applications, or permits.",78.78,69.28,71.62
Resolve computer problems.,77.32,69.97,71.61
Maintain sales or financial records.,74.89,69.90,28.09
Explain technical details of products or services.,74.31,60.70,81.90
Analyze business or financial data.,73.94,66.60,69.26
Develop marketing or promotional materials.,73.85,57.94,85.16
"Compile records, documentation, or other data.",73.82,59.89,72.51
Execute financial transactions.,73.75,70.32,62.95
Analyze data to improve operations.,73.64,66.43,40.74
"Provide information to guests, clients, or customers.",73.44,65.31,71.73
Assign work to others.,73.19,65.95,27.81
Calculate financial data.,72.88,72.23,64.87
Maintain operational records.,72.30,68.58,21.23
Record information about environmental conditions.,72.26,72.26,14.43
Create visual designs or displays.,71.17,65.64,61.16
Operate office equipment.,70.59,64.21,63.06
Obtain information about goods or services.,70.57,60.54,77.84
"Monitor external affairs, trends, or events.",70.50,53.27,64.13
"Assess student capabilities, needs, or performance.",70.41,47.92,67.46
"Document technical designs, procedures, or activities.",70.30,65.20,65.68
Perform administrative or clerical activities.,69.99,57.61,69.62
Analyze business or financial risks.,69.97,56.01,43.05
Explain financial information.,69.78,38.03,74.51
Gather information from physical or electronic sources.,67.91,62.71,70.70
Gather information for news stories.,67.66,67.66,53.38
Respond to customer problems or inquiries.,67.05,51.77,75.18
Research historical or social issues.,66.26,10.42,89.14
Advise others on the design or use of technologies.,66.25,54.36,67.61
Present research or technical information.,65.90,56.34,70.06
Schedule operational activities.,65.75,60.40,26.07
Consult legal materials or public records.,65.63,35.41,73.34
Monitor financial data or activities.,65.53,36.92,52.22
"Promote products, services, or programs.",65.11,51.58,72.71
Develop business or marketing plans.,64.98,43.16,58.58
Identify business or organizational opportunities.,64.97,53.79,66.33
Collect data about consumer needs or opinions.,64.77,40.62,54.01
Determine values or prices of goods or services.,64.43,60.12,65.47
Operate communications equipment or systems.,64.37,63.58,56.16
Operate audiovisual or related equipment.,63.93,56.16,26.61
"Develop models of systems, processes, or products.",63.49,61.17,61.32
Develop scientific or mathematical theories or models.,63.18,46.74,66.02
"Interpret language, cultural, or religious information for others.",63.00,44.77,82.80
Prepare informational or instructional materials.,62.67,42.20,76.56
Advise others on financial matters.,62.60,35.53,73.44
Record images with photographic or audiovisual equipment.,61.62,56.88,21.05
Authorize business activities or transactions.,60.20,46.60,42.20
Prepare health or medical documents.,59.63,43.39,47.63
"Evaluate programs, practices, or processes.",59.28,31.48,73.85
Manage budgets or finances.,58.70,46.94,42.79
"Explain regulations, policies, or procedures.",58.56,50.98,67.28
"Investigate individuals' background, behavior, or activities.",58.55,51.33,59.90
Examine materials or documentation for accuracy or compliance.,58.53,48.75,61.96
Advise others on products or services.,57.49,44.09,75.82
"Develop news, entertainment, or artistic content.",57.25,39.46,67.64
Analyze performance of systems or equipment.,56.44,47.88,63.78
Analyze environmental or geospatial data.,55.03,52.80,16.58
Develop financial or business plans.,54.10,40.01,46.27
Research biological or ecological phenomena.,53.80,25.06,71.94
"Evaluate the characteristics, usefulness, or performance of products or technologies.",52.86,48.72,61.35
Collect fares or payments.,52.83,52.40,14.06
Provide information or assistance to the public.,52.41,39.65,66.50
Issue documentation.,52.14,49.01,56.93
Develop technical specifications for products or operations.,52.04,42.24,64.53
Maintain current knowledge in area of expertise.,51.23,23.47,72.04
Develop professional relationships or networks.,50.89,38.89,59.56
Prepare proposals or grant applications.,50.79,43.80,52.55
Sell products or services.,50.63,42.84,20.26
Evaluate the quality or accuracy of data.,50.18,43.10,54.83
"Research organizational behavior, processes, or performance.",49.93,20.58,66.69
"Prepare financial documents, reports, or budgets.",49.40,35.00,30.22
Analyze health or medical data.,48.84,33.77,63.08
Evaluate project feasibility.,48.77,43.12,30.66
Research issues related to earth sciences.,48.62,41.39,63.38
Manage human resources activities.,48.36,33.76,30.74
Prepare legal or regulatory documents.,47.84,35.51,41.77
Research technology designs or applications.,47.83,29.89,70.03
Develop operational or technical procedures or standards.,47.53,37.78,66.44
Maintain health or medical records.,47.21,32.88,33.32
Communicate with others about business strategies.,46.97,29.64,62.48
Process shipments or mail.,46.83,44.15,18.18
Perform recruiting or hiring activities.,46.62,32.13,40.90
"Evaluate designs, specifications, or other technical data.",46.55,38.59,59.23
Remove workpieces from production equipment.,46.52,46.52,1.66
Prepare reports of operational or procedural activities.,46.24,40.73,22.49
Test sites or materials for environmental hazards.,46.13,32.97,0.07
Assess characteristics or impacts of regulations or policies.,45.85,30.40,65.61
Direct scientific or technical activities.,45.82,39.44,21.89
Conduct amusement or gaming activities.,45.48,45.02,54.92
"Assist scientists, scholars, or technical specialists with projects or research.",45.30,29.64,62.96
"Replenish inventories of materials, equipment, or products.",45.14,44.44,15.89
Study details of artistic productions.,44.92,13.29,73.37
Develop research plans or methodologies.,44.53,19.96,43.62
Evaluate personnel capabilities or performance.,44.11,37.00,25.97
Perform human resources activities.,43.58,33.28,25.79
Monitor resources or inventories.,43.45,39.99,20.80
Analyze biological or chemical substances or related data.,43.12,22.26,65.14
"Develop organizational policies, systems, or processes.",43.01,28.75,36.62
Advise patients or clients on medical issues.,42.64,18.30,62.86
Implement procedures or processes.,42.02,24.63,71.76
Record information about legal matters.,41.53,35.91,26.54
Negotiate contracts or agreements.,41.33,27.82,30.13
Interview people to obtain information.,40.76,31.57,50.46
Determine resource needs of projects or operations.,40.45,29.77,54.36
"Evaluate condition of financial assets, property, or other resources.",40.43,31.37,26.80
Advise others on educational or vocational matters.,40.32,6.39,69.04
Plan work activities.,40.30,38.13,54.18
Create artistic designs or performances.,39.22,34.07,54.86
Teach academic or vocational subjects.,39.08,16.88,58.57
