major,auto_avg_wtd
Architecture and Engineering Occupations,2.49
"Arts, Design, Entertainment, Sports, and Media Occupations",2.83
Building and Grounds Cleaning and Maintenance Occupations,2.44
Business and Financial Operations Occupations,3.02
Community and Social Service Occupations,2.44
Computer and Mathematical Occupations,3.17
Construction and Extraction Occupations,2.66
Educational Instruction and Library Occupations,3.01
"Farming, Fishing, and Forestry Occupations",2.29
Food Preparation and Serving Related Occupations,2.73
Healthcare Practitioners and Technical Occupations,2.37
Healthcare Support Occupations,2.62
"Installation, Maintenance, and Repair Occupations",2.47
Legal Occupations,2.60
"Life, Physical, and Social Science Occupations",2.63
Management Occupations,2.66
Office and Administrative Support Occupations,3.40
Personal Care and Service Occupations,2.72
Production Occupations,2.56
Protective Service Occupations,2.57
Sales and Related Occupations,3.20
Transportation and Material Moving Occupations,2.77
