major,job_zone,avg_pct,job_zone_label
Architecture and Engineering Occupations,2.00,40.30,Zone 2 (Some prep)
Architecture and Engineering Occupations,3.00,39.71,Zone 3 (Medium prep)
Architecture and Engineering Occupations,4.00,43.67,Zone 4 (Considerable prep)
Architecture and Engineering Occupations,5.00,54.91,Zone 5 (Extensive prep)
"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,47.33,Zone 2 (Some prep)
"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,38.68,Zone 3 (Medium prep)
"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,64.77,Zone 4 (Considerable prep)
"Arts, Design, Entertainment, Sports, and Media Occupations",5.00,44.77,Zone 5 (Extensive prep)
Building and Grounds Cleaning and Maintenance Occupations,1.00,4.39,Zone 1 (Little prep)
Building and Grounds Cleaning and Maintenance Occupations,2.00,34.82,Zone 2 (Some prep)
Building and Grounds Cleaning and Maintenance Occupations,3.00,11.96,Zone 3 (Medium prep)
Business and Financial Operations Occupations,2.00,19.80,Zone 2 (Some prep)
Business and Financial Operations Occupations,3.00,53.03,Zone 3 (Medium prep)
Business and Financial Operations Occupations,4.00,55.11,Zone 4 (Considerable prep)
Business and Financial Operations Occupations,5.00,84.89,Zone 5 (Extensive prep)
Community and Social Service Occupations,4.00,38.71,Zone 4 (Considerable prep)
Community and Social Service Occupations,5.00,47.54,Zone 5 (Extensive prep)
Computer and Mathematical Occupations,3.00,73.74,Zone 3 (Medium prep)
Computer and Mathematical Occupations,4.00,61.50,Zone 4 (Considerable prep)
Computer and Mathematical Occupations,5.00,64.88,Zone 5 (Extensive prep)
Construction and Extraction Occupations,1.00,14.76,Zone 1 (Little prep)
Construction and Extraction Occupations,2.00,12.22,Zone 2 (Some prep)
Construction and Extraction Occupations,3.00,37.34,Zone 3 (Medium prep)
Educational Instruction and Library Occupations,3.00,38.60,Zone 3 (Medium prep)
Educational Instruction and Library Occupations,4.00,55.99,Zone 4 (Considerable prep)
Educational Instruction and Library Occupations,5.00,64.43,Zone 5 (Extensive prep)
"Farming, Fishing, and Forestry Occupations",1.00,6.97,Zone 1 (Little prep)
"Farming, Fishing, and Forestry Occupations",2.00,25.36,Zone 2 (Some prep)
"Farming, Fishing, and Forestry Occupations",3.00,7.87,Zone 3 (Medium prep)
Food Preparation and Serving Related Occupations,1.00,35.27,Zone 1 (Little prep)
Food Preparation and Serving Related Occupations,2.00,36.97,Zone 2 (Some prep)
Food Preparation and Serving Related Occupations,3.00,44.74,Zone 3 (Medium prep)
Healthcare Practitioners and Technical Occupations,3.00,28.20,Zone 3 (Medium prep)
Healthcare Practitioners and Technical Occupations,4.00,29.25,Zone 4 (Considerable prep)
Healthcare Practitioners and Technical Occupations,5.00,42.18,Zone 5 (Extensive prep)
Healthcare Support Occupations,2.00,34.99,Zone 2 (Some prep)
Healthcare Support Occupations,3.00,28.46,Zone 3 (Medium prep)
"Installation, Maintenance, and Repair Occupations",2.00,20.81,Zone 2 (Some prep)
"Installation, Maintenance, and Repair Occupations",3.00,27.44,Zone 3 (Medium prep)
Legal Occupations,2.00,66.18,Zone 2 (Some prep)
Legal Occupations,3.00,41.59,Zone 3 (Medium prep)
Legal Occupations,5.00,41.59,Zone 5 (Extensive prep)
"Life, Physical, and Social Science Occupations",3.00,36.16,Zone 3 (Medium prep)
"Life, Physical, and Social Science Occupations",4.00,42.91,Zone 4 (Considerable prep)
"Life, Physical, and Social Science Occupations",5.00,41.04,Zone 5 (Extensive prep)
Management Occupations,2.00,31.91,Zone 2 (Some prep)
Management Occupations,3.00,14.59,Zone 3 (Medium prep)
Management Occupations,4.00,41.07,Zone 4 (Considerable prep)
Management Occupations,5.00,57.30,Zone 5 (Extensive prep)
Office and Administrative Support Occupations,2.00,62.60,Zone 2 (Some prep)
Office and Administrative Support Occupations,3.00,63.50,Zone 3 (Medium prep)
Office and Administrative Support Occupations,4.00,70.09,Zone 4 (Considerable prep)
Personal Care and Service Occupations,1.00,40.93,Zone 1 (Little prep)
Personal Care and Service Occupations,2.00,35.49,Zone 2 (Some prep)
Personal Care and Service Occupations,3.00,38.99,Zone 3 (Medium prep)
Personal Care and Service Occupations,4.00,31.95,Zone 4 (Considerable prep)
Production Occupations,1.00,21.77,Zone 1 (Little prep)
Production Occupations,2.00,18.81,Zone 2 (Some prep)
Production Occupations,3.00,30.96,Zone 3 (Medium prep)
Protective Service Occupations,2.00,40.73,Zone 2 (Some prep)
Protective Service Occupations,3.00,29.95,Zone 3 (Medium prep)
Protective Service Occupations,4.00,73.10,Zone 4 (Considerable prep)
Sales and Related Occupations,1.00,40.73,Zone 1 (Little prep)
Sales and Related Occupations,2.00,53.28,Zone 2 (Some prep)
Sales and Related Occupations,3.00,76.12,Zone 3 (Medium prep)
Sales and Related Occupations,4.00,68.76,Zone 4 (Considerable prep)
Transportation and Material Moving Occupations,1.00,20.08,Zone 1 (Little prep)
Transportation and Material Moving Occupations,2.00,12.90,Zone 2 (Some prep)
Transportation and Material Moving Occupations,3.00,22.33,Zone 3 (Medium prep)
Transportation and Material Moving Occupations,4.00,15.54,Zone 4 (Considerable prep)
