title_current,major,job_zone,outlook,emp,wage,pct,tier
Accountants and Auditors,Business and Financial Operations Occupations,4.00,5.00,1448290.00,81680.00,28.09,Restructuring (20–39%)
Actors,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,0.00,38800.00,78000.00,79.37,High (≥60%)
Actuaries,Computer and Mathematical Occupations,4.00,4.00,28340.00,125770.00,45.67,Moderate (40–59%)
Acupuncturists,Healthcare Practitioners and Technical Occupations,5.00,5.00,8440.00,78140.00,21.71,Restructuring (20–39%)
Acute Care Nurses,Healthcare Practitioners and Technical Occupations,4.00,5.00,495221.00,93600.00,32.08,Restructuring (20–39%)
Adapted Physical Education Specialists,Educational Instruction and Library Occupations,5.00,4.00,39350.00,67430.00,33.82,Restructuring (20–39%)
Adhesive Bonding Machine Operators and Tenders,Production Occupations,2.00,2.00,12170.00,45210.00,21.57,Restructuring (20–39%)
"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Occupations,5.00,4.00,16230.00,115230.00,40.53,Moderate (40–59%)
Administrative Services Managers,Management Occupations,3.00,5.00,184500.52,106986.55,21.21,Restructuring (20–39%)
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Educational Instruction and Library Occupations,4.00,3.00,36260.00,59950.00,24.89,Restructuring (20–39%)
Advanced Practice Psychiatric Nurses,Healthcare Practitioners and Technical Occupations,5.00,5.00,1031526.00,93600.00,47.35,Moderate (40–59%)
Advertising Sales Agents,Sales and Related Occupations,4.00,3.00,97470.00,61460.00,83.62,High (≥60%)
Advertising and Promotions Managers,Management Occupations,4.00,3.00,21100.00,126960.00,53.17,Moderate (40–59%)
Aerospace Engineering and Operations Technologists and Technicians,Architecture and Engineering Occupations,3.00,3.00,9060.00,79830.00,36.82,Restructuring (20–39%)
Aerospace Engineers,Architecture and Engineering Occupations,4.00,5.00,68440.00,134830.00,27.46,Restructuring (20–39%)
"Agents and Business Managers of Artists, Performers, and Athletes",Business and Financial Operations Occupations,4.00,3.00,14220.00,96310.00,53.06,Moderate (40–59%)
Agricultural Engineers,Architecture and Engineering Occupations,4.00,5.00,1680.00,84630.00,38.39,Restructuring (20–39%)
Agricultural Equipment Operators,"Farming, Fishing, and Forestry Occupations",1.00,1.00,30940.00,42580.00,16.24,Low (<20%)
Agricultural Inspectors,"Farming, Fishing, and Forestry Occupations",2.00,1.00,12090.00,50990.00,28.01,Restructuring (20–39%)
"Agricultural Sciences Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,8700.00,86350.00,75.45,High (≥60%)
Agricultural Technicians,"Life, Physical, and Social Science Occupations",3.00,1.00,9848.10,47795.71,26.56,Restructuring (20–39%)
Air Traffic Controllers,Transportation and Material Moving Occupations,3.00,3.00,22400.00,144580.00,31.15,Restructuring (20–39%)
Aircraft Cargo Handling Supervisors,Transportation and Material Moving Occupations,2.00,2.00,10160.00,63940.00,20.85,Restructuring (20–39%)
Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair Occupations",3.00,4.00,136390.00,78680.00,14.03,Low (<20%)
Aircraft Service Attendants,Transportation and Material Moving Occupations,2.00,2.00,27310.00,41540.00,14.25,Low (<20%)
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production Occupations,2.00,2.00,32890.00,61680.00,13.39,Low (<20%)
Airfield Operations Specialists,Transportation and Material Moving Occupations,3.00,3.00,16640.00,56750.00,29.10,Restructuring (20–39%)
"Airline Pilots, Copilots, and Flight Engineers",Transportation and Material Moving Occupations,4.00,3.00,99300.00,226600.00,14.89,Low (<20%)
Allergists and Immunologists,Healthcare Practitioners and Technical Occupations,5.00,2.00,137310.00,249103.60,30.31,Restructuring (20–39%)
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Transportation and Material Moving Occupations,2.00,3.00,12080.00,34330.00,0.54,Low (<20%)
Amusement and Recreation Attendants,Personal Care and Service Occupations,1.00,2.00,371590.00,30490.00,40.93,Moderate (40–59%)
Anesthesiologist Assistants,Healthcare Practitioners and Technical Occupations,5.00,5.00,34693.00,133260.00,10.49,Low (<20%)
Anesthesiologists,Healthcare Practitioners and Technical Occupations,5.00,0.00,41890.00,257920.00,5.78,Low (<20%)
Animal Breeders,"Farming, Fishing, and Forestry Occupations",2.00,1.00,1730.00,52000.00,47.23,Moderate (40–59%)
Animal Caretakers,Personal Care and Service Occupations,2.00,2.00,277300.00,33470.00,39.56,Restructuring (20–39%)
Animal Control Workers,Protective Service Occupations,2.00,2.00,11790.00,45830.00,47.12,Moderate (40–59%)
Animal Scientists,"Life, Physical, and Social Science Occupations",5.00,4.00,2470.00,79120.00,38.75,Restructuring (20–39%)
Animal Trainers,Personal Care and Service Occupations,2.00,1.00,20110.00,38750.00,14.76,Low (<20%)
Anthropologists and Archeologists,"Life, Physical, and Social Science Occupations",5.00,3.00,8070.00,64910.00,33.15,Restructuring (20–39%)
"Anthropology and Archeology Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,3.00,5260.00,95770.00,70.86,High (≥60%)
Appraisers and Assessors of Real Estate,Business and Financial Operations Occupations,4.00,4.00,29535.00,65420.00,26.63,Restructuring (20–39%)
Appraisers of Personal and Business Property,Business and Financial Operations Occupations,4.00,4.00,29535.00,65420.00,41.67,Moderate (40–59%)
"Arbitrators, Mediators, and Conciliators",Legal Occupations,5.00,4.00,7860.00,67710.00,42.77,Moderate (40–59%)
"Architects, Except Landscape and Naval",Architecture and Engineering Occupations,5.00,5.00,111140.00,96690.00,63.87,High (≥60%)
Architectural and Civil Drafters,Architecture and Engineering Occupations,3.00,3.00,109550.00,64280.00,45.47,Moderate (40–59%)
Architectural and Engineering Managers,Management Occupations,5.00,5.00,172102.00,167740.00,57.38,Moderate (40–59%)
"Architecture Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,9120.00,101480.00,77.55,High (≥60%)
Archivists,Educational Instruction and Library Occupations,5.00,2.00,7050.00,61570.00,86.73,High (≥60%)
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,11430.00,84290.00,76.37,High (≥60%)
Art Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,50370.00,111040.00,62.54,High (≥60%)
Art Therapists,Healthcare Practitioners and Technical Occupations,5.00,4.00,9131.00,65010.00,52.25,Moderate (40–59%)
"Art, Drama, and Music Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,97890.00,80190.00,72.25,High (≥60%)
Astronomers,"Life, Physical, and Social Science Occupations",5.00,4.00,1560.00,132170.00,72.49,High (≥60%)
Athletes and Sports Competitors,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,3.00,14370.00,62360.00,46.65,Moderate (40–59%)
Athletic Trainers,Healthcare Practitioners and Technical Occupations,5.00,3.00,28950.00,60250.00,31.80,Restructuring (20–39%)
