job_zone,tier,n_occs,workers,workers_m,job_zone_label
1.00,Low (<20%),23,3797330.00,3.80,Zone 1 (Little prep)
1.00,Moderate (40–59%),6,3589230.00,3.59,Zone 1 (Little prep)
1.00,Restructuring (20–39%),4,1880340.00,1.88,Zone 1 (Little prep)
2.00,High (≥60%),17,10374590.00,10.37,Zone 2 (Some prep)
2.00,Low (<20%),149,18804343.46,18.80,Zone 2 (Some prep)
2.00,Moderate (40–59%),37,14476542.00,14.48,Zone 2 (Some prep)
2.00,Restructuring (20–39%),95,22296664.04,22.30,Zone 2 (Some prep)
3.00,High (≥60%),24,6144409.73,6.14,Zone 3 (Medium prep)
3.00,Low (<20%),51,7370225.18,7.37,Zone 3 (Medium prep)
3.00,Moderate (40–59%),39,6532246.00,6.53,Zone 3 (Medium prep)
3.00,Restructuring (20–39%),99,10943805.26,10.94,Zone 3 (Medium prep)
4.00,High (≥60%),51,12448511.95,12.45,Zone 4 (Considerable prep)
4.00,Low (<20%),20,892244.00,0.89,Zone 4 (Considerable prep)
4.00,Moderate (40–59%),87,10581864.35,10.58,Zone 4 (Considerable prep)
4.00,Restructuring (20–39%),67,12194202.33,12.19,Zone 4 (Considerable prep)
5.00,High (≥60%),53,2424460.00,2.42,Zone 5 (Extensive prep)
5.00,Low (<20%),16,429521.75,0.43,Zone 5 (Extensive prep)
5.00,Moderate (40–59%),50,6600050.83,6.60,Zone 5 (Extensive prep)
5.00,Restructuring (20–39%),35,1450713.57,1.45,Zone 5 (Extensive prep)
