category,workers_affected,wages_affected,pct_tasks_affected
Office and Administrative Support Occupations,11211805.50,532655747235.43,51.05
Sales and Related Occupations,7574293.67,363035474832.75,59.53
Business and Financial Operations Occupations,5465270.63,443698131584.16,50.73
Food Preparation and Serving Related Occupations,4905325.38,167268289053.74,35.56
Management Occupations,4787440.12,613850326628.42,35.52
Educational Instruction and Library Occupations,4231451.71,268872175208.94,53.58
Healthcare Practitioners and Technical Occupations,3345832.72,326418819130.75,29.25
Computer and Mathematical Occupations,3305671.69,331313213511.07,65.70
Healthcare Support Occupations,2405440.06,92312817314.83,25.10
Transportation and Material Moving Occupations,2141407.07,101021046727.33,17.58
"Installation, Maintenance, and Repair Occupations",1587023.87,96709542294.39,23.91
Production Occupations,1577975.29,79093629622.31,18.31
Protective Service Occupations,1370571.58,72812418372.76,33.27
Construction and Extraction Occupations,1338971.01,85605981839.16,13.88
"Arts, Design, Entertainment, Sports, and Media Occupations",1176721.97,76028144251.40,47.59
Personal Care and Service Occupations,1138612.05,41285161914.16,34.27
Architecture and Engineering Occupations,1119726.49,111475278692.68,40.43
Community and Social Service Occupations,961319.91,56006098808.93,47.26
"Life, Physical, and Social Science Occupations",614566.92,52188878657.71,41.77
Legal Occupations,521711.86,60787696848.72,48.28
Building and Grounds Cleaning and Maintenance Occupations,476603.66,19088938187.05,18.46
"Farming, Fishing, and Forestry Occupations",41214.17,1662419115.89,13.72
