category,workers_affected,wages_affected,pct_tasks_affected
Business Operations Specialists,4226368.91,338208290461.56,52.23
Retail Sales Workers,4067798.91,137121698656.76,51.32
Information and Record Clerks,3839153.74,161926458707.69,56.91
Computer Occupations,3013574.10,300217650606.65,64.61
Food and Beverage Serving Workers,2653873.41,84761461979.61,35.07
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",2434564.44,149066679782.65,46.85
Healthcare Diagnosing or Treating Practitioners,2358436.28,271010727503.05,30.89
Other Office and Administrative Support Workers,2026903.93,88564497451.48,52.60
Secretaries and Administrative Assistants,1924134.27,97619295280.78,49.79
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",1686302.07,59866506718.79,18.10
Financial Clerks,1571627.37,75563494746.19,50.24
Other Management Occupations,1533160.79,162569972568.85,35.26
Operations Specialties Managers,1490716.50,230694616357.67,33.20
Cooks and Food Preparation Workers,1410975.35,49200747452.17,40.35
"Sales Representatives, Wholesale and Manufacturing",1260766.67,91662413344.62,78.18
Financial Specialists,1238901.73,105489841122.60,48.09
Top Executives,1111807.90,124078005999.92,39.74
Material Moving Workers,1072056.44,40757480941.90,11.67
Supervisors of Office and Administrative Support Workers,1023367.28,67685511818.04,68.43
"Sales Representatives, Services",1017319.94,66119975271.43,48.74
Health Technologists and Technicians,919483.17,51283897416.33,26.71
"Counselors, Social Workers, and Other Community and Social Service Specialists",906492.65,52748734465.05,45.36
Supervisors of Sales Workers,896606.06,47903299111.99,67.41
Postsecondary Teachers,870281.73,77596230929.04,71.49
Other Protective Service Workers,847628.77,33304596376.42,41.32
Construction Trades Workers,844052.65,48745941306.96,16.47
Motor Vehicle Operators,802258.66,40914587522.17,18.18
"Material Recording, Scheduling, Dispatching, and Distributing Workers",798614.53,40220385313.74,39.38
Engineers,785451.08,86401202801.90,42.40
"Other Installation, Maintenance, and Repair Occupations",780229.05,43939458677.63,23.94
Other Healthcare Support Occupations,691094.08,30760789401.09,32.08
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",651754.94,96507731701.98,46.55
Supervisors of Food Preparation and Serving Workers,514414.86,23159184446.92,39.31
Media and Communication Workers,462251.54,32798972205.15,57.72
Other Personal Care and Service Workers,438376.34,16105316421.00,37.50
Other Production Occupations,433932.12,20945891743.90,18.09
Law Enforcement Workers,413910.09,31316342315.05,32.63
Other Teachers and Instructors,403112.44,16515918031.36,41.07
Other Educational Instruction and Library Occupations,402791.95,19158035268.19,33.06
Supervisors of Construction and Extraction Workers,396337.54,31187801079.46,50.24
Art and Design Workers,380836.43,23694050066.93,56.19
"Lawyers, Judges, and Related Workers",337117.10,49717807382.45,41.89
Other Sales and Related Workers,331802.09,20228088447.95,71.20
Metal Workers and Plastic Workers,330129.36,16692204438.83,19.25
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",327756.13,18222554346.54,15.64
Other Food Preparation and Serving Related Workers,326061.75,10146895175.03,28.11
Building Cleaning and Pest Control Workers,305802.00,11241864601.48,13.85
"Supervisors of Installation, Maintenance, and Repair Workers",292631.64,22913057143.80,48.72
Mathematical Science Occupations,292097.59,31095562904.41,70.68
Food Processing Workers,250959.45,9676590691.69,24.73
Entertainment Attendants and Related Workers,246028.64,7708354107.22,38.99
"Entertainers and Performers, Sports and Related Workers",244031.63,14517768870.05,34.29
"Drafters, Engineering Technicians, and Mapping Technicians",233867.44,15982041206.85,38.40
Supervisors of Production Workers,223843.33,15935406585.35,32.67
Personal Appearance Workers,196217.71,7154756448.45,26.76
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",186407.05,11634472126.41,34.81
Legal Support Workers,184594.76,11069889466.27,59.81
Life Scientists,169976.60,15795625776.76,46.43
Assemblers and Fabricators,159312.37,7013445439.37,13.95
"Life, Physical, and Social Science Technicians",148382.36,8376508992.31,34.58
Social Scientists and Related Workers,126690.46,12306949694.03,46.81
Physical Scientists,124939.20,12143471726.07,47.38
"Librarians, Curators, and Archivists",120701.16,6535311197.69,59.23
Animal Care and Service Workers,112671.89,3786797342.91,28.62
Supervisors of Building and Grounds Cleaning and Maintenance Workers,108120.42,5384137794.35,36.03
"Architects, Surveyors, and Cartographers",100407.96,9092034683.93,41.71
Media and Communication Equipment Workers,89602.36,5017353109.26,47.01
Air Transportation Workers,88143.33,9528610794.26,28.62
Supervisors of Transportation and Material Moving Workers,87252.55,5154692795.29,25.60
Other Healthcare Practitioners and Technical Occupations,67913.28,4124194211.37,25.23
Supervisors of Personal Care and Service Workers,67104.34,3589406405.77,34.80
Other Transportation Workers,64137.21,2574163501.44,16.82
Grounds Maintenance Workers,62681.24,2462935791.22,9.45
Supervisors of Protective Service Workers,60932.36,5274481399.05,19.42
Other Construction and Related Workers,59939.03,3863087084.16,13.41
"Textile, Apparel, and Furnishings Workers",58009.61,2134088087.11,13.44
Religious Workers,54827.26,3257364343.88,70.41
Firefighting and Prevention Workers,48100.36,2916998282.24,15.88
Woodworkers,47596.21,2028402689.42,24.29
Occupational Health and Safety Specialists and Technicians,44578.31,3566322468.53,24.35
Printing Workers,43659.34,1974149238.08,22.65
"Baggage Porters, Bellhops, and Concierges",38066.57,1408981117.18,42.98
Agricultural Workers,36309.56,1399308877.88,19.98
Plant and System Operators,30533.52,2693450708.56,17.23
Occupational Therapy and Physical Therapist Assistants and Aides,28043.90,1685521194.95,15.55
Communications Equipment Operators,28004.39,1076103917.50,64.32
"Helpers, Construction Trades",24299.32,979593380.23,11.75
Tour and Travel Guides,21318.12,781522247.53,41.66
Funeral Service Workers,18828.44,750027824.10,21.85
Rail Transportation Workers,16910.22,1273859427.93,14.26
Extraction Workers,14342.47,829558988.35,8.08
Water Transportation Workers,10648.66,817651744.35,13.23
"Forest, Conservation, and Logging Workers",2579.95,125188250.90,11.74
"Supervisors of Farming, Fishing, and Forestry Workers",2324.66,137921987.11,7.87
Fishing and Hunting Workers,0.00,0.00,5.81
