major,avg_overall_gap,config_key,config_label
Architecture and Engineering Occupations,-1.40,all_ceiling,All Sources (Ceiling)
"Arts, Design, Entertainment, Sports, and Media Occupations",0.26,all_ceiling,All Sources (Ceiling)
Building and Grounds Cleaning and Maintenance Occupations,1.79,all_ceiling,All Sources (Ceiling)
Business and Financial Operations Occupations,-0.10,all_ceiling,All Sources (Ceiling)
Community and Social Service Occupations,-1.30,all_ceiling,All Sources (Ceiling)
Computer and Mathematical Occupations,-0.56,all_ceiling,All Sources (Ceiling)
Construction and Extraction Occupations,0.29,all_ceiling,All Sources (Ceiling)
Educational Instruction and Library Occupations,-0.84,all_ceiling,All Sources (Ceiling)
"Farming, Fishing, and Forestry Occupations",1.23,all_ceiling,All Sources (Ceiling)
Food Preparation and Serving Related Occupations,3.09,all_ceiling,All Sources (Ceiling)
Healthcare Practitioners and Technical Occupations,-1.03,all_ceiling,All Sources (Ceiling)
Healthcare Support Occupations,1.88,all_ceiling,All Sources (Ceiling)
"Installation, Maintenance, and Repair Occupations",-0.03,all_ceiling,All Sources (Ceiling)
Legal Occupations,-1.86,all_ceiling,All Sources (Ceiling)
"Life, Physical, and Social Science Occupations",-1.17,all_ceiling,All Sources (Ceiling)
Management Occupations,-0.99,all_ceiling,All Sources (Ceiling)
Office and Administrative Support Occupations,1.95,all_ceiling,All Sources (Ceiling)
Personal Care and Service Occupations,2.31,all_ceiling,All Sources (Ceiling)
Production Occupations,0.84,all_ceiling,All Sources (Ceiling)
Protective Service Occupations,0.31,all_ceiling,All Sources (Ceiling)
Sales and Related Occupations,1.36,all_ceiling,All Sources (Ceiling)
Transportation and Material Moving Occupations,0.58,all_ceiling,All Sources (Ceiling)
Architecture and Engineering Occupations,-4.45,human_conversation,Human Conversation
"Arts, Design, Entertainment, Sports, and Media Occupations",-2.90,human_conversation,Human Conversation
Building and Grounds Cleaning and Maintenance Occupations,-1.07,human_conversation,Human Conversation
Business and Financial Operations Occupations,-3.38,human_conversation,Human Conversation
