element_name,ai_capability,domain,eco_baseline,gap
Sales and Marketing,19.48,knowledge,14.84,4.64
History and Archeology,21.94,knowledge,17.49,4.44
Philosophy and Theology,19.18,knowledge,15.90,3.28
Foreign Language,21.48,knowledge,18.20,3.28
Education and Training,18.79,knowledge,16.32,2.47
Fine Arts,20.76,knowledge,18.55,2.21
Telecommunications,14.44,knowledge,12.67,1.77
Instructing,13.59,skills,11.83,1.76
Communications and Media,14.98,knowledge,13.39,1.60
English Language,16.99,knowledge,15.56,1.43
Learning Strategies,13.46,skills,12.07,1.39
Economics and Accounting,14.47,knowledge,13.33,1.14
Computers and Electronics,16.82,knowledge,15.73,1.09
Programming,14.22,skills,13.22,1.00
Speech Clarity,12.75,abilities,12.21,0.54
Mathematical Reasoning,12.48,abilities,11.98,0.51
Speaking,13.74,skills,13.30,0.44
Written Expression,14.74,abilities,14.39,0.36
Number Facility,11.74,abilities,11.40,0.34
Written Comprehension,14.93,abilities,14.78,0.15
Writing,13.86,skills,13.71,0.15
Sociology and Anthropology,15.37,knowledge,15.24,0.13
Reading Comprehension,14.64,skills,14.62,0.02
