element_name,ai_capability,domain,eco_baseline,gap
Sound Localization,0.75,abilities,8.64,-7.89
Reaction Time,3.58,abilities,11.42,-7.85
Peripheral Vision,2.41,abilities,10.11,-7.69
Response Orientation,3.33,abilities,10.90,-7.57
Speed of Limb Movement,2.51,abilities,10.00,-7.49
Glare Sensitivity,2.68,abilities,10.16,-7.48
Night Vision,1.94,abilities,9.29,-7.35
Spatial Orientation,3.74,abilities,11.00,-7.26
Multilimb Coordination,3.67,abilities,10.90,-7.23
Rate Control,2.85,abilities,10.04,-7.18
Control Precision,4.40,abilities,11.53,-7.12
Building and Construction,9.94,knowledge,17.05,-7.11
Depth Perception,3.37,abilities,10.42,-7.04
Static Strength,3.74,abilities,10.77,-7.03
Extent Flexibility,4.37,abilities,11.06,-6.70
Operation and Control,4.50,skills,11.09,-6.58
Dynamic Flexibility,5.53,abilities,12.04,-6.51
Mechanical,9.76,knowledge,16.11,-6.36
Trunk Strength,4.17,abilities,10.17,-6.00
Hearing Sensitivity,4.41,abilities,10.41,-5.99
Manual Dexterity,4.64,abilities,10.60,-5.96
Arm-Hand Steadiness,4.95,abilities,10.89,-5.94
Auditory Attention,4.15,abilities,10.09,-5.94
Repairing,5.85,skills,11.75,-5.90
Dynamic Strength,4.39,abilities,10.23,-5.85
Stamina,3.89,abilities,9.73,-5.84
Operations Monitoring,5.57,skills,11.28,-5.72
Gross Body Equilibrium,4.04,abilities,9.76,-5.71
Installation,4.77,skills,10.42,-5.65
Medicine and Dentistry,13.41,knowledge,18.84,-5.42
