major,Commodity Title,n_occs_with_tech,total_occs,pct_occs
Architecture and Engineering Occupations,Accounting software,1,56,1.79
Architecture and Engineering Occupations,Analytical or scientific software,53,56,94.64
Architecture and Engineering Occupations,Business intelligence and data analysis software,7,56,12.50
Architecture and Engineering Occupations,Customer relationship management CRM software,6,56,10.71
Architecture and Engineering Occupations,Data base management system software,8,56,14.29
Architecture and Engineering Occupations,Data base user interface and query software,51,56,91.07
Architecture and Engineering Occupations,Development environment software,44,56,78.57
Architecture and Engineering Occupations,Document management software,25,56,44.64
Architecture and Engineering Occupations,Electronic mail software,47,56,83.93
Architecture and Engineering Occupations,Enterprise resource planning ERP software,40,56,71.43
Architecture and Engineering Occupations,Financial analysis software,5,56,8.93
Architecture and Engineering Occupations,Graphics or photo imaging software,33,56,58.93
Architecture and Engineering Occupations,Human resources software,1,56,1.79
Architecture and Engineering Occupations,Internet browser software,26,56,46.43
Architecture and Engineering Occupations,Medical software,2,56,3.57
Architecture and Engineering Occupations,Object or component oriented development software,42,56,75.00
Architecture and Engineering Occupations,Office suite software,56,56,100.00
Architecture and Engineering Occupations,Operating system software,39,56,69.64
Architecture and Engineering Occupations,Presentation software,54,56,96.43
Architecture and Engineering Occupations,Project management software,44,56,78.57
Architecture and Engineering Occupations,Spreadsheet software,56,56,100.00
Architecture and Engineering Occupations,Web page creation and editing software,5,56,8.93
Architecture and Engineering Occupations,Web platform development software,14,56,25.00
Architecture and Engineering Occupations,Word processing software,55,56,98.21
"Arts, Design, Entertainment, Sports, and Media Occupations",Accounting software,6,40,15.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Analytical or scientific software,12,40,30.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Customer relationship management CRM software,5,40,12.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Data base management system software,2,40,5.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Data base user interface and query software,24,40,60.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Development environment software,10,40,25.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Document management software,20,40,50.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Electronic mail software,35,40,87.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Enterprise resource planning ERP software,8,40,20.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Financial analysis software,2,40,5.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Graphics or photo imaging software,29,40,72.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Human resources software,1,40,2.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Internet browser software,29,40,72.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Medical software,1,40,2.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Object or component oriented development software,10,40,25.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Office suite software,38,40,95.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Operating system software,16,40,40.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Point of sale POS software,3,40,7.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Presentation software,35,40,87.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Project management software,18,40,45.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Spreadsheet software,37,40,92.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Web page creation and editing software,27,40,67.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Web platform development software,16,40,40.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Word processing software,37,40,92.50
Building and Grounds Cleaning and Maintenance Occupations,Accounting software,1,8,12.50
Building and Grounds Cleaning and Maintenance Occupations,Analytical or scientific software,1,8,12.50
Building and Grounds Cleaning and Maintenance Occupations,Data base user interface and query software,4,8,50.00
Building and Grounds Cleaning and Maintenance Occupations,Document management software,1,8,12.50
Building and Grounds Cleaning and Maintenance Occupations,Electronic mail software,8,8,100.00
Building and Grounds Cleaning and Maintenance Occupations,Enterprise resource planning ERP software,1,8,12.50
Building and Grounds Cleaning and Maintenance Occupations,Office suite software,6,8,75.00
Building and Grounds Cleaning and Maintenance Occupations,Operating system software,5,8,62.50
Building and Grounds Cleaning and Maintenance Occupations,Presentation software,2,8,25.00
Building and Grounds Cleaning and Maintenance Occupations,Project management software,1,8,12.50
Building and Grounds Cleaning and Maintenance Occupations,Spreadsheet software,8,8,100.00
Building and Grounds Cleaning and Maintenance Occupations,Web page creation and editing software,6,8,75.00
Building and Grounds Cleaning and Maintenance Occupations,Word processing software,6,8,75.00
Business and Financial Operations Occupations,Accounting software,23,48,47.92
Business and Financial Operations Occupations,Analytical or scientific software,28,48,58.33
Business and Financial Operations Occupations,Business intelligence and data analysis software,25,48,52.08
Business and Financial Operations Occupations,Customer relationship management CRM software,21,48,43.75
Business and Financial Operations Occupations,Data base management system software,14,48,29.17
Business and Financial Operations Occupations,Data base user interface and query software,48,48,100.00
Business and Financial Operations Occupations,Development environment software,20,48,41.67
Business and Financial Operations Occupations,Document management software,37,48,77.08
Business and Financial Operations Occupations,Electronic mail software,47,48,97.92
Business and Financial Operations Occupations,Enterprise resource planning ERP software,39,48,81.25
Business and Financial Operations Occupations,Financial analysis software,22,48,45.83
Business and Financial Operations Occupations,Graphics or photo imaging software,24,48,50.00
Business and Financial Operations Occupations,Human resources software,15,48,31.25
Business and Financial Operations Occupations,Internet browser software,35,48,72.92
Business and Financial Operations Occupations,Medical software,8,48,16.67
Business and Financial Operations Occupations,Object or component oriented development software,19,48,39.58
Business and Financial Operations Occupations,Office suite software,48,48,100.00
Business and Financial Operations Occupations,Operating system software,24,48,50.00
Business and Financial Operations Occupations,Point of sale POS software,3,48,6.25
Business and Financial Operations Occupations,Presentation software,46,48,95.83
Business and Financial Operations Occupations,Project management software,29,48,60.42
Business and Financial Operations Occupations,Spreadsheet software,48,48,100.00
Business and Financial Operations Occupations,Web page creation and editing software,16,48,33.33
Business and Financial Operations Occupations,Web platform development software,11,48,22.92
Business and Financial Operations Occupations,Word processing software,47,48,97.92
Community and Social Service Occupations,Accounting software,2,14,14.29
Community and Social Service Occupations,Analytical or scientific software,5,14,35.71
Community and Social Service Occupations,Customer relationship management CRM software,3,14,21.43
Community and Social Service Occupations,Data base user interface and query software,14,14,100.00
Community and Social Service Occupations,Development environment software,1,14,7.14
Community and Social Service Occupations,Document management software,3,14,21.43
Community and Social Service Occupations,Electronic mail software,14,14,100.00
Community and Social Service Occupations,Enterprise resource planning ERP software,2,14,14.29
Community and Social Service Occupations,Graphics or photo imaging software,4,14,28.57
Community and Social Service Occupations,Human resources software,1,14,7.14
Community and Social Service Occupations,Internet browser software,14,14,100.00
Community and Social Service Occupations,Medical software,11,14,78.57
Community and Social Service Occupations,Office suite software,14,14,100.00
Community and Social Service Occupations,Operating system software,1,14,7.14
Community and Social Service Occupations,Presentation software,14,14,100.00
Community and Social Service Occupations,Project management software,6,14,42.86
Community and Social Service Occupations,Spreadsheet software,14,14,100.00
Community and Social Service Occupations,Web page creation and editing software,6,14,42.86
Community and Social Service Occupations,Web platform development software,2,14,14.29
Community and Social Service Occupations,Word processing software,14,14,100.00
Computer and Mathematical Occupations,Accounting software,8,36,22.22
Computer and Mathematical Occupations,Analytical or scientific software,31,36,86.11
Computer and Mathematical Occupations,Business intelligence and data analysis software,25,36,69.44
Computer and Mathematical Occupations,Customer relationship management CRM software,19,36,52.78
Computer and Mathematical Occupations,Data base management system software,32,36,88.89
Computer and Mathematical Occupations,Data base user interface and query software,36,36,100.00
Computer and Mathematical Occupations,Development environment software,36,36,100.00
Computer and Mathematical Occupations,Document management software,25,36,69.44
Computer and Mathematical Occupations,Electronic mail software,28,36,77.78
Computer and Mathematical Occupations,Enterprise resource planning ERP software,29,36,80.56
Computer and Mathematical Occupations,Financial analysis software,17,36,47.22
Computer and Mathematical Occupations,Graphics or photo imaging software,18,36,50.00
Computer and Mathematical Occupations,Human resources software,13,36,36.11
Computer and Mathematical Occupations,Internet browser software,10,36,27.78
Computer and Mathematical Occupations,Medical software,15,36,41.67
Computer and Mathematical Occupations,Object or component oriented development software,36,36,100.00
Computer and Mathematical Occupations,Office suite software,35,36,97.22
Computer and Mathematical Occupations,Operating system software,34,36,94.44
Computer and Mathematical Occupations,Point of sale POS software,1,36,2.78
Computer and Mathematical Occupations,Presentation software,34,36,94.44
Computer and Mathematical Occupations,Project management software,29,36,80.56
Computer and Mathematical Occupations,Spreadsheet software,35,36,97.22
Computer and Mathematical Occupations,Web page creation and editing software,19,36,52.78
Computer and Mathematical Occupations,Web platform development software,31,36,86.11
Computer and Mathematical Occupations,Word processing software,30,36,83.33
Construction and Extraction Occupations,Accounting software,17,61,27.87
Construction and Extraction Occupations,Analytical or scientific software,23,61,37.70
Construction and Extraction Occupations,Customer relationship management CRM software,10,61,16.39
Construction and Extraction Occupations,Data base management system software,1,61,1.64
Construction and Extraction Occupations,Data base user interface and query software,28,61,45.90
Construction and Extraction Occupations,Development environment software,5,61,8.20
Construction and Extraction Occupations,Document management software,7,61,11.48
Construction and Extraction Occupations,Electronic mail software,27,61,44.26
Construction and Extraction Occupations,Enterprise resource planning ERP software,19,61,31.15
Construction and Extraction Occupations,Graphics or photo imaging software,7,61,11.48
Construction and Extraction Occupations,Internet browser software,10,61,16.39
Construction and Extraction Occupations,Object or component oriented development software,3,61,4.92
Construction and Extraction Occupations,Office suite software,46,61,75.41
Construction and Extraction Occupations,Operating system software,21,61,34.43
Construction and Extraction Occupations,Presentation software,19,61,31.15
Construction and Extraction Occupations,Project management software,38,61,62.30
Construction and Extraction Occupations,Spreadsheet software,53,61,86.89
Construction and Extraction Occupations,Web page creation and editing software,4,61,6.56
Construction and Extraction Occupations,Web platform development software,2,61,3.28
Construction and Extraction Occupations,Word processing software,44,61,72.13
Educational Instruction and Library Occupations,Accounting software,1,62,1.61
Educational Instruction and Library Occupations,Analytical or scientific software,26,62,41.94
Educational Instruction and Library Occupations,Business intelligence and data analysis software,1,62,1.61
Educational Instruction and Library Occupations,Customer relationship management CRM software,4,62,6.45
Educational Instruction and Library Occupations,Data base management system software,5,62,8.06
Educational Instruction and Library Occupations,Data base user interface and query software,47,62,75.81
Educational Instruction and Library Occupations,Development environment software,15,62,24.19
Educational Instruction and Library Occupations,Document management software,24,62,38.71
Educational Instruction and Library Occupations,Electronic mail software,62,62,100.00
Educational Instruction and Library Occupations,Enterprise resource planning ERP software,6,62,9.68
Educational Instruction and Library Occupations,Financial analysis software,1,62,1.61
Educational Instruction and Library Occupations,Graphics or photo imaging software,30,62,48.39
Educational Instruction and Library Occupations,Human resources software,1,62,1.61
Educational Instruction and Library Occupations,Internet browser software,58,62,93.55
Educational Instruction and Library Occupations,Medical software,5,62,8.06
Educational Instruction and Library Occupations,Object or component oriented development software,14,62,22.58
Educational Instruction and Library Occupations,Office suite software,62,62,100.00
Educational Instruction and Library Occupations,Operating system software,12,62,19.35
Educational Instruction and Library Occupations,Presentation software,60,62,96.77
Educational Instruction and Library Occupations,Project management software,19,62,30.65
Educational Instruction and Library Occupations,Spreadsheet software,62,62,100.00
Educational Instruction and Library Occupations,Web page creation and editing software,24,62,38.71
Educational Instruction and Library Occupations,Web platform development software,13,62,20.97
Educational Instruction and Library Occupations,Word processing software,61,62,98.39
"Farming, Fishing, and Forestry Occupations",Accounting software,2,12,16.67
"Farming, Fishing, and Forestry Occupations",Analytical or scientific software,3,12,25.00
"Farming, Fishing, and Forestry Occupations",Customer relationship management CRM software,1,12,8.33
"Farming, Fishing, and Forestry Occupations",Data base user interface and query software,12,12,100.00
"Farming, Fishing, and Forestry Occupations",Document management software,1,12,8.33
"Farming, Fishing, and Forestry Occupations",Electronic mail software,9,12,75.00
"Farming, Fishing, and Forestry Occupations",Enterprise resource planning ERP software,5,12,41.67
"Farming, Fishing, and Forestry Occupations",Graphics or photo imaging software,2,12,16.67
"Farming, Fishing, and Forestry Occupations",Human resources software,1,12,8.33
"Farming, Fishing, and Forestry Occupations",Internet browser software,5,12,41.67
"Farming, Fishing, and Forestry Occupations",Office suite software,11,12,91.67
"Farming, Fishing, and Forestry Occupations",Operating system software,3,12,25.00
"Farming, Fishing, and Forestry Occupations",Presentation software,8,12,66.67
"Farming, Fishing, and Forestry Occupations",Project management software,2,12,16.67
"Farming, Fishing, and Forestry Occupations",Spreadsheet software,12,12,100.00
"Farming, Fishing, and Forestry Occupations",Web platform development software,1,12,8.33
"Farming, Fishing, and Forestry Occupations",Word processing software,10,12,83.33
Food Preparation and Serving Related Occupations,Accounting software,3,16,18.75
Food Preparation and Serving Related Occupations,Analytical or scientific software,2,16,12.50
Food Preparation and Serving Related Occupations,Data base user interface and query software,10,16,62.50
Food Preparation and Serving Related Occupations,Electronic mail software,7,16,43.75
Food Preparation and Serving Related Occupations,Enterprise resource planning ERP software,3,16,18.75
Food Preparation and Serving Related Occupations,Financial analysis software,2,16,12.50
Food Preparation and Serving Related Occupations,Human resources software,1,16,6.25
Food Preparation and Serving Related Occupations,Internet browser software,3,16,18.75
Food Preparation and Serving Related Occupations,Office suite software,8,16,50.00
Food Preparation and Serving Related Occupations,Operating system software,5,16,31.25
Food Preparation and Serving Related Occupations,Point of sale POS software,12,16,75.00
Food Preparation and Serving Related Occupations,Presentation software,2,16,12.50
Food Preparation and Serving Related Occupations,Project management software,1,16,6.25
Food Preparation and Serving Related Occupations,Spreadsheet software,10,16,62.50
Food Preparation and Serving Related Occupations,Web page creation and editing software,10,16,62.50
Food Preparation and Serving Related Occupations,Word processing software,6,16,37.50
Healthcare Practitioners and Technical Occupations,Accounting software,9,89,10.11
Healthcare Practitioners and Technical Occupations,Analytical or scientific software,18,89,20.22
Healthcare Practitioners and Technical Occupations,Business intelligence and data analysis software,3,89,3.37
Healthcare Practitioners and Technical Occupations,Customer relationship management CRM software,3,89,3.37
Healthcare Practitioners and Technical Occupations,Data base management system software,3,89,3.37
Healthcare Practitioners and Technical Occupations,Data base user interface and query software,40,89,44.94
Healthcare Practitioners and Technical Occupations,Development environment software,8,89,8.99
Healthcare Practitioners and Technical Occupations,Document management software,8,89,8.99
Healthcare Practitioners and Technical Occupations,Electronic mail software,67,89,75.28
Healthcare Practitioners and Technical Occupations,Enterprise resource planning ERP software,11,89,12.36
Healthcare Practitioners and Technical Occupations,Graphics or photo imaging software,18,89,20.22
Healthcare Practitioners and Technical Occupations,Human resources software,4,89,4.49
Healthcare Practitioners and Technical Occupations,Internet browser software,49,89,55.06
Healthcare Practitioners and Technical Occupations,Medical software,86,89,96.63
Healthcare Practitioners and Technical Occupations,Object or component oriented development software,8,89,8.99
Healthcare Practitioners and Technical Occupations,Office suite software,71,89,79.78
Healthcare Practitioners and Technical Occupations,Operating system software,15,89,16.85
Healthcare Practitioners and Technical Occupations,Point of sale POS software,3,89,3.37
Healthcare Practitioners and Technical Occupations,Presentation software,45,89,50.56
Healthcare Practitioners and Technical Occupations,Project management software,6,89,6.74
Healthcare Practitioners and Technical Occupations,Spreadsheet software,75,89,84.27
Healthcare Practitioners and Technical Occupations,Web page creation and editing software,4,89,4.49
Healthcare Practitioners and Technical Occupations,Web platform development software,3,89,3.37
Healthcare Practitioners and Technical Occupations,Word processing software,74,89,83.15
Healthcare Support Occupations,Accounting software,4,19,21.05
Healthcare Support Occupations,Analytical or scientific software,1,19,5.26
Healthcare Support Occupations,Business intelligence and data analysis software,1,19,5.26
Healthcare Support Occupations,Customer relationship management CRM software,1,19,5.26
Healthcare Support Occupations,Data base user interface and query software,10,19,52.63
Healthcare Support Occupations,Document management software,3,19,15.79
Healthcare Support Occupations,Electronic mail software,18,19,94.74
Healthcare Support Occupations,Enterprise resource planning ERP software,1,19,5.26
Healthcare Support Occupations,Graphics or photo imaging software,1,19,5.26
Healthcare Support Occupations,Internet browser software,7,19,36.84
Healthcare Support Occupations,Medical software,18,19,94.74
Healthcare Support Occupations,Object or component oriented development software,1,19,5.26
Healthcare Support Occupations,Office suite software,17,19,89.47
Healthcare Support Occupations,Operating system software,9,19,47.37
Healthcare Support Occupations,Presentation software,11,19,57.89
Healthcare Support Occupations,Spreadsheet software,19,19,100.00
Healthcare Support Occupations,Web page creation and editing software,1,19,5.26
Healthcare Support Occupations,Web platform development software,2,19,10.53
Healthcare Support Occupations,Word processing software,18,19,94.74
"Installation, Maintenance, and Repair Occupations",Accounting software,8,50,16.00
"Installation, Maintenance, and Repair Occupations",Analytical or scientific software,20,50,40.00
"Installation, Maintenance, and Repair Occupations",Customer relationship management CRM software,3,50,6.00
"Installation, Maintenance, and Repair Occupations",Data base user interface and query software,32,50,64.00
"Installation, Maintenance, and Repair Occupations",Development environment software,3,50,6.00
"Installation, Maintenance, and Repair Occupations",Document management software,8,50,16.00
"Installation, Maintenance, and Repair Occupations",Electronic mail software,41,50,82.00
"Installation, Maintenance, and Repair Occupations",Enterprise resource planning ERP software,20,50,40.00
"Installation, Maintenance, and Repair Occupations",Graphics or photo imaging software,4,50,8.00
"Installation, Maintenance, and Repair Occupations",Internet browser software,24,50,48.00
"Installation, Maintenance, and Repair Occupations",Medical software,1,50,2.00
"Installation, Maintenance, and Repair Occupations",Object or component oriented development software,3,50,6.00
"Installation, Maintenance, and Repair Occupations",Office suite software,41,50,82.00
"Installation, Maintenance, and Repair Occupations",Operating system software,23,50,46.00
"Installation, Maintenance, and Repair Occupations",Point of sale POS software,5,50,10.00
"Installation, Maintenance, and Repair Occupations",Presentation software,25,50,50.00
"Installation, Maintenance, and Repair Occupations",Project management software,10,50,20.00
"Installation, Maintenance, and Repair Occupations",Spreadsheet software,47,50,94.00
"Installation, Maintenance, and Repair Occupations",Web page creation and editing software,6,50,12.00
"Installation, Maintenance, and Repair Occupations",Web platform development software,3,50,6.00
"Installation, Maintenance, and Repair Occupations",Word processing software,44,50,88.00
Legal Occupations,Accounting software,3,7,42.86
Legal Occupations,Analytical or scientific software,3,7,42.86
