geo,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations
ak,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
al,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ar,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
az,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ca,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
co,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ct,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
dc,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
de,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
fl,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ga,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
gu,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
hi,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ia,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
id,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
il,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
in,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ks,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ky,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
la,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ma,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
md,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
me,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
mi,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
mn,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
mo,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ms,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
mt,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
nc,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
nd,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ne,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
nh,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
nj,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
nm,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
nv,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ny,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
oh,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ok,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
or,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
pa,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
pr,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ri,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
sc,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
sd,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
tn,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
tx,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
ut,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
va,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
vi,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
vt,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
wa,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
wi,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
wv,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
wy,40.43,47.59,18.46,50.73,47.26,65.70,13.88,53.58,13.72,35.56,29.25,25.10,23.91,48.28,41.77,35.52,51.05,34.27,18.31,33.27,59.53,17.58
