geo,Architecture and Engineering Occupations,"Arts, Design, Entertainment, Sports, and Media Occupations",Building and Grounds Cleaning and Maintenance Occupations,Business and Financial Operations Occupations,Community and Social Service Occupations,Computer and Mathematical Occupations,Construction and Extraction Occupations,Educational Instruction and Library Occupations,"Farming, Fishing, and Forestry Occupations",Food Preparation and Serving Related Occupations,Healthcare Practitioners and Technical Occupations,Healthcare Support Occupations,"Installation, Maintenance, and Repair Occupations",Legal Occupations,"Life, Physical, and Social Science Occupations",Management Occupations,Office and Administrative Support Occupations,Personal Care and Service Occupations,Production Occupations,Protective Service Occupations,Sales and Related Occupations,Transportation and Material Moving Occupations
ak,4.00,1.32,0.57,8.73,1.53,5.19,3.42,5.21,0.03,6.99,11.65,3.17,2.82,0.49,2.74,10.78,14.75,1.65,1.95,2.02,7.87,3.09
al,5.32,1.11,0.60,8.85,0.95,5.56,2.61,5.36,0.07,7.64,13.27,3.26,2.79,0.50,0.70,6.07,13.49,1.53,3.59,2.21,11.13,3.38
ar,2.05,1.20,0.60,10.28,0.91,4.27,2.36,5.72,0.09,8.27,12.30,3.10,2.58,0.42,0.73,9.08,15.02,1.57,3.60,1.90,10.37,3.58
az,3.35,1.36,0.56,11.44,1.09,6.82,2.98,4.57,0.05,8.32,10.20,3.10,2.07,0.56,0.76,8.76,15.54,1.53,1.44,2.53,10.25,2.73
ca,3.73,2.29,0.53,12.92,1.45,10.51,1.92,4.45,0.16,7.63,9.44,2.99,1.47,0.65,1.31,10.29,11.98,1.58,1.48,2.23,8.38,2.61
co,4.27,1.65,0.55,17.39,0.96,9.32,2.60,4.82,0.04,7.71,8.86,2.66,1.79,0.63,1.27,7.35,10.95,1.80,1.27,1.65,10.18,2.26
ct,4.30,1.70,0.67,8.95,1.45,5.13,1.73,6.17,0.03,6.53,12.42,3.10,1.59,0.62,0.80,13.33,13.96,1.99,1.99,1.94,8.94,2.67
dc,2.67,4.48,0.45,24.83,0.77,21.18,0.60,2.82,0.02,3.47,4.77,1.44,0.52,2.65,2.54,13.66,5.65,0.98,0.73,2.31,2.74,0.72
de,2.18,1.15,0.69,13.29,1.27,7.74,2.06,5.27,0.04,8.21,12.98,2.92,1.72,0.88,1.32,7.00,13.46,1.75,2.26,1.70,9.54,2.59
fl,2.68,1.62,0.67,11.96,0.91,6.17,2.65,4.06,0.02,8.51,11.44,2.95,1.99,0.86,0.67,8.84,15.00,1.63,1.15,2.28,11.21,2.74
ga,2.41,1.31,0.49,15.83,0.85,8.50,1.83,4.37,0.04,8.04,9.95,2.73,2.05,0.61,0.71,8.75,13.25,1.58,1.96,2.03,9.78,2.94
gu,5.04,1.55,0.83,6.59,1.12,4.05,5.48,3.84,0.05,9.55,6.70,2.81,3.05,0.40,1.85,11.45,16.90,1.70,1.95,3.14,9.39,2.55
hi,2.86,1.68,0.86,8.93,1.27,5.94,2.41,5.82,0.04,11.94,11.26,3.09,2.03,0.56,1.65,7.58,14.39,2.08,1.50,2.88,8.80,2.44
ia,3.39,1.61,0.66,10.95,1.17,6.54,2.76,6.01,0.11,7.67,11.34,3.01,2.26,0.38,1.14,8.33,12.96,1.70,3.43,1.32,10.15,3.09
id,3.52,1.42,0.72,8.36,1.24,5.65,3.41,4.80,0.12,8.68,9.79,3.30,2.28,0.56,1.61,7.31,17.86,2.36,2.17,1.55,10.31,2.98
il,3.02,1.46,0.58,11.76,1.15,6.16,1.67,5.64,0.03,7.51,12.32,2.94,1.73,0.66,0.75,9.54,13.92,1.74,2.41,2.32,9.29,3.40
in,3.92,1.44,0.61,8.26,1.25,4.89,2.57,5.21,0.03,9.25,12.33,3.40,2.39,0.45,0.88,7.10,14.06,1.59,3.84,1.92,10.80,3.82
ks,3.60,1.50,0.52,12.35,1.21,4.67,2.38,5.18,0.09,8.67,11.92,3.09,2.30,0.47,1.02,6.54,14.53,1.93,3.14,1.92,9.88,3.11
