geo,workers_affected,wages_affected,pct_tasks_wtd,total_emp,cluster,cluster_label
al,1052366.68,64915064655.01,36.11,1052366.68,3,Cluster 4
ak,169135.53,12998399534.38,36.11,169135.53,1,Cluster 2
az,1689938.34,116693483434.05,36.11,1689938.34,0,Cluster 1
ar,651357.46,36632749287.91,36.11,651357.46,3,Cluster 4
ca,9721705.61,874067934395.20,36.11,9721705.61,0,Cluster 1
co,1670291.89,133655920280.25,36.11,1670291.89,0,Cluster 1
ct,899396.49,74131872924.88,36.11,899396.49,1,Cluster 2
de,266013.61,20213455167.67,36.11,266013.61,1,Cluster 2
dc,633209.05,71272839516.46,36.11,633209.05,2,Cluster 3
fl,5365184.76,351680356201.09,36.11,5365184.76,0,Cluster 1
ga,2758924.32,188811210565.43,36.11,2758924.32,0,Cluster 1
hi,333823.21,24302792993.82,36.11,333823.21,4,Cluster 5
id,417089.12,25382327352.28,36.11,417089.12,3,Cluster 4
il,3125397.27,226699996658.29,36.11,3125397.27,1,Cluster 2
in,1534431.61,95962692431.77,36.11,1534431.61,3,Cluster 4
ia,796327.82,51276231072.14,36.11,796327.82,3,Cluster 4
ks,732213.12,45600373361.24,36.11,732213.12,3,Cluster 4
ky,953650.90,56601054283.72,36.11,953650.90,3,Cluster 4
la,1004646.31,59870939439.90,36.11,1004646.31,3,Cluster 4
me,330192.81,22536173621.24,36.11,330192.81,1,Cluster 2
md,1662147.54,145285532019.42,36.11,1662147.54,0,Cluster 1
ma,2039465.40,179082487320.75,36.11,2039465.40,1,Cluster 2
mi,2317236.65,160451953682.98,36.11,2317236.65,1,Cluster 2
mn,1494334.01,112463835368.30,36.11,1494334.01,1,Cluster 2
ms,562015.93,29740825970.05,36.11,562015.93,3,Cluster 4
mo,1529600.30,97379845326.95,36.11,1529600.30,1,Cluster 2
mt,261119.72,16114393397.32,36.11,261119.72,3,Cluster 4
ne,533556.74,34169432892.96,36.11,533556.74,3,Cluster 4
nv,766476.87,48519537961.71,36.11,766476.87,4,Cluster 5
nh,366441.26,26538844952.98,36.11,366441.26,1,Cluster 2
nj,2315050.49,191610553803.98,36.11,2315050.49,1,Cluster 2
nm,448038.52,29276743254.65,36.11,448038.52,4,Cluster 5
ny,4901450.43,418026832773.11,36.11,4901450.43,1,Cluster 2
nc,2672716.64,186412193915.33,36.11,2672716.64,0,Cluster 1
nd,213835.46,13743404851.00,36.11,213835.46,3,Cluster 4
oh,2842488.26,190631603430.85,36.11,2842488.26,1,Cluster 2
ok,857239.49,49764060744.83,36.11,857239.49,3,Cluster 4
or,1007475.23,77000410838.64,36.11,1007475.23,1,Cluster 2
pa,3167775.36,222672594895.54,36.11,3167775.36,1,Cluster 2
ri,261204.15,19604009859.47,36.11,261204.15,1,Cluster 2
sc,1195355.20,74803850468.49,36.11,1195355.20,3,Cluster 4
sd,231937.87,13638392765.85,36.11,231937.87,3,Cluster 4
tn,1695081.51,105857180536.65,36.11,1695081.51,1,Cluster 2
tx,7518006.94,527133771050.77,36.11,7518006.94,0,Cluster 1
ut,921333.30,62626064655.83,36.11,921333.30,0,Cluster 1
vt,165002.89,11991527152.10,36.11,165002.89,1,Cluster 2
va,2326687.22,184245267095.58,36.11,2326687.22,0,Cluster 1
wa,1975707.37,174003031068.10,36.11,1975707.37,0,Cluster 1
wv,373522.02,23679680943.44,36.11,373522.02,1,Cluster 2
wi,1481629.62,98937519168.64,36.11,1481629.62,1,Cluster 2
wy,136522.79,8652544599.96,36.11,136522.79,3,Cluster 4
gu,30476.30,1611326936.92,36.11,30476.30,4,Cluster 5
pr,515846.42,20363058675.13,36.11,515846.42,4,Cluster 5
vi,19168.10,1111027578.35,36.11,19168.10,4,Cluster 5
