date,dataset,category,workers_affected,wages_affected,pct_tasks_affected
2024-09-30,AEI Both + Micro 2024-09-30,Office and Administrative Support Occupations,6548923.73,308316882436.99,34.50
2024-09-30,AEI Both + Micro 2024-09-30,Sales and Related Occupations,4940304.21,229174721792.67,36.75
2024-09-30,AEI Both + Micro 2024-09-30,Food Preparation and Serving Related Occupations,4080028.89,137782117219.62,29.31
2024-09-30,AEI Both + Micro 2024-09-30,Business and Financial Operations Occupations,3353854.30,277207073316.61,31.37
2024-09-30,AEI Both + Micro 2024-09-30,Management Occupations,2518542.40,303101857685.85,20.44
2024-09-30,AEI Both + Micro 2024-09-30,Educational Instruction and Library Occupations,2245934.94,134572869787.59,28.81
2024-09-30,AEI Both + Micro 2024-09-30,Computer and Mathematical Occupations,2232021.88,227638359399.06,43.40
2024-09-30,AEI Both + Micro 2024-09-30,Transportation and Material Moving Occupations,1883042.55,88387782968.20,15.24
2024-09-30,AEI Both + Micro 2024-09-30,Healthcare Practitioners and Technical Occupations,1802704.11,171028887679.91,17.10
2024-09-30,AEI Both + Micro 2024-09-30,Production Occupations,1366182.21,68525128671.59,15.75
2024-09-30,AEI Both + Micro 2024-09-30,"Installation, Maintenance, and Repair Occupations",1325563.16,78490160658.90,20.51
2024-09-30,AEI Both + Micro 2024-09-30,Healthcare Support Occupations,1049803.46,40267969686.22,11.95
2024-09-30,AEI Both + Micro 2024-09-30,Protective Service Occupations,923564.64,52963412391.75,26.46
2024-09-30,AEI Both + Micro 2024-09-30,Personal Care and Service Occupations,867048.76,31635592804.71,26.45
2024-09-30,AEI Both + Micro 2024-09-30,Architecture and Engineering Occupations,863572.19,83985278521.73,33.88
2024-09-30,AEI Both + Micro 2024-09-30,Construction and Extraction Occupations,835047.44,52301733322.86,11.11
2024-09-30,AEI Both + Micro 2024-09-30,Community and Social Service Occupations,733860.51,42381036667.81,30.83
2024-09-30,AEI Both + Micro 2024-09-30,"Arts, Design, Entertainment, Sports, and Media Occupations",702021.84,44428251360.37,32.52
2024-09-30,AEI Both + Micro 2024-09-30,"Life, Physical, and Social Science Occupations",431824.66,37086229883.68,27.68
2024-09-30,AEI Both + Micro 2024-09-30,Building and Grounds Cleaning and Maintenance Occupations,401191.74,15500892183.44,10.88
2024-09-30,AEI Both + Micro 2024-09-30,Legal Occupations,310482.98,37857258550.29,22.80
2024-09-30,AEI Both + Micro 2024-09-30,"Farming, Fishing, and Forestry Occupations",38281.54,1526517774.74,11.85
2024-12-23,AEI Both + Micro 2024-12-23,Office and Administrative Support Occupations,6548923.73,308316882436.99,34.50
2024-12-23,AEI Both + Micro 2024-12-23,Sales and Related Occupations,4940304.21,229174721792.67,36.75
2024-12-23,AEI Both + Micro 2024-12-23,Food Preparation and Serving Related Occupations,4080028.89,137782117219.62,29.31
2024-12-23,AEI Both + Micro 2024-12-23,Business and Financial Operations Occupations,3353854.30,277207073316.61,31.37
2024-12-23,AEI Both + Micro 2024-12-23,Management Occupations,2518542.40,303101857685.85,20.44
2024-12-23,AEI Both + Micro 2024-12-23,Educational Instruction and Library Occupations,2245934.94,134572869787.59,28.81
2024-12-23,AEI Both + Micro 2024-12-23,Computer and Mathematical Occupations,2232021.88,227638359399.06,43.40
2024-12-23,AEI Both + Micro 2024-12-23,Transportation and Material Moving Occupations,1883042.55,88387782968.20,15.24
2024-12-23,AEI Both + Micro 2024-12-23,Healthcare Practitioners and Technical Occupations,1802704.11,171028887679.91,17.10
2024-12-23,AEI Both + Micro 2024-12-23,Production Occupations,1366182.21,68525128671.59,15.75
2024-12-23,AEI Both + Micro 2024-12-23,"Installation, Maintenance, and Repair Occupations",1325563.16,78490160658.90,20.51
2024-12-23,AEI Both + Micro 2024-12-23,Healthcare Support Occupations,1049803.46,40267969686.22,11.95
