config_label,category,workers_affected,wages_affected,pct_tasks_affected
All Sources (Ceiling),Documenting/Recording Information,10306887.75,629084782470.76,67.09
All Sources (Ceiling),"Guiding, Directing, and Motivating Subordinates",5459487.88,487945019257.50,32.61
All Sources (Ceiling),Handling and Moving Objects,5189478.99,221744526314.04,21.34
All Sources (Ceiling),Performing Administrative Activities,4952927.72,213618328526.20,73.15
All Sources (Ceiling),Getting Information,4199179.16,284023920163.47,59.61
All Sources (Ceiling),Making Decisions and Solving Problems,4176968.69,293219091578.18,60.34
All Sources (Ceiling),Thinking Creatively,4086753.22,370096292009.47,56.18
All Sources (Ceiling),"Communicating with Supervisors, Peers, or Subordinates",3890272.05,265122441802.94,44.91
All Sources (Ceiling),Communicating with People Outside the Organization,3770871.37,189946954206.33,77.16
All Sources (Ceiling),"Monitoring Processes, Materials, or Surroundings",3696609.04,254875023437.51,36.58
All Sources (Ceiling),Providing Consultation and Advice to Others,3489408.01,289946568030.56,63.59
All Sources (Ceiling),Analyzing Data or Information,3354907.88,330506933872.98,68.88
All Sources (Ceiling),Assisting and Caring for Others,3186081.59,145687419508.13,26.87
All Sources (Ceiling),Monitoring and Controlling Resources,3164905.28,176071091612.38,45.46
All Sources (Ceiling),Training and Teaching Others,2945946.86,180146428944.82,53.32
All Sources (Ceiling),Interpreting the Meaning of Information for Others,2711530.01,165613911801.25,72.89
All Sources (Ceiling),Performing General Physical Activities,2395752.03,98460186872.80,15.22
All Sources (Ceiling),Performing for or Working Directly with the Public,2305965.40,119621048970.96,65.35
All Sources (Ceiling),Processing Information,2299673.93,129387032481.53,57.07
All Sources (Ceiling),Working with Computers,2230887.95,160474635710.39,84.78
All Sources (Ceiling),"Judging the Qualities of Objects, Services, or People",1952944.30,166245062519.55,47.82
All Sources (Ceiling),Controlling Machines and Processes,1925497.94,91647274588.06,23.49
All Sources (Ceiling),"Inspecting Equipment, Structures, or Materials",1878580.45,124427049422.25,26.50
All Sources (Ceiling),Developing Objectives and Strategies,1543263.88,158305952696.88,64.39
All Sources (Ceiling),"Estimating the Quantifiable Characteristics of Products, Events, or Information",1493826.33,77725629824.60,53.27
All Sources (Ceiling),Scheduling Work and Activities,1353999.59,67771719173.97,85.28
All Sources (Ceiling),Selling or Influencing Others,1298063.98,68838383076.07,63.29
All Sources (Ceiling),Updating and Using Relevant Knowledge,1048858.61,82332064551.63,73.06
All Sources (Ceiling),Evaluating Information to Determine Compliance with Standards,867275.40,53914198544.65,44.30
All Sources (Ceiling),Repairing and Maintaining Mechanical Equipment,726002.42,46577785869.77,15.51
All Sources (Ceiling),"Identifying Objects, Actions, and Events",704132.07,41422612342.36,50.04
All Sources (Ceiling),Staffing Organizational Units,571319.70,44024910406.99,51.28
All Sources (Ceiling),"Organizing, Planning, and Prioritizing Work",465780.44,33436639616.09,58.54
All Sources (Ceiling),Resolving Conflicts and Negotiating with Others,463615.61,34972332267.58,39.26
All Sources (Ceiling),Coaching and Developing Others,306797.33,20469126501.38,51.67
All Sources (Ceiling),"Operating Vehicles, Mechanized Devices, or Equipment",209159.77,12690894889.69,9.36
All Sources (Ceiling),Establishing and Maintaining Interpersonal Relationships,146767.89,12782608888.48,62.84
Human Conversation,Documenting/Recording Information,4897952.95,318956954208.57,29.58
Human Conversation,Handling and Moving Objects,4469093.69,189340764395.87,17.23
Human Conversation,Getting Information,3553979.16,242330334386.29,48.79
Human Conversation,Performing Administrative Activities,3514229.59,156514381298.35,54.98
Human Conversation,Making Decisions and Solving Problems,3372105.44,238766859035.74,49.24
Human Conversation,Communicating with People Outside the Organization,3272758.70,168033529117.99,64.06
Human Conversation,"Communicating with Supervisors, Peers, or Subordinates",3155055.45,220004037453.78,35.39
Human Conversation,Thinking Creatively,3130330.08,280073682026.52,43.70
Human Conversation,Providing Consultation and Advice to Others,2960474.72,240796851451.28,55.55
Human Conversation,Training and Teaching Others,2690239.14,163489671767.16,48.47
Human Conversation,Analyzing Data or Information,2473711.48,247725344136.13,50.47
Human Conversation,Assisting and Caring for Others,2453069.01,107350950451.98,20.29
Human Conversation,"Guiding, Directing, and Motivating Subordinates",2375977.63,197208619299.05,16.93
Human Conversation,"Monitoring Processes, Materials, or Surroundings",2241693.58,156009773721.86,17.41
Human Conversation,Interpreting the Meaning of Information for Others,2191570.36,132148960516.99,61.57
Human Conversation,Performing for or Working Directly with the Public,2060561.43,105234248837.90,56.24
Human Conversation,Monitoring and Controlling Resources,1964268.30,109963251677.93,26.94
Human Conversation,Performing General Physical Activities,1899866.52,76918393238.11,11.46
Human Conversation,Processing Information,1784463.74,103236650572.99,44.06
Human Conversation,Working with Computers,1660164.35,117925712661.77,62.61
Human Conversation,"Estimating the Quantifiable Characteristics of Products, Events, or Information",1324224.32,67952979636.73,47.58
Human Conversation,"Judging the Qualities of Objects, Services, or People",1319041.70,103883766587.93,33.28
Human Conversation,"Inspecting Equipment, Structures, or Materials",1281788.21,87602661031.11,18.92
Human Conversation,Developing Objectives and Strategies,1153315.79,120589804552.95,48.89
Human Conversation,Updating and Using Relevant Knowledge,872334.80,69909681835.75,58.75
Human Conversation,Controlling Machines and Processes,867081.82,44267633462.83,11.70
Human Conversation,Selling or Influencing Others,816658.56,44898092348.99,36.95
Human Conversation,Scheduling Work and Activities,683933.46,33068770266.08,27.66
Human Conversation,Evaluating Information to Determine Compliance with Standards,646715.07,37947314147.42,34.51
Human Conversation,Repairing and Maintaining Mechanical Equipment,572099.59,36277304756.61,12.97
Human Conversation,"Organizing, Planning, and Prioritizing Work",426180.02,30007355117.59,55.68
Human Conversation,Staffing Organizational Units,356477.52,28907691313.33,28.91
Human Conversation,"Identifying Objects, Actions, and Events",333652.22,25069398836.33,20.49
Human Conversation,Coaching and Developing Others,276804.01,18244333768.78,48.04
Human Conversation,Resolving Conflicts and Negotiating with Others,224901.20,17618497317.60,20.28
Human Conversation,Establishing and Maintaining Interpersonal Relationships,130027.06,11502254848.06,55.98
Human Conversation,"Operating Vehicles, Mechanized Devices, or Equipment",20272.44,1486951738.74,1.41
Agentic Confirmed,Documenting/Recording Information,4382280.15,300253360759.97,31.34
Agentic Confirmed,Getting Information,2263918.23,154250820225.48,29.69
Agentic Confirmed,"Guiding, Directing, and Motivating Subordinates",2186440.34,200846452715.64,13.33
Agentic Confirmed,Analyzing Data or Information,2164866.24,221729944096.84,34.82
Agentic Confirmed,Provide Consultation and Advice to Others,2039178.14,172267933527.93,34.46
Agentic Confirmed,Interpreting the Meaning of Information for Others,1976894.53,115427191702.84,43.62
Agentic Confirmed,Thinking Creatively,1957733.83,187260097862.38,26.88
Agentic Confirmed,Communicating with Persons Outside Organization,1782799.17,83421111132.42,38.62
Agentic Confirmed,Performing Administrative Activities,1690475.80,75696829191.94,25.13
Agentic Confirmed,Performing for or Working Directly with the Public,1560221.62,82653221804.45,35.15
Agentic Confirmed,"Judging the Qualities of Things, Services, or People",1378547.89,117009030267.59,32.12
Agentic Confirmed,Assisting and Caring for Others,1376788.74,57205478742.63,7.82
Agentic Confirmed,Interacting With Computers,1326707.74,96870296767.68,48.37
Agentic Confirmed,"Monitor Processes, Materials, or Surroundings",1302300.00,105161810707.61,12.96
Agentic Confirmed,Making Decisions and Solving Problems,1094182.09,100425016312.38,19.22
Agentic Confirmed,"Communicating with Supervisors, Peers, or Subordinates",1032285.10,71470758293.00,10.80
Agentic Confirmed,Handling and Moving Objects,1011084.35,48573684271.56,2.25
Agentic Confirmed,Processing Information,930605.34,58890693586.53,24.55
Agentic Confirmed,Scheduling Work and Activities,839681.82,37799995290.10,37.93
Agentic Confirmed,"Inspecting Equipment, Structures, or Material",810322.29,52723694880.19,6.81
Agentic Confirmed,Training and Teaching Others,803408.34,54720545972.89,16.01
Agentic Confirmed,Selling or Influencing Others,655724.15,37133100140.67,31.16
Agentic Confirmed,Monitoring and Controlling Resources,587076.17,37275062275.67,7.80
Agentic Confirmed,Controlling Machines and Processes,580896.34,26827432688.52,3.31
Agentic Confirmed,Developing Objectives and Strategies,543161.60,55806273546.67,25.86
Agentic Confirmed,Updating and Using Relevant Knowledge,466549.29,33003471313.14,40.68
Agentic Confirmed,Evaluating Information to Determine Compliance with Standards,389461.82,28262280830.71,20.71
Agentic Confirmed,Staffing Organizational Units,284229.78,20695823163.01,22.32
Agentic Confirmed,"Identifying Objects, Actions, and Events",252206.46,16641839678.14,21.01
Agentic Confirmed,Repairing and Maintaining Mechanical Equipment,226014.22,16252097868.12,2.05
Agentic Confirmed,Performing General Physical Activities,215555.03,8788331920.73,1.24
Agentic Confirmed,"Estimating the Quantifiable Characteristics of Products, Events, or Information",215081.21,11738023663.43,8.49
Agentic Confirmed,Resolving Conflicts and Negotiating with Others,181298.96,15003795045.90,24.93
Agentic Confirmed,"Organizing, Planning, and Prioritizing Work",128894.62,7543756446.20,8.76
Agentic Confirmed,Establishing and Maintaining Interpersonal Relationships,127032.92,14832050790.99,47.64
Agentic Confirmed,Coaching and Developing Others,77684.74,6322730629.50,10.22
Agentic Confirmed,"Operating Vehicles, Mechanized Devices, or Equipment",6301.19,229646886.90,1.30
All Confirmed,Documenting/Recording Information,5908891.11,385865270506.28,37.30
All Confirmed,Handling and Moving Objects,4683901.26,200309690229.32,18.06
All Confirmed,Getting Information,3955264.60,267384861160.89,55.23
All Confirmed,Performing Administrative Activities,3847931.52,170309178377.14,58.72
All Confirmed,Making Decisions and Solving Problems,3598231.51,261845483142.26,52.80
All Confirmed,Communicating with People Outside the Organization,3536571.17,180314728492.45,69.59
All Confirmed,Thinking Creatively,3495589.63,316762462902.68,47.98
All Confirmed,Providing Consultation and Advice to Others,3445820.61,285571622445.00,63.01
All Confirmed,"Communicating with Supervisors, Peers, or Subordinates",3429181.05,237436597454.87,38.16
All Confirmed,"Guiding, Directing, and Motivating Subordinates",3122815.44,274446437134.87,20.71
All Confirmed,Assisting and Caring for Others,2950247.95,130452804062.42,23.45
All Confirmed,Training and Teaching Others,2891189.12,177325430532.01,52.38
All Confirmed,Analyzing Data or Information,2777344.08,281314795183.01,58.05
All Confirmed,"Monitoring Processes, Materials, or Surroundings",2733415.36,194003207472.58,21.09
All Confirmed,Interpreting the Meaning of Information for Others,2636242.86,162033738226.97,70.00
All Confirmed,Performing for or Working Directly with the Public,2260116.92,117095572019.97,60.97
All Confirmed,Monitoring and Controlling Resources,2105746.69,118977513627.87,29.02
All Confirmed,Performing General Physical Activities,2041983.24,83487309160.48,12.22
All Confirmed,Processing Information,1930140.27,112000080733.18,47.25
All Confirmed,Working with Computers,1914502.21,138168663169.84,69.32
