date,category,pct_tasks_affected,workers_affected,wages_affected
2024-09-30,Handling and Moving Objects,15.13,3617674.58,149478614580.23
2024-09-30,Performing Administrative Activities,46.79,2941556.14,129167684317.86
2024-09-30,Getting Information,41.39,2901947.94,191506404955.00
2024-09-30,Making Decisions and Solving Problems,42.44,2810111.13,189275792085.95
2024-09-30,Communicating with People Outside the Organization,57.51,2728832.89,144212008605.43
2024-09-30,Documenting/Recording Information,15.31,2664872.66,170990669775.36
2024-09-30,"Communicating with Supervisors, Peers, or Subordinates",29.25,2610241.42,178191538813.46
2024-09-30,Providing Consultation and Advice to Others,49.07,2561735.64,209635113796.61
2024-09-30,Training and Teaching Others,44.97,2466537.58,147989122680.98
2024-09-30,Interpreting the Meaning of Information for Others,56.61,1959274.60,120603939810.63
2024-09-30,Analyzing Data or Information,40.96,1762844.65,174956760542.47
2024-09-30,Monitoring and Controlling Resources,21.71,1712240.16,94023897601.32
2024-09-30,Thinking Creatively,25.93,1696159.66,154682861809.07
2024-09-30,Assisting and Caring for Others,16.44,1650889.73,74207491860.14
2024-09-30,Performing General Physical Activities,10.65,1646452.58,67747032354.60
2024-09-30,Performing for or Working Directly with the Public,48.96,1636692.05,83484477006.74
2024-09-30,"Monitoring Processes, Materials, or Surroundings",11.84,1494036.46,103249789553.63
2024-09-30,Processing Information,38.69,1485728.18,85930564853.21
2024-09-30,Working with Computers,51.17,1246842.75,89394144632.70
2024-09-30,"Inspecting Equipment, Structures, or Materials",13.94,1024982.73,67349495205.79
2024-09-30,"Estimating the Quantifiable Characteristics of Products, Events, or Information",43.29,1023576.35,50840882596.69
2024-09-30,Updating and Using Relevant Knowledge,54.81,802661.79,63668010469.96
2024-09-30,Controlling Machines and Processes,8.44,691149.06,34534342959.22
2024-09-30,"Judging the Qualities of Objects, Services, or People",15.13,688313.01,58354324234.35
2024-09-30,"Guiding, Directing, and Motivating Subordinates",4.79,667117.33,52155204052.34
2024-09-30,Developing Objectives and Strategies,39.31,653815.80,70941353806.74
2024-09-30,Selling or Influencing Others,28.73,610086.94,34147974326.21
2024-09-30,Repairing and Maintaining Mechanical Equipment,11.32,498669.35,31867114669.65
2024-09-30,Evaluating Information to Determine Compliance with Standards,30.12,454963.06,28824388717.86
2024-09-30,"Organizing, Planning, and Prioritizing Work",51.82,368392.60,26230707595.19
2024-09-30,"Identifying Objects, Actions, and Events",16.91,259153.21,18423100042.06
2024-09-30,Coaching and Developing Others,41.41,246363.82,16177568605.92
2024-09-30,Scheduling Work and Activities,16.00,226685.70,11028072626.98
2024-09-30,Establishing and Maintaining Interpersonal Relationships,46.39,110172.14,10070124665.35
2024-09-30,Staffing Organizational Units,8.75,96530.93,9102617881.34
2024-09-30,Resolving Conflicts and Negotiating with Others,6.58,65622.28,5771522569.80
2024-09-30,"Operating Vehicles, Mechanized Devices, or Equipment",1.26,18149.62,1418915318.96
2024-12-23,Handling and Moving Objects,15.13,3617674.58,149478614580.23
2024-12-23,Performing Administrative Activities,46.79,2941556.14,129167684317.86
2024-12-23,Getting Information,41.39,2901947.94,191506404955.00
2024-12-23,Making Decisions and Solving Problems,42.44,2810111.13,189275792085.95
2024-12-23,Communicating with People Outside the Organization,57.51,2728832.89,144212008605.43
2024-12-23,Documenting/Recording Information,15.31,2664872.66,170990669775.36
2024-12-23,"Communicating with Supervisors, Peers, or Subordinates",29.25,2610241.42,178191538813.46
2024-12-23,Providing Consultation and Advice to Others,49.07,2561735.64,209635113796.61
2024-12-23,Training and Teaching Others,44.97,2466537.58,147989122680.98
2024-12-23,Interpreting the Meaning of Information for Others,56.61,1959274.60,120603939810.63
2024-12-23,Analyzing Data or Information,40.96,1762844.65,174956760542.47
2024-12-23,Monitoring and Controlling Resources,21.71,1712240.16,94023897601.32
2024-12-23,Thinking Creatively,25.93,1696159.66,154682861809.07
2024-12-23,Assisting and Caring for Others,16.44,1650889.73,74207491860.14
2024-12-23,Performing General Physical Activities,10.65,1646452.58,67747032354.60
2024-12-23,Performing for or Working Directly with the Public,48.96,1636692.05,83484477006.74
2024-12-23,"Monitoring Processes, Materials, or Surroundings",11.84,1494036.46,103249789553.63
2024-12-23,Processing Information,38.69,1485728.18,85930564853.21
2024-12-23,Working with Computers,51.17,1246842.75,89394144632.70
2024-12-23,"Inspecting Equipment, Structures, or Materials",13.94,1024982.73,67349495205.79
2024-12-23,"Estimating the Quantifiable Characteristics of Products, Events, or Information",43.29,1023576.35,50840882596.69
2024-12-23,Updating and Using Relevant Knowledge,54.81,802661.79,63668010469.96
2024-12-23,Controlling Machines and Processes,8.44,691149.06,34534342959.22
2024-12-23,"Judging the Qualities of Objects, Services, or People",15.13,688313.01,58354324234.35
2024-12-23,"Guiding, Directing, and Motivating Subordinates",4.79,667117.33,52155204052.34
2024-12-23,Developing Objectives and Strategies,39.31,653815.80,70941353806.74
2024-12-23,Selling or Influencing Others,28.73,610086.94,34147974326.21
2024-12-23,Repairing and Maintaining Mechanical Equipment,11.32,498669.35,31867114669.65
2024-12-23,Evaluating Information to Determine Compliance with Standards,30.12,454963.06,28824388717.86
2024-12-23,"Organizing, Planning, and Prioritizing Work",51.82,368392.60,26230707595.19
2024-12-23,"Identifying Objects, Actions, and Events",16.91,259153.21,18423100042.06
2024-12-23,Coaching and Developing Others,41.41,246363.82,16177568605.92
2024-12-23,Scheduling Work and Activities,16.00,226685.70,11028072626.98
2024-12-23,Establishing and Maintaining Interpersonal Relationships,46.39,110172.14,10070124665.35
2024-12-23,Staffing Organizational Units,8.75,96530.93,9102617881.34
2024-12-23,Resolving Conflicts and Negotiating with Others,6.58,65622.28,5771522569.80
2024-12-23,"Operating Vehicles, Mechanized Devices, or Equipment",1.26,18149.62,1418915318.96
2025-03-06,Handling and Moving Objects,16.10,3980983.95,169662315374.44
2025-03-06,Documenting/Recording Information,24.41,3939662.61,260426154941.79
2025-03-06,Performing Administrative Activities,51.09,3217740.89,142331344583.60
2025-03-06,Making Decisions and Solving Problems,45.42,3072801.84,217137036396.78
2025-03-06,Getting Information,43.59,3053472.14,202338986641.98
2025-03-06,"Communicating with Supervisors, Peers, or Subordinates",32.68,2821257.73,194260797219.94
2025-03-06,Communicating with People Outside the Organization,58.33,2812734.43,148171262302.54
2025-03-06,Providing Consultation and Advice to Others,51.59,2702941.22,220217179087.45
2025-03-06,Thinking Creatively,38.91,2648522.53,236243079587.14
2025-03-06,Training and Teaching Others,45.89,2512758.39,152033366142.72
2025-03-06,Analyzing Data or Information,45.67,2060982.36,203938906599.76
2025-03-06,Assisting and Caring for Others,18.06,2028806.02,89289278868.85
2025-03-06,Interpreting the Meaning of Information for Others,58.24,1989383.04,122344740518.40
2025-03-06,Monitoring and Controlling Resources,23.54,1841029.86,100843975461.70
2025-03-06,"Monitoring Processes, Materials, or Surroundings",14.65,1794116.48,125451075910.58
2025-03-06,Performing General Physical Activities,11.00,1770235.91,72182280929.88
2025-03-06,Performing for or Working Directly with the Public,51.86,1686838.43,86430341551.46
2025-03-06,Processing Information,41.33,1626553.95,93688926129.37
2025-03-06,Working with Computers,58.52,1497043.93,106925725909.64
2025-03-06,"Guiding, Directing, and Motivating Subordinates",10.74,1492514.04,126854722005.19
2025-03-06,"Estimating the Quantifiable Characteristics of Products, Events, or Information",44.78,1172674.08,60152355904.90
2025-03-06,"Inspecting Equipment, Structures, or Materials",15.91,1140555.85,76560906069.94
2025-03-06,"Judging the Qualities of Objects, Services, or People",27.90,1081721.22,88056963841.01
2025-03-06,Developing Objectives and Strategies,45.65,1012064.50,107218415105.61
2025-03-06,Updating and Using Relevant Knowledge,55.27,810095.23,64369213912.64
2025-03-06,Controlling Machines and Processes,9.86,714769.66,37362425691.48
2025-03-06,Selling or Influencing Others,32.30,667565.97,37973141640.63
2025-03-06,Evaluating Information to Determine Compliance with Standards,32.56,587580.92,34612348043.76
2025-03-06,Repairing and Maintaining Mechanical Equipment,11.58,520149.20,32950193070.11
2025-03-06,Scheduling Work and Activities,21.46,477151.12,21711831844.17
2025-03-06,"Organizing, Planning, and Prioritizing Work",54.46,383262.36,27429313931.57
2025-03-06,Staffing Organizational Units,22.61,310719.00,25244135664.05
2025-03-06,"Identifying Objects, Actions, and Events",18.70,289101.81,21148703867.49
2025-03-06,Coaching and Developing Others,47.09,270206.37,17742744797.78
2025-03-06,Resolving Conflicts and Negotiating with Others,14.38,178664.96,14688175891.12
2025-03-06,Establishing and Maintaining Interpersonal Relationships,49.14,113931.39,10370776484.08
2025-03-06,"Operating Vehicles, Mechanized Devices, or Equipment",1.31,18917.45,1443524236.75
2025-08-11,Documenting/Recording Information,33.58,5499400.95,358967986723.76
2025-08-11,Handling and Moving Objects,17.13,4405420.09,186394632159.70
2025-08-11,Getting Information,51.52,3826753.49,255599615195.12
2025-08-11,Performing Administrative Activities,55.58,3618954.03,157970298282.52
2025-08-11,Making Decisions and Solving Problems,50.04,3495065.11,252479199414.02
2025-08-11,Providing Consultation and Advice to Others,59.26,3323297.15,275506383204.08
2025-08-11,Communicating with People Outside the Organization,66.20,3287755.73,169354208660.35
2025-08-11,"Communicating with Supervisors, Peers, or Subordinates",35.99,3285793.55,223216465014.18
2025-08-11,Thinking Creatively,45.35,3192904.85,286109275698.68
2025-08-11,Training and Teaching Others,50.23,2754247.32,167877326647.65
2025-08-11,Assisting and Caring for Others,21.19,2644040.35,116635406508.09
2025-08-11,Analyzing Data or Information,54.84,2553631.72,253139807541.86
2025-08-11,Interpreting the Meaning of Information for Others,67.22,2548485.90,155782674395.42
2025-08-11,"Monitoring Processes, Materials, or Surroundings",18.17,2341787.91,162055247351.04
2025-08-11,"Guiding, Directing, and Motivating Subordinates",16.56,2310815.88,207371476854.89
2025-08-11,Performing for or Working Directly with the Public,58.46,2174964.75,112657058026.28
2025-08-11,Performing General Physical Activities,11.88,1995590.04,81778905687.35
2025-08-11,Monitoring and Controlling Resources,27.00,1972211.74,110770759557.24
2025-08-11,Working with Computers,67.13,1861251.84,134185278242.16
2025-08-11,Processing Information,44.78,1834367.23,107001647210.08
2025-08-11,"Inspecting Equipment, Structures, or Materials",19.03,1365453.82,92975901571.29
2025-08-11,"Judging the Qualities of Objects, Services, or People",33.08,1288797.45,106849651743.03
2025-08-11,"Estimating the Quantifiable Characteristics of Products, Events, or Information",47.00,1255956.47,64544271485.16
2025-08-11,Developing Objectives and Strategies,52.19,1233048.07,128477665307.05
2025-08-11,Controlling Machines and Processes,10.95,977091.25,48708343897.30
2025-08-11,Selling or Influencing Others,42.68,912787.90,50264179965.44
2025-08-11,Updating and Using Relevant Knowledge,64.41,894767.95,71328053534.46
2025-08-11,Scheduling Work and Activities,39.47,788757.75,37384259977.12
2025-08-11,Evaluating Information to Determine Compliance with Standards,34.94,631894.46,37401250563.79
2025-08-11,Repairing and Maintaining Mechanical Equipment,12.48,593355.95,38647328342.35
2025-08-11,"Organizing, Planning, and Prioritizing Work",55.91,429449.46,30270039070.63
2025-08-11,Staffing Organizational Units,29.90,375146.61,29710653160.37
2025-08-11,"Identifying Objects, Actions, and Events",21.30,348682.99,26044844360.06
2025-08-11,Coaching and Developing Others,49.82,282106.96,18689661516.34
2025-08-11,Resolving Conflicts and Negotiating with Others,22.16,227785.60,17633707464.99
2025-08-11,Establishing and Maintaining Interpersonal Relationships,54.55,130632.18,11594274867.52
2025-08-11,"Operating Vehicles, Mechanized Devices, or Equipment",1.31,18917.45,1443524236.75
2025-11-13,Documenting/Recording Information,35.93,5784674.25,378829277383.66
2025-11-13,Handling and Moving Objects,17.84,4644292.67,198646743283.99
2025-11-13,Getting Information,54.41,3928529.50,264925629316.92
2025-11-13,Performing Administrative Activities,57.29,3778331.39,166729680134.54
2025-11-13,Making Decisions and Solving Problems,52.19,3552940.66,257314936528.63
2025-11-13,Communicating with People Outside the Organization,68.53,3492034.88,178567117392.79
2025-11-13,Thinking Creatively,47.37,3464630.43,313009514057.65
2025-11-13,Providing Consultation and Advice to Others,62.25,3408487.04,282445260075.51
2025-11-13,"Communicating with Supervisors, Peers, or Subordinates",37.55,3398489.27,234055383443.71
2025-11-13,"Guiding, Directing, and Motivating Subordinates",19.46,2880369.01,252675858077.45
2025-11-13,Training and Teaching Others,52.05,2879057.86,176444439143.86
2025-11-13,Assisting and Caring for Others,22.81,2853072.12,126155415585.67
2025-11-13,Analyzing Data or Information,57.31,2743884.39,278151404405.88
2025-11-13,Interpreting the Meaning of Information for Others,69.65,2595839.46,159277741274.58
2025-11-13,"Monitoring Processes, Materials, or Surroundings",19.50,2553812.02,181264621131.48
2025-11-13,Performing for or Working Directly with the Public,59.42,2226897.51,114976175165.99
2025-11-13,Monitoring and Controlling Resources,28.85,2088299.59,117790008733.27
2025-11-13,Performing General Physical Activities,12.19,2040081.67,83381887419.25
2025-11-13,Processing Information,46.62,1921279.83,111596033562.79
