category,workers_affected,wages_affected,pct_tasks_affected
"Provide information to guests, clients, or customers.",3339988.91,163797021490.83,71.73
Execute financial transactions.,2732000.37,110534553123.46,62.95
Respond to customer problems or inquiries.,2201163.18,113640953010.37,75.18
Prepare foods or beverages.,2118204.31,71841818809.17,59.49
Communicate with others about operational plans or activities.,1899327.67,114149519570.61,57.75
"Provide general assistance to others, such as customers, patrons, or motorists.",1656812.53,65394982258.42,63.49
Determine values or prices of goods or services.,1510441.45,72130676043.97,65.47
Read documents or materials to inform work processes.,1334199.39,75919056976.78,61.94
Explain technical details of products or services.,1285081.45,60420247626.49,81.90
Maintain operational records.,1231274.90,78229490621.61,21.23
"Prepare documentation for contracts, applications, or permits.",1165173.71,58387552238.55,71.62
"Direct organizational operations, activities, or procedures.",1151934.75,105089164974.34,20.66
Maintain current knowledge in area of expertise.,1039293.44,81492302478.81,72.04
Purchase goods or services.,1022142.87,60048547502.18,57.82
Advise others on products or services.,1010722.35,74016572460.08,75.82
Train others on operational or work procedures.,1005459.30,68243211075.39,53.36
Perform administrative or clerical activities.,994375.87,53147996082.22,69.62
Monitor individual behavior or performance.,872944.90,53385141320.17,57.29
Evaluate the quality or accuracy of data.,813099.49,47417033501.65,54.83
Prepare informational or instructional materials.,812826.09,54281013937.42,76.56
"Measure physical characteristics of materials, products, or equipment.",790917.05,35834406106.11,53.59
"Promote products, services, or programs.",748554.40,42132355856.13,72.71
"Develop organizational policies, systems, or processes.",728812.37,76545134610.64,36.62
"Explain regulations, policies, or procedures.",691968.53,48406648046.30,67.28
Advise others on business or operational matters.,690088.00,63637432451.95,61.01
Maintain sales or financial records.,689913.97,29696354893.39,28.09
Design computer or information systems or applications.,674387.56,72254544812.37,73.78
Maintain health or medical records.,671018.26,54680431936.10,33.32
Teach academic or vocational subjects.,659082.93,42549060653.29,58.57
Arrange displays or decorations.,655749.94,26473650434.32,61.34
Implement procedures or processes.,642737.61,70304332388.93,71.76
Train others on health or medical topics.,639129.01,34879677820.36,45.25
Analyze data to improve operations.,636558.72,69264715689.54,40.74
"Develop educational programs, plans, or procedures.",628428.64,38730675044.42,36.69
"Compile records, documentation, or other data.",613319.55,37775563103.84,72.51
Schedule appointments.,606806.79,26860244751.82,57.54
Analyze business or financial data.,598006.64,54116167722.75,69.26
Operate office equipment.,594103.63,26790153375.45,63.06
Process digital or online data.,584943.88,38828671769.29,65.96
Develop operational or technical procedures or standards.,562372.17,57372573536.56,66.44
"Assess student capabilities, needs, or performance.",550216.05,36848283958.71,67.46
Assist individuals with special needs.,548859.86,19818197882.82,7.54
Adjust equipment to ensure adequate performance.,533574.61,29222499635.35,56.27
Assist others to access additional services or resources.,522414.21,28823843425.89,55.90
Provide food or beverage services.,521340.58,16691696293.13,18.79
Examine materials or documentation for accuracy or compliance.,519782.25,32397898491.63,61.96
Create visual designs or displays.,515938.45,39016083279.76,61.16
Analyze health or medical data.,513586.84,56118332429.85,63.08
Prepare mixtures or solutions.,510337.37,22370910575.48,56.19
