title_current,pct,pct_ceiling,emp_nat,major,job_zone,outlook,ai_projection,exposure_projection
Preventive Medicine Physicians,19.43,28.14,47978.00,Healthcare Practitioners and Technical Occupations,5.00,2.00,64.28,92.43
Urologists,27.09,31.25,19891.00,Healthcare Practitioners and Technical Occupations,5.00,2.00,62.07,83.29
Nurse Anesthetists,16.64,18.47,50350.00,Healthcare Practitioners and Technical Occupations,5.00,3.00,60.49,79.98
General Internal Medicine Physicians,16.70,22.61,66640.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,59.76,82.65
Physical Medicine and Rehabilitation Physicians,16.03,16.66,41196.00,Healthcare Practitioners and Technical Occupations,5.00,2.00,59.59,82.43
"Education Administrators, Kindergarten through Secondary",22.43,38.18,319630.00,Management Occupations,5.00,5.00,58.66,94.54
Audiologists,21.24,25.48,14730.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,57.01,81.65
Nuclear Engineers,16.68,26.83,14740.00,Architecture and Engineering Occupations,4.00,5.00,56.89,74.47
Emergency Management Directors,26.92,37.78,12570.00,Management Occupations,4.00,3.00,56.46,87.11
Optometrists,30.19,30.19,41890.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,55.45,74.81
Geothermal Production Managers,10.04,30.99,42452.00,Management Occupations,3.00,5.00,55.36,70.08
Neuropsychologists,25.94,28.51,35580.00,"Life, Physical, and Social Science Occupations",5.00,4.00,55.20,84.70
Hospitalists,18.60,30.16,34801.00,Healthcare Practitioners and Technical Occupations,5.00,2.00,54.63,81.14
Hydroelectric Production Managers,10.08,21.25,31675.00,Management Occupations,3.00,5.00,53.56,71.89
Coroners,32.08,34.35,27241.00,Business and Financial Operations Occupations,3.00,4.00,53.37,71.85
Emergency Medicine Physicians,16.51,26.91,24358.57,Healthcare Practitioners and Technical Occupations,5.00,0.00,53.36,79.81
Orthotists and Prosthetists,12.99,16.66,9930.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,53.22,72.98
Biomass Power Plant Managers,18.11,34.00,57123.00,Management Occupations,4.00,5.00,53.15,68.10
Podiatrists,23.08,23.08,9520.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,53.06,78.26
Occupational Health and Safety Specialists,29.38,51.29,128430.00,"Life, Physical, and Social Science Occupations",4.00,4.00,52.97,72.60
Biofuels Production Managers,4.10,22.30,6633.00,Management Occupations,4.00,5.00,52.73,69.54
Allergists and Immunologists,30.31,37.38,137310.00,Healthcare Practitioners and Technical Occupations,5.00,2.00,52.60,79.33
Epidemiologists,31.54,43.64,11460.00,"Life, Physical, and Social Science Occupations",5.00,4.00,52.57,79.09
