title_current,config,pct_first,pct_last,pct_delta
Preventive Medicine Physicians,all_ceiling,8.25,28.14,19.89
Urologists,all_ceiling,12.78,31.25,18.47
Nurse Anesthetists,all_ceiling,16.64,18.47,1.83
General Internal Medicine Physicians,all_ceiling,16.70,22.61,5.91
Physical Medicine and Rehabilitation Physicians,all_ceiling,2.39,16.66,14.27
"Education Administrators, Kindergarten through Secondary",all_ceiling,22.43,38.18,15.76
Audiologists,all_ceiling,20.68,25.48,4.80
Nuclear Engineers,all_ceiling,15.01,26.83,11.82
Emergency Management Directors,all_ceiling,25.40,37.78,12.38
Optometrists,all_ceiling,18.26,30.19,11.93
Geothermal Production Managers,all_ceiling,8.75,30.99,22.24
Neuropsychologists,all_ceiling,25.94,28.51,2.56
Hospitalists,all_ceiling,18.60,30.16,11.57
Hydroelectric Production Managers,all_ceiling,9.16,21.25,12.09
Coroners,all_ceiling,26.43,34.35,7.93
Emergency Medicine Physicians,all_ceiling,16.51,26.91,10.40
Orthotists and Prosthetists,all_ceiling,12.99,16.66,3.68
Biomass Power Plant Managers,all_ceiling,13.83,34.00,20.17
Podiatrists,all_ceiling,23.08,23.08,0.00
Occupational Health and Safety Specialists,all_ceiling,24.88,51.29,26.41
Biofuels Production Managers,all_ceiling,4.10,22.30,18.20
Allergists and Immunologists,all_ceiling,13.20,37.38,24.17
Epidemiologists,all_ceiling,24.67,43.64,18.97
Media Programming Directors,all_ceiling,21.73,34.67,12.94
Clinical Neuropsychologists,all_ceiling,18.17,20.03,1.86
"Ophthalmologists, Except Pediatric",all_ceiling,10.96,18.56,7.60
Materials Engineers,all_ceiling,24.34,33.29,8.95
Health Education Specialists,all_ceiling,25.86,48.06,22.20
Family Medicine Physicians,all_ceiling,21.06,23.99,2.93
Chief Sustainability Officers,all_ceiling,14.93,34.20,19.27
Aviation Inspectors,all_ceiling,15.13,22.75,7.62
"Education and Childcare Administrators, Preschool and Daycare",all_ceiling,27.09,42.53,15.44
"Physicians, Pathologists",all_ceiling,22.36,33.25,10.89
First-Line Supervisors of Firefighting and Prevention Workers,all_ceiling,3.73,19.81,16.08
Critical Care Nurses,all_ceiling,11.65,26.24,14.59
Anesthesiologists,all_ceiling,5.14,10.19,5.06
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,all_ceiling,21.06,34.82,13.76
Financial Managers,all_ceiling,25.11,52.40,27.29
Acute Care Nurses,all_ceiling,19.58,34.37,14.79
