title_current,pct,pct_ceiling,ai_projection,exposure_projection,major,job_zone,outlook,emp_nat
Chief Executives,50.67,61.10,66.53,97.25,Management Occupations,5.00,5.00,172469.00
Preventive Medicine Physicians,19.43,28.14,64.28,92.43,Healthcare Practitioners and Technical Occupations,5.00,2.00,47978.00
Urologists,27.09,31.25,62.07,83.29,Healthcare Practitioners and Technical Occupations,5.00,2.00,19891.00
Construction Managers,42.49,55.65,61.64,82.07,Management Occupations,4.00,5.00,348330.00
Nurse Anesthetists,16.64,18.47,60.49,79.98,Healthcare Practitioners and Technical Occupations,5.00,3.00,50350.00
"Architects, Except Landscape and Naval",63.87,71.71,59.91,77.73,Architecture and Engineering Occupations,5.00,5.00,111140.00
General Internal Medicine Physicians,16.70,22.61,59.76,82.65,Healthcare Practitioners and Technical Occupations,5.00,4.00,66640.00
Physical Medicine and Rehabilitation Physicians,16.03,16.66,59.59,82.43,Healthcare Practitioners and Technical Occupations,5.00,2.00,41196.00
Nurse Practitioners,40.41,49.95,58.79,82.32,Healthcare Practitioners and Technical Occupations,5.00,5.00,307390.00
Water/Wastewater Engineers,41.50,47.81,58.75,74.65,Architecture and Engineering Occupations,4.00,5.00,118470.00
Industrial-Organizational Psychologists,66.61,69.78,58.70,87.01,"Life, Physical, and Social Science Occupations",5.00,4.00,1050.00
Fire-Prevention and Protection Engineers,33.79,34.42,58.67,76.36,Architecture and Engineering Occupations,4.00,4.00,13114.00
"Education Administrators, Kindergarten through Secondary",22.43,38.18,58.66,94.54,Management Occupations,5.00,5.00,319630.00
Environmental Engineers,37.92,40.73,58.52,76.10,Architecture and Engineering Occupations,4.00,5.00,37950.00
Advanced Practice Psychiatric Nurses,47.35,51.38,57.85,81.58,Healthcare Practitioners and Technical Occupations,5.00,5.00,1031526.00
"Nursing Instructors and Teachers, Postsecondary",59.60,63.58,57.85,85.05,Educational Instruction and Library Occupations,5.00,4.00,74250.00
"Computer Science Teachers, Postsecondary",79.16,80.92,57.26,87.81,Educational Instruction and Library Occupations,5.00,4.00,36240.00
Audiologists,21.24,25.48,57.01,81.65,Healthcare Practitioners and Technical Occupations,5.00,4.00,14730.00
Agricultural Engineers,38.39,42.13,56.96,72.60,Architecture and Engineering Occupations,4.00,5.00,1680.00
Nuclear Engineers,16.68,26.83,56.89,74.47,Architecture and Engineering Occupations,4.00,5.00,14740.00
Medical and Health Services Managers,47.27,65.06,56.79,85.51,Management Occupations,4.00,5.00,565840.00
Emergency Management Directors,26.92,37.78,56.46,87.11,Management Occupations,4.00,3.00,12570.00
Naturopathic Physicians,47.39,49.89,56.43,76.33,Healthcare Practitioners and Technical Occupations,5.00,5.00,20983.00
Lodging Managers,56.23,67.79,56.39,82.39,Management Occupations,4.00,3.00,41350.00
"Health Specialties Teachers, Postsecondary",76.86,83.05,56.25,81.27,Educational Instruction and Library Occupations,5.00,5.00,229720.00
Physician Assistants,48.10,48.98,56.09,78.47,Healthcare Practitioners and Technical Occupations,5.00,5.00,120847.00
Neurologists,34.88,37.17,55.88,83.24,Healthcare Practitioners and Technical Occupations,5.00,0.00,7700.00
Optometrists,30.19,30.19,55.45,74.81,Healthcare Practitioners and Technical Occupations,5.00,4.00,41890.00
Geothermal Production Managers,10.04,30.99,55.36,70.08,Management Occupations,3.00,5.00,42452.00
Neuropsychologists,25.94,28.51,55.20,84.70,"Life, Physical, and Social Science Occupations",5.00,4.00,35580.00
Bioengineers and Biomedical Engineers,40.11,51.82,55.20,74.13,Architecture and Engineering Occupations,4.00,5.00,21860.00
Psychiatrists,44.56,45.10,54.98,81.69,Healthcare Practitioners and Technical Occupations,5.00,0.00,24800.00
"Architecture Teachers, Postsecondary",77.55,84.28,54.68,78.43,Educational Instruction and Library Occupations,5.00,4.00,9120.00
Hospitalists,18.60,30.16,54.63,81.14,Healthcare Practitioners and Technical Occupations,5.00,2.00,34801.00
Transportation Engineers,57.51,61.06,54.38,72.52,Architecture and Engineering Occupations,4.00,5.00,118470.00
Physicists,64.12,70.15,53.95,80.36,"Life, Physical, and Social Science Occupations",5.00,4.00,21340.00
Management Analysts,69.24,73.77,53.81,80.27,Business and Financial Operations Occupations,4.00,4.00,893900.00
Hydroelectric Production Managers,10.08,21.25,53.56,71.89,Management Occupations,3.00,5.00,31675.00
Biochemists and Biophysicists,53.57,54.12,53.54,75.86,"Life, Physical, and Social Science Occupations",5.00,4.00,34520.00
Coroners,32.08,34.35,53.37,71.85,Business and Financial Operations Occupations,3.00,4.00,27241.00
Emergency Medicine Physicians,16.51,26.91,53.36,79.81,Healthcare Practitioners and Technical Occupations,5.00,0.00,24358.57
Clinical Nurse Specialists,47.25,49.90,53.24,77.28,Healthcare Practitioners and Technical Occupations,5.00,5.00,784864.00
Orthotists and Prosthetists,12.99,16.66,53.22,72.98,Healthcare Practitioners and Technical Occupations,5.00,5.00,9930.00
Biomass Power Plant Managers,18.11,34.00,53.15,68.10,Management Occupations,4.00,5.00,57123.00
Podiatrists,23.08,23.08,53.06,78.26,Healthcare Practitioners and Technical Occupations,5.00,4.00,9520.00
Obstetricians and Gynecologists,44.00,47.07,53.04,78.88,Healthcare Practitioners and Technical Occupations,5.00,0.00,19900.00
Occupational Health and Safety Specialists,29.38,51.29,52.97,72.60,"Life, Physical, and Social Science Occupations",4.00,4.00,128430.00
Robotics Engineers,57.70,64.19,52.79,70.77,Architecture and Engineering Occupations,4.00,5.00,24369.00
Social and Community Service Managers,37.07,45.39,52.78,81.74,Management Occupations,4.00,4.00,195490.00
Biofuels Production Managers,4.10,22.30,52.73,69.54,Management Occupations,4.00,5.00,6633.00
"Engineering Teachers, Postsecondary",82.86,85.91,52.69,74.44,Educational Instruction and Library Occupations,5.00,4.00,39910.00
Allergists and Immunologists,30.31,37.38,52.60,79.33,Healthcare Practitioners and Technical Occupations,5.00,2.00,137310.00
Human Resources Managers,52.33,64.92,52.58,82.25,Management Occupations,4.00,5.00,215520.00
Epidemiologists,31.54,43.64,52.57,79.09,"Life, Physical, and Social Science Occupations",5.00,4.00,11460.00
Nanosystems Engineers,47.62,48.19,52.54,71.21,Architecture and Engineering Occupations,5.00,5.00,21672.00
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",42.84,45.59,52.15,71.09,Architecture and Engineering Occupations,4.00,4.00,10106.00
Manufacturing Engineers,53.38,63.02,51.96,72.87,Architecture and Engineering Occupations,4.00,4.00,87557.50
Media Programming Directors,21.73,34.67,51.83,78.79,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,38771.00
Marketing Managers,76.80,78.01,51.59,77.26,Management Occupations,4.00,5.00,384980.00
Instructional Coordinators,49.99,53.52,51.39,81.59,Educational Instruction and Library Occupations,5.00,4.00,210850.00
Clinical Neuropsychologists,18.17,20.03,51.37,78.87,"Life, Physical, and Social Science Occupations",5.00,4.00,35580.00
Civil Engineers,33.59,40.21,51.16,70.51,Architecture and Engineering Occupations,4.00,5.00,118470.00
"Ophthalmologists, Except Pediatric",10.96,18.56,51.14,80.38,Healthcare Practitioners and Technical Occupations,5.00,0.00,12110.00
"Business Teachers, Postsecondary",80.38,81.60,51.10,79.77,Educational Instruction and Library Occupations,5.00,4.00,81780.00
Materials Engineers,25.35,33.29,51.03,69.16,Architecture and Engineering Occupations,4.00,4.00,22770.00
Health Education Specialists,25.86,48.06,50.92,76.78,Community and Social Service Occupations,4.00,3.00,65150.00
Family Medicine Physicians,21.06,23.99,50.90,76.12,Healthcare Practitioners and Technical Occupations,5.00,5.00,107950.00
Architectural and Engineering Managers,57.38,67.44,50.69,75.21,Management Occupations,5.00,5.00,172102.00
Dietitians and Nutritionists,52.54,53.92,50.65,74.98,Healthcare Practitioners and Technical Occupations,5.00,4.00,76570.00
Automotive Engineers,49.06,53.26,50.61,67.63,Architecture and Engineering Occupations,4.00,5.00,141126.00
Chief Sustainability Officers,32.17,34.20,50.28,73.94,Management Occupations,5.00,5.00,39381.00
Molecular and Cellular Biologists,48.60,61.14,50.08,75.17,"Life, Physical, and Social Science Occupations",5.00,4.00,10176.00
Aviation Inspectors,15.13,22.75,49.93,65.67,Transportation and Material Moving Occupations,3.00,3.00,7773.33
Health Informatics Specialists,52.85,62.10,49.85,77.88,Computer and Mathematical Occupations,5.00,5.00,94384.00
"Social Work Teachers, Postsecondary",75.98,80.86,49.84,78.39,Educational Instruction and Library Occupations,5.00,4.00,13350.00
"Education Administrators, Postsecondary",42.28,49.91,49.71,81.63,Management Occupations,5.00,5.00,176420.00
Logisticians,58.84,65.04,49.51,72.60,Business and Financial Operations Occupations,4.00,5.00,69452.00
"Communications Teachers, Postsecondary",78.83,87.16,49.38,79.86,Educational Instruction and Library Occupations,5.00,4.00,29260.00
"Pediatricians, General",50.52,52.93,49.16,72.84,Healthcare Practitioners and Technical Occupations,5.00,4.00,42960.00
"Education and Childcare Administrators, Preschool and Daycare",27.09,42.53,49.16,76.34,Management Occupations,4.00,4.00,71620.00
Sales Managers,53.40,57.71,49.13,75.56,Management Occupations,4.00,5.00,603710.00
"Physicians, Pathologists",22.36,33.25,49.11,74.71,Healthcare Practitioners and Technical Occupations,5.00,2.00,11800.00
"Education Teachers, Postsecondary",83.15,88.37,49.06,78.13,Educational Instruction and Library Occupations,5.00,4.00,59090.00
Natural Sciences Managers,41.41,57.06,49.05,75.67,Management Occupations,5.00,5.00,33044.00
"Sociology Teachers, Postsecondary",72.41,80.41,49.04,77.12,Educational Instruction and Library Occupations,5.00,3.00,12380.00
Logistics Engineers,50.68,65.76,49.00,73.41,Business and Financial Operations Occupations,4.00,5.00,88870.00
Training and Development Managers,85.71,88.25,48.97,77.76,Management Occupations,4.00,4.00,44960.00
"Environmental Science Teachers, Postsecondary",72.77,81.07,48.93,72.83,Educational Instruction and Library Occupations,5.00,4.00,7130.00
Security Managers,38.31,56.74,48.89,76.28,Management Occupations,4.00,5.00,70545.00
School Psychologists,34.71,54.91,48.80,77.23,"Life, Physical, and Social Science Occupations",5.00,4.00,63830.00
First-Line Supervisors of Firefighting and Prevention Workers,3.73,19.81,48.77,67.23,Protective Service Occupations,3.00,5.00,93680.00
"Biological Science Teachers, Postsecondary",74.81,81.60,48.73,72.90,Educational Instruction and Library Occupations,5.00,4.00,53250.00
"Psychology Teachers, Postsecondary",75.88,79.19,48.67,75.22,Educational Instruction and Library Occupations,5.00,4.00,41610.00
Critical Care Nurses,24.02,26.24,48.65,70.24,Healthcare Practitioners and Technical Occupations,4.00,5.00,665841.00
"Agricultural Sciences Teachers, Postsecondary",75.45,80.47,48.56,76.47,Educational Instruction and Library Occupations,5.00,4.00,8700.00
Anesthesiologists,5.78,10.19,48.55,69.12,Healthcare Practitioners and Technical Occupations,5.00,0.00,41890.00
Clergy,72.16,73.75,48.50,76.06,Community and Social Service Occupations,5.00,1.00,58080.00
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,21.06,34.82,48.41,70.69,Transportation and Material Moving Occupations,3.00,2.00,123136.00
Financial Managers,25.11,52.40,48.32,73.95,Management Occupations,4.00,5.00,18868.00
Acute Care Nurses,32.08,34.37,48.27,73.55,Healthcare Practitioners and Technical Occupations,4.00,5.00,495221.00
Marine Engineers and Naval Architects,29.69,38.85,48.26,66.19,Architecture and Engineering Occupations,4.00,5.00,8440.00
Security Management Specialists,49.70,59.51,48.21,72.93,Business and Financial Operations Occupations,4.00,4.00,483001.00
Quality Control Systems Managers,17.89,33.95,48.12,73.48,Management Occupations,4.00,5.00,44992.00
First-Line Supervisors of Security Workers,21.55,44.92,48.08,72.71,Protective Service Occupations,2.00,3.00,70310.00
Soil and Plant Scientists,41.05,46.80,48.01,69.66,"Life, Physical, and Social Science Occupations",5.00,3.00,16600.00
"Chemistry Teachers, Postsecondary",65.95,72.80,47.99,71.53,Educational Instruction and Library Occupations,5.00,4.00,20390.00
Loss Prevention Managers,16.16,35.18,47.88,75.23,Management Occupations,4.00,4.00,164169.00
Radiologists,46.77,48.92,47.77,73.74,Healthcare Practitioners and Technical Occupations,5.00,2.00,26290.00
Substance Abuse and Behavioral Disorder Counselors,44.51,44.51,47.63,75.93,Community and Social Service Occupations,5.00,4.00,161811.67
Animal Scientists,38.75,40.02,47.62,71.94,"Life, Physical, and Social Science Occupations",5.00,4.00,2470.00
Mechanical Engineers,45.83,55.70,47.57,64.22,Architecture and Engineering Occupations,4.00,5.00,99415.00
Human Factors Engineers and Ergonomists,48.44,50.87,47.47,71.58,Architecture and Engineering Occupations,5.00,4.00,87557.50
"Special Education Teachers, Secondary School",48.57,53.42,47.29,75.59,Educational Instruction and Library Occupations,4.00,4.00,162780.00
"Criminal Justice and Law Enforcement Teachers, Postsecondary",71.01,80.29,47.16,75.56,Educational Instruction and Library Occupations,5.00,3.00,13560.00
Gambling Managers,21.88,36.14,47.14,73.12,Management Occupations,2.00,3.00,4620.00
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",64.56,74.27,47.09,74.39,Educational Instruction and Library Occupations,5.00,3.00,11480.00
Food Scientists and Technologists,48.90,48.90,47.07,69.48,"Life, Physical, and Social Science Occupations",4.00,4.00,14370.00
"Forestry and Conservation Science Teachers, Postsecondary",73.62,80.90,47.04,76.00,Educational Instruction and Library Occupations,5.00,4.00,1310.00
Aerospace Engineers,27.46,35.39,47.03,66.59,Architecture and Engineering Occupations,4.00,5.00,68440.00
Supply Chain Managers,37.24,62.92,46.83,71.98,Management Occupations,4.00,5.00,148351.00
Postmasters and Mail Superintendents,17.28,62.17,46.56,69.32,Management Occupations,2.00,3.00,13810.00
Oral and Maxillofacial Surgeons,13.47,13.47,46.56,67.90,Healthcare Practitioners and Technical Occupations,5.00,5.00,5330.00
Chemical Engineers,45.78,57.92,46.55,61.86,Architecture and Engineering Occupations,4.00,5.00,20330.00
Occupational Health and Safety Technicians,21.75,32.54,46.48,66.39,"Life, Physical, and Social Science Occupations",3.00,3.00,31450.00
Veterinarians,34.16,35.79,46.47,67.85,Healthcare Practitioners and Technical Occupations,5.00,5.00,80630.00
"Transportation, Storage, and Distribution Managers",27.35,39.56,46.37,69.43,Management Occupations,4.00,5.00,64649.00
