title_current,pct,skill_similarity,major,job_zone,outlook,emp_nat
"Education Administrators, Postsecondary",49.91,0.93,Management Occupations,5.00,5.00,176420.00
Survey Researchers,65.33,0.93,"Life, Physical, and Social Science Occupations",5.00,3.00,7720.00
Health Informatics Specialists,62.10,0.93,Computer and Mathematical Occupations,5.00,5.00,94384.00
Farm and Home Management Educators,50.40,0.93,Educational Instruction and Library Occupations,5.00,2.00,10260.00
"Elementary School Teachers, Except Special Education",67.10,0.93,Educational Instruction and Library Occupations,4.00,5.00,1393310.00
Instructional Coordinators,53.52,0.93,Educational Instruction and Library Occupations,5.00,4.00,210850.00
"Environmental Scientists and Specialists, Including Health",52.28,0.92,"Life, Physical, and Social Science Occupations",4.00,4.00,30210.00
"Computer Science Teachers, Postsecondary",80.92,0.92,Educational Instruction and Library Occupations,5.00,4.00,36240.00
Business Continuity Planners,59.83,0.92,Business and Financial Operations Occupations,4.00,4.00,217277.00
"Middle School Teachers, Except Special and Career/Technical Education",71.70,0.92,Educational Instruction and Library Occupations,4.00,5.00,620370.00
"Career/Technical Education Teachers, Secondary School",57.09,0.92,Educational Instruction and Library Occupations,4.00,4.00,104450.00
"Education Administrators, Kindergarten through Secondary",38.18,0.92,Management Occupations,5.00,5.00,319630.00
Range Managers,16.23,0.92,"Life, Physical, and Social Science Occupations",4.00,3.00,2547.00
"Special Education Teachers, Elementary School",28.55,0.92,Educational Instruction and Library Occupations,4.00,4.00,92873.33
"Entertainment and Recreation Managers, Except Gambling",54.73,0.92,Management Occupations,4.00,3.00,560732.43
"Family and Consumer Sciences Teachers, Postsecondary",50.12,0.91,Educational Instruction and Library Occupations,5.00,3.00,2630.00
"Career/Technical Education Teachers, Middle School",63.27,0.91,Educational Instruction and Library Occupations,4.00,4.00,14200.00
"Special Education Teachers, Preschool",38.54,0.91,Educational Instruction and Library Occupations,5.00,3.00,28200.00
"Education and Childcare Administrators, Preschool and Daycare",42.53,0.91,Management Occupations,4.00,4.00,71620.00
Information Technology Project Managers,81.20,0.91,Computer and Mathematical Occupations,4.00,5.00,46177.00
Management Analysts,73.77,0.91,Business and Financial Operations Occupations,4.00,4.00,893900.00
"Special Education Teachers, Secondary School",53.42,0.91,Educational Instruction and Library Occupations,4.00,4.00,162780.00
Tutors,77.21,0.91,Educational Instruction and Library Occupations,3.00,2.00,174660.00
Document Management Specialists,86.01,0.91,Computer and Mathematical Occupations,4.00,5.00,124166.00
Social and Community Service Managers,45.39,0.91,Management Occupations,4.00,4.00,195490.00
"Recreation and Fitness Studies Teachers, Postsecondary",77.02,0.90,Educational Instruction and Library Occupations,5.00,4.00,12680.00
Health Education Specialists,48.06,0.90,Community and Social Service Occupations,4.00,3.00,65150.00
Loss Prevention Managers,35.18,0.90,Management Occupations,4.00,4.00,164169.00
Rehabilitation Counselors,59.95,0.90,Community and Social Service Occupations,4.00,3.00,88930.00
Compliance Managers,63.43,0.90,Management Occupations,4.00,4.00,116780.00
"Meeting, Convention, and Event Planners",70.12,0.90,Business and Financial Operations Occupations,4.00,3.00,134670.00
Gambling Managers,36.14,0.90,Management Occupations,2.00,3.00,4620.00
Medical and Health Services Managers,65.06,0.90,Management Occupations,4.00,5.00,565840.00
Loan Interviewers and Clerks,76.27,0.90,Office and Administrative Support Occupations,3.00,3.00,173100.00
Purchasing Managers,59.66,0.90,Management Occupations,4.00,4.00,81240.00
Foresters,13.95,0.90,"Life, Physical, and Social Science Occupations",4.00,3.00,9650.00
Logistics Analysts,80.47,0.90,Business and Financial Operations Occupations,4.00,5.00,77318.00
Media Programming Directors,34.67,0.90,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,38771.00
"Educational, Guidance, and Career Counselors and Advisors",43.76,0.90,Community and Social Service Occupations,5.00,4.00,342350.00
"Secondary School Teachers, Except Special and Career/Technical Education",64.94,0.90,Educational Instruction and Library Occupations,4.00,5.00,1072540.00
"Ophthalmologists, Except Pediatric",18.56,0.90,Healthcare Practitioners and Technical Occupations,5.00,0.00,12110.00
Allergists and Immunologists,37.38,0.90,Healthcare Practitioners and Technical Occupations,5.00,2.00,137310.00
Clinical Data Managers,73.34,0.90,Computer and Mathematical Occupations,4.00,5.00,104082.00
Facilities Managers,41.14,0.90,Management Occupations,3.00,5.00,184500.52
Computer and Information Systems Managers,79.70,0.90,Management Occupations,4.00,5.00,645970.00
First-Line Supervisors of Gambling Services Workers,45.36,0.90,Personal Care and Service Occupations,2.00,2.00,25530.00
"Kindergarten Teachers, Except Special Education",61.39,0.90,Educational Instruction and Library Occupations,4.00,3.00,114410.00
"Claims Adjusters, Examiners, and Investigators",43.66,0.89,Business and Financial Operations Occupations,4.00,4.00,305020.00
First-Line Supervisors of Retail Sales Workers,81.60,0.89,Sales and Related Occupations,2.00,3.00,1113160.00
Administrative Services Managers,46.12,0.89,Management Occupations,3.00,5.00,184500.52
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",81.95,0.89,Business and Financial Operations Occupations,4.00,4.00,162300.00
"Library Science Teachers, Postsecondary",83.47,0.89,Educational Instruction and Library Occupations,5.00,3.00,4100.00
"Nursing Instructors and Teachers, Postsecondary",63.58,0.89,Educational Instruction and Library Occupations,5.00,4.00,74250.00
First-Line Supervisors of Office and Administrative Support Workers,75.47,0.89,Office and Administrative Support Occupations,3.00,4.00,1495580.00
"Fraud Examiners, Investigators and Analysts",81.48,0.89,Business and Financial Operations Occupations,4.00,4.00,34204.00
Neurodiagnostic Technologists,24.99,0.89,Healthcare Practitioners and Technical Occupations,3.00,4.00,52948.00
Forest and Conservation Technicians,26.68,0.89,"Life, Physical, and Social Science Occupations",3.00,2.00,31080.00
Emergency Management Directors,37.78,0.89,Management Occupations,4.00,3.00,12570.00
"Eligibility Interviewers, Government Programs",68.18,0.89,Office and Administrative Support Occupations,3.00,3.00,156260.00
"Business Teachers, Postsecondary",81.60,0.89,Educational Instruction and Library Occupations,5.00,4.00,81780.00
Substance Abuse and Behavioral Disorder Counselors,44.51,0.89,Community and Social Service Occupations,5.00,4.00,161811.67
Exercise Physiologists,56.92,0.89,Healthcare Practitioners and Technical Occupations,4.00,3.00,8110.00
Interpreters and Translators,87.70,0.89,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,53360.00
Audiologists,25.48,0.89,Healthcare Practitioners and Technical Occupations,5.00,4.00,14730.00
Recreation Workers,51.29,0.89,Personal Care and Service Occupations,4.00,2.00,309640.00
Coaches and Scouts,63.35,0.89,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,250940.00
Government Property Inspectors and Investigators,50.62,0.89,Business and Financial Operations Occupations,3.00,4.00,68789.00
Curators,84.30,0.89,Educational Instruction and Library Occupations,5.00,1.00,12280.00
Community Health Workers,48.37,0.89,Community and Social Service Occupations,4.00,3.00,60730.00
"Agricultural Sciences Teachers, Postsecondary",80.47,0.89,Educational Instruction and Library Occupations,5.00,4.00,8700.00
Fundraisers,69.00,0.89,Business and Financial Operations Occupations,4.00,3.00,105930.00
"Communications Teachers, Postsecondary",87.16,0.88,Educational Instruction and Library Occupations,5.00,4.00,29260.00
"Forestry and Conservation Science Teachers, Postsecondary",80.90,0.88,Educational Instruction and Library Occupations,5.00,4.00,1310.00
Credit Counselors,66.54,0.88,Business and Financial Operations Occupations,4.00,3.00,28110.00
Marketing Managers,78.01,0.88,Management Occupations,4.00,5.00,384980.00
"Health Specialties Teachers, Postsecondary",83.05,0.88,Educational Instruction and Library Occupations,5.00,5.00,229720.00
Correctional Officers and Jailers,27.69,0.88,Protective Service Occupations,2.00,4.00,365380.00
Lodging Managers,67.79,0.88,Management Occupations,4.00,3.00,41350.00
