title_current,employment,median_wage,major,minor,broad,job_zone,outlook,pct_all_ceiling,tier_all_ceiling,workers_all_ceiling,pct_human_conversation,tier_human_conversation,workers_human_conversation,pct_agentic_confirmed,tier_agentic_confirmed,workers_agentic_confirmed,pct_all_confirmed,tier_all_confirmed,workers_all_confirmed,pct_agentic_ceiling,tier_agentic_ceiling,workers_agentic_ceiling
Accountants and Auditors,1448290.00,81680.00,Business and Financial Operations Occupations,Financial Specialists,Accountants and Auditors,4.00,5.00,43.59,moderate,631369.97,28.09,restructuring,406788.64,46.01,moderate,666306.56,28.09,restructuring,406788.64,35.32,restructuring,511491.99
Actors,38800.00,78000.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",2.00,0.00,79.63,high,30896.65,63.20,high,24521.02,57.76,moderate,22409.68,79.37,high,30794.92,63.71,high,24719.81
Actuaries,28340.00,125770.00,Computer and Mathematical Occupations,Mathematical Science Occupations,Actuaries,4.00,4.00,49.65,moderate,14071.91,41.57,moderate,11779.81,1.54,low,436.88,45.67,moderate,12943.55,31.34,restructuring,8881.95
Acupuncturists,8440.00,78140.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Miscellaneous Healthcare Diagnosing or Treating Practitioners,5.00,5.00,24.63,restructuring,2079.04,19.67,low,1660.11,5.05,low,426.40,21.71,restructuring,1832.24,10.82,low,913.63
Acute Care Nurses,495221.00,93600.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Registered Nurses,4.00,5.00,34.37,restructuring,170188.82,29.87,restructuring,147924.99,12.74,low,63092.78,32.08,restructuring,158863.08,22.66,restructuring,112227.16
Adapted Physical Education Specialists,39350.00,67430.00,Educational Instruction and Library Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Special Education Teachers,5.00,4.00,38.19,restructuring,15029.07,33.35,restructuring,13121.52,2.74,low,1079.82,33.82,restructuring,13308.42,8.18,low,3217.43
Adhesive Bonding Machine Operators and Tenders,12170.00,45210.00,Production Occupations,Other Production Occupations,Miscellaneous Production Workers,2.00,2.00,40.13,moderate,4883.84,21.57,restructuring,2625.67,0.00,low,0.00,21.57,restructuring,2625.67,21.12,restructuring,2570.47
"Administrative Law Judges, Adjudicators, and Hearing Officers",16230.00,115230.00,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers",5.00,4.00,48.50,moderate,7872.32,36.96,restructuring,5998.02,18.40,low,2986.49,40.53,moderate,6577.79,23.27,restructuring,3776.77
Administrative Services Managers,184500.52,106986.55,Management Occupations,Operations Specialties Managers,Administrative Services and Facilities Managers,3.00,5.00,46.12,moderate,85085.45,21.21,restructuring,39126.36,1.85,low,3412.15,21.21,restructuring,39126.36,39.54,restructuring,72947.34
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36260.00,59950.00,Educational Instruction and Library Occupations,Other Teachers and Instructors,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4.00,3.00,38.03,restructuring,13789.80,24.89,restructuring,9026.10,51.00,moderate,18492.73,24.89,restructuring,9026.10,23.42,restructuring,8491.53
Advanced Practice Psychiatric Nurses,1031526.00,93600.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Registered Nurses,5.00,5.00,51.38,moderate,529962.18,39.46,restructuring,407051.47,27.19,restructuring,280456.73,47.35,moderate,488433.72,40.57,moderate,418472.91
Advertising Sales Agents,97470.00,61460.00,Sales and Related Occupations,"Sales Representatives, Services",Advertising Sales Agents,4.00,3.00,83.84,high,81718.38,65.16,high,63513.28,44.12,moderate,43000.44,83.62,high,81500.27,73.63,high,71766.72
Advertising and Promotions Managers,21100.00,126960.00,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,4.00,3.00,68.99,high,14557.84,41.12,moderate,8676.82,42.68,moderate,9006.40,53.17,moderate,11218.05,59.64,moderate,12584.28
Aerospace Engineering and Operations Technologists and Technicians,9060.00,79830.00,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technologists and Technicians, Except Drafters",3.00,3.00,42.44,moderate,3845.04,36.82,restructuring,3336.15,10.75,low,973.95,36.82,restructuring,3336.15,27.79,restructuring,2517.60
