broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
Accountants and Auditors,28.09,260.00,Business and Financial Operations Occupations,51.70,5.00,-255.00,-23.61
"Actors, Producers, and Directors",40.82,163.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-157.00,-7.14
Actuaries,45.67,140.00,Computer and Mathematical Occupations,65.79,1.00,-139.00,-20.12
Administrative Services and Facilities Managers,22.36,303.00,Management Occupations,36.26,11.00,-292.00,-13.90
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,288.00,Educational Instruction and Library Occupations,61.44,3.00,-285.00,-36.54
Advertising Sales Agents,83.62,7.00,Sales and Related Occupations,62.92,2.00,-5.00,20.69
Advertising and Promotions Managers,53.17,100.00,Management Occupations,36.26,11.00,-89.00,16.91
Aerospace Engineers,27.46,267.00,Architecture and Engineering Occupations,40.05,10.00,-257.00,-12.59
"Agents and Business Managers of Artists, Performers, and Athletes",53.06,101.00,Business and Financial Operations Occupations,51.70,5.00,-96.00,1.36
Agricultural Engineers,38.39,183.00,Architecture and Engineering Occupations,40.05,10.00,-173.00,-1.66
Agricultural Inspectors,28.01,262.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-241.00,12.12
Agricultural and Food Science Technicians,33.33,223.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-214.00,-9.85
Agricultural and Food Scientists,42.90,154.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-145.00,-0.27
Air Traffic Controllers and Airfield Operations Specialists,30.13,243.00,Transportation and Material Moving Occupations,16.67,20.00,-223.00,13.46
Aircraft Mechanics and Service Technicians,14.03,369.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-352.00,-10.53
Aircraft Pilots and Flight Engineers,20.71,320.00,Transportation and Material Moving Occupations,16.67,20.00,-300.00,4.04
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",13.39,376.00,Production Occupations,18.95,18.00,-358.00,-5.56
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,435.00,Transportation and Material Moving Occupations,16.67,20.00,-415.00,-16.13
