minor,minor_avg_pct,minor_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",44.34,28.00,Management Occupations,36.26,11.00,-17.00,8.09
Agricultural Workers,22.34,70.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-49.00,6.44
Air Transportation Workers,27.68,60.00,Transportation and Material Moving Occupations,16.67,20.00,-40.00,11.01
Animal Care and Service Workers,27.16,62.00,Personal Care and Service Occupations,32.09,13.00,-49.00,-4.93
"Architects, Surveyors, and Cartographers",40.10,37.00,Architecture and Engineering Occupations,40.05,10.00,-27.00,0.05
Art and Design Workers,54.57,15.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-9.00,6.60
Assemblers and Fabricators,14.77,85.00,Production Occupations,18.95,18.00,-67.00,-4.19
"Baggage Porters, Bellhops, and Concierges",47.28,24.00,Personal Care and Service Occupations,32.09,13.00,-11.00,15.19
Building Cleaning and Pest Control Workers,15.94,80.00,Building and Grounds Cleaning and Maintenance Occupations,18.17,19.00,-61.00,-2.23
Business Operations Specialists,52.93,18.00,Business and Financial Operations Occupations,51.70,5.00,-13.00,1.23
Communications Equipment Operators,62.53,11.00,Office and Administrative Support Occupations,52.87,4.00,-7.00,9.66
Computer Occupations,65.36,9.00,Computer and Mathematical Occupations,65.79,1.00,-8.00,-0.43
Construction Trades Workers,15.80,82.00,Construction and Extraction Occupations,14.38,22.00,-60.00,1.42
Cooks and Food Preparation Workers,38.38,40.00,Food Preparation and Serving Related Occupations,34.48,12.00,-28.00,3.89
"Counselors, Social Workers, and Other Community and Social Service Specialists",42.60,30.00,Community and Social Service Occupations,45.97,7.00,-23.00,-3.37
"Drafters, Engineering Technicians, and Mapping Technicians",37.26,43.00,Architecture and Engineering Occupations,40.05,10.00,-33.00,-2.79
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",35.13,47.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-30.00,10.58
Engineers,41.43,33.00,Architecture and Engineering Occupations,40.05,10.00,-23.00,1.38
"Entertainers and Performers, Sports and Related Workers",36.17,46.00,"Arts, Design, Entertainment, Sports, and Media Occupations",47.96,6.00,-40.00,-11.80
Entertainment Attendants and Related Workers,34.08,52.00,Personal Care and Service Occupations,32.09,13.00,-39.00,1.99
Extraction Workers,7.78,94.00,Construction and Extraction Occupations,14.38,22.00,-72.00,-6.60
Financial Clerks,54.19,16.00,Office and Administrative Support Occupations,52.87,4.00,-12.00,1.32
Financial Specialists,49.23,22.00,Business and Financial Operations Occupations,51.70,5.00,-17.00,-2.47
Firefighting and Prevention Workers,15.73,83.00,Protective Service Occupations,31.96,14.00,-69.00,-16.24
Fishing and Hunting Workers,5.81,95.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-74.00,-10.08
Food Processing Workers,28.28,59.00,Production Occupations,18.95,18.00,-41.00,9.33
Food and Beverage Serving Workers,33.49,53.00,Food Preparation and Serving Related Occupations,34.48,12.00,-41.00,-0.99
"Forest, Conservation, and Logging Workers",10.76,89.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-68.00,-5.14
Funeral Service Workers,21.98,72.00,Personal Care and Service Occupations,32.09,13.00,-59.00,-10.11
Grounds Maintenance Workers,9.67,92.00,Building and Grounds Cleaning and Maintenance Occupations,18.17,19.00,-73.00,-8.50
Health Technologists and Technicians,27.45,61.00,Healthcare Practitioners and Technical Occupations,29.69,15.00,-46.00,-2.24
