title_current,emp_nat,wage_nat,major,minor,broad,pct_first_all_ceiling,pct_last_all_ceiling,pct_delta_all_ceiling,workers_first_all_ceiling,workers_last_all_ceiling,workers_delta_all_ceiling,pct_first_human_conversation,pct_last_human_conversation,pct_delta_human_conversation,workers_first_human_conversation,workers_last_human_conversation,workers_delta_human_conversation,pct_first_agentic_confirmed,pct_last_agentic_confirmed,pct_delta_agentic_confirmed,workers_first_agentic_confirmed,workers_last_agentic_confirmed,workers_delta_agentic_confirmed,pct_first_all_confirmed,pct_last_all_confirmed,pct_delta_all_confirmed,workers_first_all_confirmed,workers_last_all_confirmed,workers_delta_all_confirmed,pct_first_agentic_ceiling,pct_last_agentic_ceiling,pct_delta_agentic_ceiling,workers_first_agentic_ceiling,workers_last_agentic_ceiling,workers_delta_agentic_ceiling
Accountants and Auditors,1448290.00,81680.00,Business and Financial Operations Occupations,Financial Specialists,Accountants and Auditors,28.09,43.59,15.51,406788.64,631369.97,224581.32,28.09,28.09,0.00,406788.64,406788.64,0.00,43.56,46.01,2.44,630924.17,666306.56,35382.40,28.09,28.09,0.00,406788.64,406788.64,0.00,28.24,35.32,7.08,408958.74,511491.99,102533.26
Actors,38800.00,78000.00,"Arts, Design, Entertainment, Sports, and Media Occupations","Entertainers and Performers, Sports and Related Workers","Actors, Producers, and Directors",14.19,79.63,65.44,5505.19,30896.65,25391.46,14.19,63.20,49.01,5505.19,24521.02,19015.83,19.41,57.76,38.34,7532.95,22409.68,14876.74,14.19,79.37,65.18,5505.19,30794.92,25289.74,3.92,63.71,59.79,1519.84,24719.81,23199.97
Actuaries,28340.00,125770.00,Computer and Mathematical Occupations,Mathematical Science Occupations,Actuaries,27.11,49.65,22.55,7681.76,14071.91,6390.14,27.11,41.57,14.46,7681.76,11779.81,4098.05,1.54,1.54,0.00,436.88,436.88,0.00,27.11,45.67,18.57,7681.76,12943.55,5261.79,17.02,31.34,14.32,4822.77,8881.95,4059.18
Acupuncturists,8440.00,78140.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Miscellaneous Healthcare Diagnosing or Treating Practitioners,7.33,24.63,17.30,618.57,2079.04,1460.46,7.33,19.67,12.34,618.57,1660.11,1041.53,5.05,5.05,0.00,426.40,426.40,0.00,7.33,21.71,14.38,618.57,1832.24,1213.66,1.46,10.82,9.36,123.48,913.63,790.14
Acute Care Nurses,495221.00,93600.00,Healthcare Practitioners and Technical Occupations,Healthcare Diagnosing or Treating Practitioners,Registered Nurses,19.58,34.37,14.79,96968.07,170188.82,73220.75,19.58,29.87,10.29,96968.07,147924.99,50956.92,9.99,12.74,2.75,49472.43,63092.78,13620.35,19.58,32.08,12.50,96968.07,158863.08,61895.01,6.36,22.66,16.30,31500.81,112227.16,80726.34
Adapted Physical Education Specialists,39350.00,67430.00,Educational Instruction and Library Occupations,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Special Education Teachers,26.97,38.19,11.23,10611.30,15029.07,4417.76,26.97,33.35,6.38,10611.30,13121.52,2510.21,1.20,2.74,1.55,470.85,1079.82,608.97,26.97,33.82,6.85,10611.30,13308.42,2697.12,4.48,8.18,3.70,1761.99,3217.43,1455.45
Adhesive Bonding Machine Operators and Tenders,12170.00,45210.00,Production Occupations,Other Production Occupations,Miscellaneous Production Workers,19.24,40.13,20.89,2341.38,4883.84,2542.46,19.24,21.57,2.34,2341.38,2625.67,284.29,0.00,0.00,0.00,0.00,0.00,0.00,19.24,21.57,2.34,2341.38,2625.67,284.29,8.54,21.12,12.58,1039.31,2570.47,1531.16
"Administrative Law Judges, Adjudicators, and Hearing Officers",16230.00,115230.00,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers",24.41,48.50,24.10,3961.58,7872.32,3910.75,24.41,36.96,12.55,3961.58,5998.02,2036.45,10.14,18.40,8.26,1645.94,2986.49,1340.55,24.41,40.53,16.12,3961.58,6577.79,2616.22,11.56,23.27,11.71,1876.70,3776.77,1900.06
Administrative Services Managers,184500.52,106986.55,Management Occupations,Operations Specialties Managers,Administrative Services and Facilities Managers,21.00,46.12,25.11,38752.22,85085.45,46333.23,21.00,21.21,0.20,38752.22,39126.36,374.14,0.00,1.85,1.85,0.00,3412.15,3412.15,21.00,21.21,0.20,38752.22,39126.36,374.14,21.89,39.54,17.65,40383.95,72947.34,32563.39
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",36260.00,59950.00,Educational Instruction and Library Occupations,Other Teachers and Instructors,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",24.89,38.03,13.14,9026.10,13789.80,4763.70,24.89,24.89,0.00,9026.10,9026.10,0.00,27.77,51.00,23.23,10069.26,18492.73,8423.47,24.89,24.89,0.00,9026.10,9026.10,0.00,13.95,23.42,9.47,5056.79,8491.53,3434.74
