title_current,min_tier,max_tier,tier_range,tier_all_ceiling,tier_human_conversation,tier_agentic_confirmed,tier_all_confirmed,tier_agentic_ceiling
Geothermal Technicians,low,high,2,low,high,moderate,high,moderate
First-Line Supervisors of Security Workers,low,high,2,high,low,high,moderate,high
"Insurance Appraisers, Auto Damage",low,high,2,moderate,high,low,high,low
Non-Destructive Testing Specialists,low,high,2,low,high,moderate,moderate,moderate
Speech-Language Pathologists,low,moderate,1,moderate,moderate,low,moderate,low
Speech-Language Pathology Assistants,moderate,high,1,high,moderate,moderate,moderate,moderate
Stockers and Order Fillers,moderate,high,1,high,moderate,high,moderate,high
Structural Iron and Steel Workers,low,moderate,1,low,low,moderate,low,moderate
Subway and Streetcar Operators,low,moderate,1,moderate,low,moderate,low,moderate
Surgical Assistants,low,moderate,1,low,low,moderate,low,moderate
Surgical Technologists,low,moderate,1,low,moderate,moderate,moderate,moderate
Surveying and Mapping Technicians,moderate,high,1,high,moderate,high,moderate,high
Sustainability Specialists,moderate,high,1,high,high,moderate,high,moderate
"Tailors, Dressmakers, and Custom Sewers",low,moderate,1,low,moderate,low,moderate,low
Talent Directors,moderate,high,1,high,high,moderate,high,moderate
"Tax Examiners and Collectors, and Revenue Agents",moderate,high,1,high,moderate,moderate,moderate,moderate
"Telecommunications Equipment Installers and Repairers, Except Line Installers",low,moderate,1,low,low,low,moderate,low
Timing Device Assemblers and Adjusters,low,moderate,1,low,moderate,low,moderate,low
Animal Caretakers,moderate,high,1,high,high,moderate,high,moderate
Animal Control Workers,moderate,high,1,moderate,high,moderate,high,moderate
Animal Scientists,low,moderate,1,moderate,moderate,low,moderate,low
Architectural and Civil Drafters,moderate,high,1,high,high,moderate,moderate,moderate
Architectural and Engineering Managers,low,moderate,1,moderate,low,moderate,moderate,moderate
Athletes and Sports Competitors,moderate,high,1,moderate,high,moderate,high,moderate
Athletic Trainers,low,moderate,1,low,moderate,low,moderate,low
Audio and Video Technicians,moderate,high,1,high,moderate,high,moderate,high
Automotive Engineering Technicians,moderate,high,1,high,high,moderate,high,moderate
Automotive Engineers,low,moderate,1,low,moderate,moderate,moderate,moderate
Avionics Technicians,low,moderate,1,low,moderate,low,low,low
Biofuels Processing Technicians,low,moderate,1,low,low,moderate,low,moderate
Biomass Power Plant Managers,low,moderate,1,low,low,moderate,low,moderate
Brickmasons and Blockmasons,low,moderate,1,low,low,moderate,low,low
Broadcast Technicians,moderate,high,1,high,moderate,high,moderate,high
Brownfield Redevelopment Specialists and Site Managers,low,moderate,1,moderate,low,low,low,low
Budget Analysts,moderate,high,1,high,moderate,moderate,moderate,moderate
"Bus Drivers, Transit and Intercity",low,moderate,1,low,low,moderate,low,moderate
Calibration Technologists and Technicians,low,moderate,1,low,moderate,low,moderate,low
"Camera Operators, Television, Video, and Film",moderate,high,1,high,moderate,moderate,moderate,moderate
Camera and Photographic Equipment Repairers,moderate,high,1,moderate,moderate,moderate,high,moderate
Cargo and Freight Agents,moderate,high,1,high,moderate,high,high,high
Cartographers and Photogrammetrists,moderate,high,1,high,high,high,moderate,high
Cement Masons and Concrete Finishers,low,moderate,1,low,moderate,low,moderate,low
Chemical Engineers,low,moderate,1,moderate,moderate,low,moderate,low
Chemical Equipment Operators and Tenders,low,moderate,1,low,low,low,moderate,low
Chemical Plant and System Operators,low,moderate,1,low,moderate,low,low,low
Chief Sustainability Officers,low,moderate,1,moderate,moderate,low,moderate,low
"Child, Family, and School Social Workers",low,moderate,1,moderate,moderate,low,moderate,low
Childcare Workers,moderate,high,1,moderate,high,moderate,high,moderate
Choreographers,moderate,high,1,moderate,high,moderate,moderate,moderate
Civil Engineers,low,moderate,1,low,moderate,moderate,moderate,moderate
"Claims Adjusters, Examiners, and Investigators",low,moderate,1,moderate,moderate,low,moderate,low
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",low,moderate,1,moderate,moderate,low,low,low
Clinical Data Managers,moderate,high,1,high,moderate,high,high,high
Commercial Pilots,low,moderate,1,low,low,moderate,low,moderate
Commercial and Industrial Designers,low,moderate,1,moderate,moderate,low,moderate,low
"Compensation, Benefits, and Job Analysis Specialists",moderate,high,1,high,moderate,high,high,high
Computer Network Support Specialists,moderate,high,1,high,moderate,moderate,high,moderate
Computer Programmers,moderate,high,1,high,high,moderate,high,moderate
Computer Systems Engineers/Architects,moderate,high,1,high,moderate,moderate,high,moderate
Computer User Support Specialists,moderate,high,1,high,high,moderate,high,moderate
Concierges,moderate,high,1,high,high,moderate,high,moderate
Construction Laborers,low,moderate,1,low,moderate,low,moderate,low
"Cooks, Fast Food",moderate,high,1,moderate,high,moderate,moderate,moderate
"Cooks, Private Household",moderate,high,1,moderate,high,moderate,moderate,moderate
"Cooks, Restaurant",moderate,high,1,moderate,high,moderate,high,moderate
"Cooks, Short Order",moderate,high,1,high,high,moderate,high,moderate
Cost Estimators,moderate,high,1,high,moderate,moderate,moderate,moderate
Couriers and Messengers,moderate,high,1,moderate,moderate,high,high,high
Court Reporters and Simultaneous Captioners,moderate,high,1,high,moderate,high,moderate,high
"Cutting and Slicing Machine Setters, Operators, and Tenders",low,moderate,1,moderate,moderate,moderate,low,moderate
Cytogenetic Technologists,moderate,high,1,high,moderate,moderate,high,moderate
Data Entry Keyers,moderate,high,1,high,high,high,high,moderate
Data Scientists,low,moderate,1,moderate,low,low,low,low
Data Warehousing Specialists,moderate,high,1,high,high,moderate,high,moderate
Database Administrators,moderate,high,1,moderate,moderate,high,high,high
Dental Assistants,moderate,high,1,high,moderate,high,high,high
Dental Hygienists,low,moderate,1,low,low,moderate,low,moderate
"Derrick Operators, Oil and Gas",low,moderate,1,low,moderate,low,low,low
Detectives and Criminal Investigators,low,moderate,1,moderate,moderate,moderate,low,moderate
Digital Forensics Analysts,low,moderate,1,moderate,low,low,low,low
"Disc Jockeys, Except Radio",low,moderate,1,moderate,low,moderate,low,moderate
Driver/Sales Workers,moderate,high,1,high,moderate,high,moderate,high
Drywall and Ceiling Tile Installers,low,moderate,1,low,low,moderate,low,moderate
"Educational, Guidance, and Career Counselors and Advisors",low,moderate,1,moderate,moderate,low,moderate,low
Electricians,moderate,high,1,moderate,high,moderate,moderate,moderate
Electro-Mechanical and Mechatronics Technologists and Technicians,low,moderate,1,low,moderate,low,moderate,low
"Electronic Equipment Installers and Repairers, Motor Vehicles",moderate,high,1,moderate,moderate,moderate,high,moderate
Emergency Management Directors,low,moderate,1,moderate,low,low,low,low
Energy Auditors,moderate,high,1,high,moderate,high,moderate,high
Environmental Engineers,low,moderate,1,low,moderate,low,moderate,low
Equal Opportunity Representatives and Officers,low,moderate,1,low,moderate,moderate,moderate,moderate
Etchers and Engravers,low,moderate,1,low,low,moderate,low,moderate
Exercise Trainers and Group Fitness Instructors,moderate,high,1,moderate,high,moderate,high,moderate
Facilities Managers,moderate,high,1,high,moderate,high,moderate,high
"Family and Consumer Sciences Teachers, Postsecondary",low,moderate,1,moderate,moderate,moderate,low,moderate
File Clerks,moderate,high,1,high,moderate,moderate,high,moderate
Financial Managers,low,moderate,1,moderate,low,moderate,low,moderate
Financial Risk Specialists,low,moderate,1,moderate,low,low,low,low
Financial and Investment Analysts,low,moderate,1,low,low,moderate,low,moderate
Fire Inspectors and Investigators,low,moderate,1,low,moderate,moderate,moderate,moderate
First-Line Supervisors of Construction Trades and Extraction Workers,moderate,high,1,high,moderate,high,high,high
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",low,moderate,1,moderate,low,moderate,low,moderate
First-Line Supervisors of Gambling Services Workers,moderate,high,1,high,high,moderate,high,moderate
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",moderate,high,1,high,moderate,high,high,high
First-Line Supervisors of Personal Service Workers,moderate,high,1,high,moderate,high,moderate,high
Fish and Game Wardens,low,moderate,1,low,moderate,low,moderate,low
Fitness and Wellness Coordinators,moderate,high,1,high,moderate,high,high,high
Flight Attendants,moderate,high,1,moderate,high,moderate,moderate,moderate
Floor Sanders and Finishers,low,moderate,1,low,moderate,low,low,low
Floral Designers,low,moderate,1,low,moderate,low,moderate,low
Food Cooking Machine Operators and Tenders,low,moderate,1,moderate,low,moderate,low,moderate
Food Preparation Workers,moderate,high,1,moderate,high,moderate,high,moderate
Food Scientists and Technologists,low,moderate,1,low,moderate,moderate,moderate,moderate
Food Service Managers,moderate,high,1,high,moderate,high,moderate,high
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",low,moderate,1,moderate,low,moderate,low,moderate
Forest Fire Inspectors and Prevention Specialists,moderate,high,1,high,moderate,moderate,moderate,high
Fundraising Managers,low,moderate,1,moderate,low,moderate,low,moderate
Funeral Attendants,moderate,high,1,moderate,high,moderate,high,moderate
Gambling Cage Workers,moderate,high,1,high,moderate,high,moderate,high
Gambling Change Persons and Booth Cashiers,moderate,high,1,high,moderate,high,moderate,high
Gas Compressor and Gas Pumping Station Operators,moderate,high,1,high,moderate,high,moderate,high
Geodetic Surveyors,low,moderate,1,moderate,low,moderate,low,moderate
"Glass Blowers, Molders, Benders, and Finishers",low,moderate,1,low,moderate,low,low,low
"Hairdressers, Hairstylists, and Cosmetologists",moderate,high,1,high,moderate,moderate,high,high
Health Education Specialists,moderate,high,1,high,moderate,moderate,moderate,moderate
Heavy and Tractor-Trailer Truck Drivers,low,moderate,1,moderate,moderate,moderate,low,moderate
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",low,moderate,1,low,moderate,low,low,low
Histotechnologists,low,moderate,1,moderate,low,moderate,low,moderate
Hoist and Winch Operators,low,moderate,1,moderate,moderate,moderate,low,moderate
Human Factors Engineers and Ergonomists,low,moderate,1,low,moderate,low,moderate,low
Hydrologists,moderate,high,1,moderate,high,moderate,high,moderate
Industrial Ecologists,low,moderate,1,low,low,moderate,low,moderate
Industrial Engineering Technologists and Technicians,low,moderate,1,low,moderate,low,low,low
Industrial Engineers,low,moderate,1,moderate,moderate,low,moderate,low
Industrial Production Managers,low,moderate,1,moderate,low,low,low,low
Industrial Truck and Tractor Operators,moderate,high,1,moderate,moderate,high,moderate,high
Information Security Engineers,low,moderate,1,moderate,low,low,moderate,low
Solar Photovoltaic Installers,low,moderate,1,low,moderate,moderate,moderate,moderate
"Judges, Magistrate Judges, and Magistrates",low,moderate,1,low,moderate,moderate,moderate,moderate
"Kindergarten Teachers, Except Special Education",moderate,high,1,high,high,moderate,high,moderate
Landscape Architects,low,moderate,1,low,moderate,low,moderate,low
Legal Secretaries and Administrative Assistants,moderate,high,1,high,moderate,moderate,moderate,moderate
Legislators,low,moderate,1,moderate,moderate,low,moderate,low
Librarians and Media Collections Specialists,moderate,high,1,high,moderate,high,high,high
Licensed Practical and Licensed Vocational Nurses,moderate,high,1,high,moderate,moderate,moderate,moderate
Loan Officers,moderate,high,1,high,moderate,high,high,high
Loss Prevention Managers,low,moderate,1,moderate,low,moderate,low,moderate
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",low,moderate,1,moderate,moderate,low,moderate,low
Magnetic Resonance Imaging Technologists,low,moderate,1,moderate,moderate,moderate,low,moderate
"Mail Clerks and Mail Machine Operators, Except Postal Service",moderate,high,1,high,moderate,moderate,moderate,moderate
Manicurists and Pedicurists,low,moderate,1,low,low,low,moderate,low
