title_current,config,pct,ska_gap,risk_score,risk_tier
Accountants and Auditors,all_ceiling,43.59,-0.37,3,moderate
Actors,all_ceiling,79.63,0.02,4,moderate
Actuaries,all_ceiling,49.65,-2.94,4,moderate
Acupuncturists,all_ceiling,24.63,0.54,3,moderate
Acute Care Nurses,all_ceiling,34.37,-1.62,1,low
Adapted Physical Education Specialists,all_ceiling,38.19,-0.37,1,low
Adhesive Bonding Machine Operators and Tenders,all_ceiling,40.13,-0.61,3,moderate
"Administrative Law Judges, Adjudicators, and Hearing Officers",all_ceiling,48.50,-2.33,3,moderate
Administrative Services Managers,all_ceiling,46.12,-0.11,5,high
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",all_ceiling,38.03,0.22,3,moderate
Advanced Practice Psychiatric Nurses,all_ceiling,51.38,-2.50,4,moderate
Advertising Sales Agents,all_ceiling,83.84,-0.26,5,high
Advertising and Promotions Managers,all_ceiling,68.99,-1.20,5,high
Aerospace Engineering and Operations Technologists and Technicians,all_ceiling,42.44,-0.37,3,moderate
Aerospace Engineers,all_ceiling,35.39,-3.06,1,low
"Agents and Business Managers of Artists, Performers, and Athletes",all_ceiling,63.29,-0.12,5,high
Agricultural Engineers,all_ceiling,42.13,-2.31,1,low
Agricultural Equipment Operators,all_ceiling,16.24,1.38,2,low
Agricultural Inspectors,all_ceiling,31.08,0.84,3,moderate
"Agricultural Sciences Teachers, Postsecondary",all_ceiling,80.47,-1.49,4,moderate
Agricultural Technicians,all_ceiling,29.16,1.42,2,low
Air Traffic Controllers,all_ceiling,48.88,-2.14,4,moderate
Aircraft Cargo Handling Supervisors,all_ceiling,30.24,0.13,2,low
Aircraft Mechanics and Service Technicians,all_ceiling,18.25,-2.06,2,low
Aircraft Service Attendants,all_ceiling,16.60,,2,low
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",all_ceiling,14.70,1.95,3,moderate
Airfield Operations Specialists,all_ceiling,42.91,0.30,4,moderate
"Airline Pilots, Copilots, and Flight Engineers",all_ceiling,33.76,-2.92,3,moderate
Allergists and Immunologists,all_ceiling,37.38,-1.64,4,moderate
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",all_ceiling,4.38,1.70,3,moderate
Amusement and Recreation Attendants,all_ceiling,57.33,3.27,6,high
Anesthesiologist Assistants,all_ceiling,21.01,0.21,2,low
Anesthesiologists,all_ceiling,10.19,-2.10,0,low
Animal Breeders,all_ceiling,53.29,2.23,3,moderate
Animal Caretakers,all_ceiling,50.19,3.55,5,high
Animal Control Workers,all_ceiling,53.28,1.70,4,moderate
Animal Scientists,all_ceiling,40.02,-1.69,3,moderate
Animal Trainers,all_ceiling,16.60,2.46,3,moderate
Anthropologists and Archeologists,all_ceiling,42.60,-1.86,3,moderate
"Anthropology and Archeology Teachers, Postsecondary",all_ceiling,77.58,-3.00,5,high
Appraisers and Assessors of Real Estate,all_ceiling,41.83,1.82,3,moderate
Appraisers of Personal and Business Property,all_ceiling,56.38,1.41,3,moderate
"Arbitrators, Mediators, and Conciliators",all_ceiling,44.24,-3.20,3,moderate
"Architects, Except Landscape and Naval",all_ceiling,71.71,-2.07,3,moderate
Architectural and Civil Drafters,all_ceiling,62.79,0.50,6,high
Architectural and Engineering Managers,all_ceiling,67.44,-2.10,3,moderate
"Architecture Teachers, Postsecondary",all_ceiling,84.28,-1.89,4,moderate
Archivists,all_ceiling,86.87,-0.17,5,high
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",all_ceiling,81.95,-0.43,4,moderate
Art Directors,all_ceiling,62.92,-1.06,4,moderate
Art Therapists,all_ceiling,56.74,-2.36,3,moderate
