title_current,employment,median_wage,major,job_zone,outlook,n_software,pct_tasks_affected,ska_gap,pct_delta,ska_delta,flag1_pct,flag2_ska,flag3_pct_trend,flag4_ska_trend,flag5_job_zone,flag6_outlook,flag7_n_software,risk_score,risk_tier
Tutors,174660.00,40090.00,Educational Instruction and Library Occupations,3.00,2.00,24,77.21,0.21,44.88,7.10,1,1,1,1,1,1,1,7,high
"Interviewers, Except Eligibility and Loan",157310.00,43830.00,Office and Administrative Support Occupations,3.00,2.00,24,76.14,0.85,39.80,6.94,1,1,1,1,1,1,1,7,high
"Title Examiners, Abstractors, and Searchers",48170.00,54980.00,Legal Occupations,2.00,3.00,27,73.31,2.47,45.29,7.12,1,1,1,1,1,1,1,7,high
Surveying and Mapping Technicians,56720.00,51940.00,Architecture and Engineering Occupations,3.00,2.00,105,46.50,1.99,16.77,6.88,1,1,1,1,1,1,1,7,high
First-Line Supervisors of Retail Sales Workers,1113160.00,47320.00,Sales and Related Occupations,2.00,3.00,110,81.60,1.55,58.60,7.16,1,1,1,1,1,1,1,7,high
"Bookkeeping, Accounting, and Auditing Clerks",1455770.00,49210.00,Office and Administrative Support Occupations,3.00,3.00,121,82.82,2.36,41.88,7.20,1,1,1,1,1,1,1,7,high
Freight Forwarders,67478.00,49900.00,Office and Administrative Support Occupations,2.00,2.00,25,68.18,0.96,39.56,6.63,1,1,1,1,1,1,1,7,high
Billing and Posting Clerks,417500.00,47170.00,Office and Administrative Support Occupations,3.00,3.00,59,66.60,2.50,29.83,7.23,1,1,1,1,1,1,1,7,high
Bill and Account Collectors,165020.00,46040.00,Office and Administrative Support Occupations,2.00,3.00,44,80.11,2.15,53.27,6.98,1,1,1,1,1,1,1,7,high
"Shipping, Receiving, and Inventory Clerks",857630.00,43190.00,Office and Administrative Support Occupations,2.00,2.00,52,51.03,4.22,25.22,6.75,1,1,1,1,1,1,1,7,high
Brokerage Clerks,40090.00,62940.00,Office and Administrative Support Occupations,3.00,3.00,31,83.73,2.08,37.18,7.11,1,1,1,1,1,1,1,7,high
Food Service Managers,244230.00,65310.00,Management Occupations,2.00,3.00,39,46.49,1.22,25.06,6.75,1,1,1,1,1,1,1,7,high
Medical Secretaries and Administrative Assistants,830760.00,44640.00,Office and Administrative Support Occupations,2.00,3.00,52,73.25,2.36,41.88,7.11,1,1,1,1,1,1,1,7,high
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1737820.00,46290.00,Office and Administrative Support Occupations,2.00,3.00,132,90.87,0.24,46.30,7.04,1,1,1,1,1,1,1,7,high
Medical Assistants,793460.00,44200.00,Healthcare Support Occupations,3.00,2.00,34,58.99,0.46,41.11,6.82,1,1,1,1,1,1,1,7,high
Procurement Clerks,59900.00,48510.00,Office and Administrative Support Occupations,2.00,3.00,23,77.32,1.53,35.30,7.03,1,1,1,1,1,1,1,7,high
"Production, Planning, and Expediting Clerks",385000.00,57770.00,Office and Administrative Support Occupations,2.00,3.00,94,65.36,0.77,30.57,6.88,1,1,1,1,1,1,1,7,high
Executive Secretaries and Executive Administrative Assistants,472770.00,74260.00,Office and Administrative Support Occupations,3.00,3.00,96,87.55,0.49,46.69,6.87,1,1,1,1,1,1,1,7,high
Order Clerks,83420.00,44660.00,Office and Administrative Support Occupations,2.00,2.00,23,75.59,1.14,38.24,6.77,1,1,1,1,1,1,1,7,high
Photographers,51230.00,42520.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,35,69.88,0.90,28.02,6.64,1,1,1,1,1,1,1,7,high
"Office Clerks, General",2510550.00,43630.00,Office and Administrative Support Occupations,2.00,3.00,61,82.44,2.66,42.05,7.05,1,1,1,1,1,1,1,7,high
"Dispatchers, Except Police, Fire, and Ambulance",211000.00,48880.00,Office and Administrative Support Occupations,2.00,3.00,35,81.27,0.65,52.64,6.82,1,1,1,1,1,1,1,7,high
Travel Agents,59150.00,48450.00,Sales and Related Occupations,3.00,2.00,30,85.62,1.74,53.83,7.05,1,1,1,1,1,1,1,7,high
"Human Resources Assistants, Except Payroll and Timekeeping",92580.00,49440.00,Office and Administrative Support Occupations,3.00,2.00,41,89.79,0.43,67.82,7.14,1,1,1,1,1,1,1,7,high
Insurance Claims and Policy Processing Clerks,229070.00,48450.00,Office and Administrative Support Occupations,2.00,3.00,29,69.60,2.21,33.33,7.17,1,1,1,1,1,1,1,7,high
Court Reporters and Simultaneous Captioners,12630.00,67310.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,27,57.07,0.50,37.66,7.06,1,1,1,1,1,1,1,7,high
Receptionists and Information Clerks,964530.00,37230.00,Office and Administrative Support Occupations,2.00,2.00,41,84.57,2.55,51.84,7.33,1,1,1,1,1,1,1,7,high
Payroll and Timekeeping Clerks,156950.00,55290.00,Office and Administrative Support Occupations,3.00,3.00,67,73.89,0.79,38.23,7.16,1,1,1,1,1,1,1,7,high
Customer Service Representatives,2725930.00,42830.00,Office and Administrative Support Occupations,2.00,2.00,113,85.86,2.00,40.79,7.24,1,1,1,1,1,1,1,7,high
Desktop Publishers,4000.00,53620.00,Office and Administrative Support Occupations,3.00,2.00,95,80.07,0.66,36.83,6.88,1,1,1,1,1,1,1,7,high
Data Entry Keyers,135280.00,39850.00,Office and Administrative Support Occupations,2.00,3.00,26,79.58,0.93,41.40,6.95,1,1,1,1,1,1,1,7,high
First-Line Supervisors of Food Preparation and Serving Workers,1187460.00,42010.00,Food Preparation and Serving Related Occupations,2.00,2.00,35,53.71,2.01,27.52,6.56,1,1,1,1,1,1,1,7,high
Retail Salespersons,3800250.00,34580.00,Sales and Related Occupations,2.00,2.00,79,69.00,2.67,29.01,7.29,1,1,1,1,1,1,1,7,high
"Fine Artists, Including Painters, Sculptors, and Illustrators",10000.00,60560.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,53,70.70,1.67,32.39,6.73,1,1,1,1,1,1,1,7,high
Fashion Designers,20910.00,80690.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,3.00,29,60.91,0.96,19.96,6.71,1,1,1,1,1,1,1,7,high
Interpreters and Translators,53360.00,59440.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,28,87.70,0.64,36.71,6.95,1,1,1,1,0,1,1,6,high
Security Guards,1241770.00,38370.00,Protective Service Occupations,2.00,2.00,11,60.43,0.96,33.68,6.74,1,1,1,1,1,1,0,6,high
Tax Preparers,73570.00,50560.00,Business and Financial Operations Occupations,3.00,4.00,42,73.45,1.38,27.34,6.87,1,1,1,1,1,0,1,6,high
"Switchboard Operators, Including Answering Service",35730.00,38370.00,Office and Administrative Support Occupations,2.00,2.00,11,81.88,2.53,41.39,7.08,1,1,1,1,1,1,0,6,high
Tellers,339340.00,39340.00,Office and Administrative Support Occupations,2.00,2.00,19,71.25,3.04,30.38,6.69,1,1,1,1,1,1,0,6,high
"Hairdressers, Hairstylists, and Cosmetologists",295460.00,35250.00,Personal Care and Service Occupations,3.00,2.00,10,48.77,1.54,34.17,6.73,1,1,1,1,1,1,0,6,high
Geographic Information Systems Technologists and Technicians,86239.00,108970.00,Computer and Mathematical Occupations,3.00,5.00,128,71.61,0.78,24.40,6.95,1,1,1,1,1,0,1,6,high
Gambling Surveillance Officers and Gambling Investigators,10000.00,43900.00,Protective Service Occupations,2.00,2.00,8,61.84,1.24,24.69,6.83,1,1,1,1,1,1,0,6,high
Sound Engineering Technicians,13050.00,66430.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,33,70.50,0.42,60.73,6.13,1,1,1,0,1,1,1,6,high
Medical Transcriptionists,43070.00,37550.00,Healthcare Support Occupations,3.00,1.00,46,82.69,0.78,66.30,7.09,1,1,1,1,1,0,1,6,high
Nannies,166129.00,32050.00,Personal Care and Service Occupations,2.00,2.00,5,47.53,2.53,21.39,6.82,1,1,1,1,1,1,0,6,high
Merchandise Displayers and Window Trimmers,192480.00,37350.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,28,49.75,2.18,12.41,6.53,1,1,0,1,1,1,1,6,high
New Accounts Clerks,38030.00,46610.00,Office and Administrative Support Occupations,3.00,2.00,19,75.46,1.92,33.35,7.23,1,1,1,1,1,1,0,6,high
Film and Video Editors,28860.00,70980.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,37,79.84,0.82,57.10,6.82,1,1,1,1,0,1,1,6,high
"Computer, Automated Teller, and Office Machine Repairers",73010.00,46860.00,"Installation, Maintenance, and Repair Occupations",3.00,2.00,44,59.39,1.15,26.26,5.80,1,1,1,0,1,1,1,6,high
Paralegals and Legal Assistants,367220.00,61010.00,Legal Occupations,3.00,3.00,99,55.24,-0.14,33.23,7.04,1,0,1,1,1,1,1,6,high
Counter and Rental Clerks,398620.00,38540.00,Sales and Related Occupations,2.00,2.00,10,83.28,3.25,32.08,7.20,1,1,1,1,1,1,0,6,high
"Credit Authorizers, Checkers, and Clerks",11960.00,49130.00,Office and Administrative Support Occupations,2.00,2.00,18,53.51,2.57,18.41,7.06,1,1,1,1,1,1,0,6,high
Patient Representatives,117145.00,48790.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,40,80.85,0.95,39.33,6.98,1,1,1,1,1,0,1,6,high
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",61568.00,61900.00,Transportation and Material Moving Occupations,2.00,2.00,17,43.41,1.93,17.56,6.58,1,1,1,1,1,1,0,6,high
"Compensation, Benefits, and Job Analysis Specialists",102370.00,77020.00,Business and Financial Operations Occupations,4.00,3.00,96,53.21,0.56,37.58,6.77,1,1,1,1,0,1,1,6,high
Reservation and Transportation Ticket Agents and Travel Clerks,127440.00,41460.00,Office and Administrative Support Occupations,2.00,2.00,20,68.47,1.21,25.96,6.79,1,1,1,1,1,1,0,6,high
Precision Agriculture Technicians,7170.00,46790.00,"Life, Physical, and Social Science Occupations",3.00,2.00,23,64.15,0.85,44.94,6.37,1,1,1,0,1,1,1,6,high
"Wholesale and Retail Buyers, Except Farm Products",162300.00,75650.00,Business and Financial Operations Occupations,3.00,4.00,56,72.85,1.35,28.35,7.05,1,1,1,1,1,0,1,6,high
Postal Service Clerks,78060.00,61630.00,Office and Administrative Support Occupations,2.00,3.00,8,51.31,3.55,22.66,6.69,1,1,1,1,1,1,0,6,high
Postmasters and Mail Superintendents,13810.00,92730.00,Management Occupations,2.00,3.00,20,62.17,0.33,49.57,6.75,1,1,1,1,1,1,0,6,high
