title_current,group,major,emp_nat,wage_nat,job_zone,outlook,pct_all_ceiling,pct_human_conversation,pct_agentic_confirmed,pct_all_confirmed,pct_agentic_ceiling,workers_all_ceiling,workers_human_conversation,workers_agentic_confirmed,workers_all_confirmed,workers_agentic_ceiling,ceiling_delta_pct,risk_score,risk_tier,flag1_pct,flag2_ska,flag3_pct_trend,flag4_ska_trend,flag5_job_zone,flag6_outlook,flag7_n_software,skills_gap,abilities_gap,knowledge_gap,overall_gap,hidden_at_risk
Market Research Analysts and Marketing Specialists,ai_interesting,Business and Financial Operations Occupations,430570.00,76950.00,4.00,4.00,92.71,80.41,77.33,89.50,91.01,399192.59,346241.35,332939.66,385373.12,391882.78,3.21,7,moderate,1,0,1,1,0,0,1,-1.50,-2.98,-1.72,-2.07,False
Interpreters and Translators,ai_interesting,"Arts, Design, Entertainment, Sports, and Media Occupations",53360.00,59440.00,4.00,3.00,87.70,84.04,41.43,87.05,78.58,46794.32,44845.28,22106.65,46448.45,41929.97,0.65,10,high,1,1,1,1,0,1,1,-0.07,-2.18,0.26,-0.66,False
Technical Writers,ai_interesting,"Arts, Design, Entertainment, Sports, and Media Occupations",55530.00,91670.00,4.00,4.00,85.88,70.70,63.84,85.76,75.83,47690.01,39258.48,35450.36,47620.88,42107.70,0.12,7,moderate,1,0,1,1,0,0,1,-1.69,-1.45,-1.73,-1.62,False
Web Developers,ai_interesting,Computer and Mathematical Occupations,67083.73,94570.68,3.00,5.00,90.77,70.51,34.07,84.52,89.73,60893.86,47298.07,22856.07,56700.48,60194.22,6.25,10,high,1,1,1,1,1,0,1,-0.44,-0.94,0.21,-0.39,False
Customer Service Representatives,high_profile,Office and Administrative Support Occupations,2725930.00,42830.00,2.00,2.00,85.86,71.00,54.54,84.08,82.09,2340529.84,1935395.84,1486793.37,2292070.98,2237727.34,1.78,11,high,1,1,1,1,1,1,1,0.44,0.53,1.21,0.72,False
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",utah_relevant,Sales and Related Occupations,1266860.00,66780.00,4.00,4.00,85.70,66.18,59.56,81.81,84.02,1085749.19,838430.49,754545.81,1036422.58,1064447.28,3.89,7,moderate,1,0,1,1,0,0,1,-0.71,0.11,-3.61,-1.41,False
Graphic Designers,ai_interesting,"Arts, Design, Entertainment, Sports, and Media Occupations",214260.00,61300.00,4.00,4.00,87.30,74.28,45.84,81.02,81.00,187045.67,159159.59,98213.74,173598.54,173541.42,6.28,9,high,1,1,1,1,0,0,1,0.91,-0.78,-2.07,-0.65,False
Human Resources Specialists,ai_interesting,Business and Financial Operations Occupations,917460.00,72910.00,4.00,5.00,86.37,60.20,63.88,75.84,80.29,792364.65,552275.36,586058.07,695759.72,736662.33,10.53,7,moderate,1,0,1,1,0,0,1,-0.63,-1.79,-1.27,-1.23,False
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",high_profile,Office and Administrative Support Occupations,1737820.00,46290.00,2.00,3.00,90.87,67.23,49.12,75.10,89.35,1579176.43,1168389.70,853593.13,1305154.98,1552765.68,15.77,11,high,1,1,1,1,1,1,1,-0.06,-0.36,-2.91,-1.11,False
Network and Computer Systems Administrators,utah_relevant,Computer and Mathematical Occupations,318570.00,96800.00,4.00,5.00,85.55,56.11,53.76,73.68,84.26,272541.99,178746.40,171279.08,234714.64,268411.83,11.87,5,moderate,1,0,1,0,0,0,1,-2.44,-1.23,-1.58,-1.75,False
Computer Systems Analysts,utah_relevant,Computer and Mathematical Occupations,403416.00,103790.00,3.00,5.00,80.71,57.53,60.67,70.69,79.94,325592.31,232069.60,244737.68,285190.50,322484.92,10.01,6,moderate,1,0,1,0,1,0,1,-1.94,-2.22,-1.17,-1.78,False
Editors,ai_interesting,"Arts, Design, Entertainment, Sports, and Media Occupations",95480.00,75260.00,4.00,3.00,69.05,53.93,36.77,63.22,56.92,65932.40,51493.82,35112.50,60362.64,54343.23,5.83,8,high,1,0,1,1,0,1,1,-1.74,-3.44,-0.47,-1.88,False
"Elementary School Teachers, Except Special Education",high_profile,Educational Instruction and Library Occupations,1393310.00,62340.00,4.00,5.00,67.10,56.49,38.60,63.21,44.52,934965.29,787015.35,537798.77,880769.62,620291.57,3.89,7,moderate,1,0,1,1,0,0,1,-2.41,-2.46,0.43,-1.48,False
Retail Salespersons,high_profile,Sales and Related Occupations,3800250.00,34580.00,2.00,2.00,69.00,49.23,37.64,57.36,66.28,2622196.64,1870721.84,1430228.67,2179886.98,2518840.93,11.64,11,high,1,1,1,1,1,1,1,0.18,1.62,2.40,1.40,False
Medical and Health Services Managers,utah_relevant,Management Occupations,565840.00,117960.00,4.00,5.00,65.06,44.33,25.69,47.27,51.43,368154.77,250836.93,145342.87,267480.24,291016.78,17.79,7,moderate,1,0,1,1,0,0,1,-3.97,-3.18,-2.89,-3.35,False
Cashiers,high_profile,Sales and Related Occupations,3148030.00,31190.00,2.00,2.00,68.24,42.33,18.39,46.94,65.88,2148107.83,1332540.83,579023.55,1477540.91,2073992.67,21.30,10,high,1,1,1,1,1,1,0,2.98,2.85,4.85,3.56,False
Data Scientists,ai_interesting,Computer and Mathematical Occupations,6898.00,112590.00,4.00,5.00,76.82,46.04,0.00,46.04,72.55,5298.73,3175.71,0.00,3175.71,5004.16,30.78,3,low,1,0,0,0,0,0,1,,,,,False
Software Developers,high_profile,Computer and Mathematical Occupations,725946.38,113631.06,4.00,5.00,64.68,45.16,19.58,45.16,60.87,469541.70,327857.15,142120.60,327857.15,441878.34,19.52,5,moderate,1,0,0,1,0,0,1,-1.24,-1.43,-2.29,-1.65,False
Lawyers,ai_interesting,Legal Occupations,747750.00,151160.00,5.00,5.00,47.39,38.63,28.18,41.80,35.17,354359.80,288857.40,210684.58,312592.71,262981.52,5.59,7,moderate,1,0,1,1,0,0,1,-4.72,-5.84,-3.13,-4.56,False
Paralegals and Legal Assistants,ai_interesting,Legal Occupations,367220.00,61010.00,3.00,3.00,55.24,41.59,29.29,41.59,47.45,202847.37,152714.69,107570.50,152714.69,174236.25,13.65,9,high,1,0,1,1,1,1,1,0.35,-0.52,-4.19,-1.45,False
Waiters and Waitresses,high_profile,Food Preparation and Serving Related Occupations,2302690.00,33760.00,2.00,2.00,45.07,39.41,4.02,39.41,27.89,1037900.67,907500.77,92617.30,907500.77,642157.76,5.66,8,high,1,1,0,1,1,1,0,1.81,-0.21,4.95,2.18,False
Registered Nurses,high_profile,Healthcare Practitioners and Technical Occupations,304558.00,93600.00,4.00,5.00,40.16,18.49,19.43,33.36,29.72,122300.04,56320.92,59185.50,101596.50,90500.69,6.80,5,moderate,1,0,1,0,0,0,1,-2.55,-3.36,-0.05,-1.98,False
Accountants and Auditors,high_profile,Business and Financial Operations Occupations,1448290.00,81680.00,4.00,5.00,43.59,28.09,46.01,28.09,35.32,631369.97,406788.64,666306.56,406788.64,511491.99,15.51,3,low,0,0,0,1,0,0,1,-1.01,-2.12,-1.88,-1.67,True
General and Operations Managers,high_profile,Management Occupations,3584420.00,102950.00,4.00,5.00,52.31,25.56,8.65,27.87,42.78,1875106.72,916037.37,309916.44,999093.32,1533487.02,24.44,5,moderate,0,0,1,1,0,0,1,-2.19,-1.71,-1.16,-1.69,True
Heavy and Tractor-Trailer Truck Drivers,high_profile,Transportation and Material Moving Occupations,2070480.00,57440.00,2.00,3.00,29.40,19.54,10.98,21.53,23.08,608734.10,404594.60,227292.29,445791.35,477920.14,7.87,2,low,0,0,0,0,1,1,0,-0.26,-3.68,0.31,-1.21,False
Construction Laborers,utah_relevant,Construction and Extraction Occupations,1057660.00,46730.00,2.00,3.00,12.60,11.24,3.60,11.96,5.04,133293.78,118857.40,38083.34,126495.77,53344.31,0.64,4,moderate,0,0,1,0,1,1,0,-0.26,-2.76,-3.82,-2.28,False
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",high_profile,Building and Grounds Cleaning and Maintenance Occupations,2199900.00,35930.00,3.00,2.00,16.79,11.34,0.00,11.34,5.45,369458.76,249546.90,0.00,249546.90,119911.86,5.45,4,moderate,0,1,0,0,1,1,0,6.84,-0.68,1.91,2.69,False
