element_name,type,high_risk_avg_score,low_risk_avg_score,ai_score,pivot_cost,ai_can_help,job_zone
Repairing,skills,0.00,10.20,5.85,10.20,True,1
Management of Personnel Resources,skills,0.00,10.14,9.14,10.14,True,1
Troubleshooting,skills,0.00,9.48,6.50,9.48,True,1
Equipment Maintenance,skills,0.00,9.39,5.96,9.39,True,1
Building and Construction,knowledge,12.39,17.61,9.94,5.21,False,1
Mechanical,knowledge,11.38,15.88,9.76,4.50,False,1
Transportation,knowledge,11.59,13.23,10.75,1.65,False,1
Complex Problem Solving,skills,8.05,9.36,11.05,1.30,True,1
Critical Thinking,skills,8.14,9.14,12.37,1.00,True,1
Education and Training,knowledge,8.98,9.54,18.79,0.56,True,1
Monitoring,skills,8.82,9.32,10.53,0.50,True,1
Quality Control Analysis,skills,8.58,9.02,6.61,0.44,False,1
Judgment and Decision Making,skills,7.12,7.46,10.85,0.34,True,1
English Language,knowledge,10.18,10.47,16.99,0.28,True,1
Active Listening,skills,8.17,8.41,13.05,0.24,True,1
Public Safety and Security,knowledge,9.68,9.83,9.10,0.15,False,1
Speaking,skills,9.01,9.14,13.74,0.13,True,1
Coordination,skills,9.29,9.38,8.69,0.09,False,1
Time Management,skills,8.58,8.64,8.62,0.06,True,1
Administrative,unknown,11.28,0.00,0.00,0.00,False,1
Administration and Management,knowledge,11.27,8.56,12.47,0.00,False,1
Negotiation,unknown,10.98,0.00,0.00,0.00,False,1
Customer and Personal Service,knowledge,15.51,14.59,14.88,0.00,False,1
Communications and Media,unknown,12.83,0.00,0.00,0.00,False,1
Mathematics,knowledge,11.91,10.02,14.52,0.00,False,1
Food Production,unknown,15.18,0.00,0.00,0.00,False,1
Operation and Control,skills,15.52,11.32,4.50,0.00,False,1
Reading Comprehension,unknown,8.25,0.00,0.00,0.00,False,1
Production and Processing,knowledge,12.03,11.56,9.51,0.00,False,1
Personnel and Human Resources,unknown,11.31,0.00,0.00,0.00,False,1
Persuasion,unknown,16.00,0.00,0.00,0.00,False,1
Operations Monitoring,skills,16.00,10.79,5.57,0.00,False,1
Social Perceptiveness,unknown,8.91,0.00,0.00,0.00,False,1
Sales and Marketing,unknown,11.58,0.00,0.00,0.00,False,1
Service Orientation,unknown,8.62,0.00,0.00,0.00,False,1
Building and Construction,knowledge,0.00,20.53,9.94,20.53,True,2
Mechanical,knowledge,0.00,16.86,9.76,16.86,True,2
Operations Monitoring,skills,0.00,13.32,5.57,13.32,True,2
Operation and Control,skills,0.00,13.03,4.50,13.03,True,2
Physics,knowledge,0.00,12.88,13.58,12.88,True,2
Design,knowledge,0.00,12.82,15.00,12.82,True,2
Quality Control Analysis,skills,0.00,10.77,6.61,10.77,True,2
Troubleshooting,skills,0.00,10.35,6.50,10.35,True,2
Equipment Maintenance,skills,0.00,10.22,5.96,10.22,True,2
Repairing,skills,0.00,10.06,5.85,10.06,True,2
Installation,skills,0.00,9.91,4.77,9.91,True,2
Mathematics,knowledge,8.13,14.54,14.52,6.41,True,2
Engineering and Technology,knowledge,11.38,15.41,14.86,4.03,True,2
Transportation,knowledge,11.54,12.24,10.75,0.69,False,2
Systems Analysis,skills,8.88,9.36,9.98,0.48,True,2
Law and Government,knowledge,11.01,11.46,12.41,0.45,True,2
Production and Processing,knowledge,13.82,13.92,9.51,0.09,False,2
Food Production,unknown,14.23,0.00,0.00,0.00,False,2
English Language,knowledge,14.96,11.64,16.99,0.00,False,2
Economics and Accounting,unknown,10.53,0.00,0.00,0.00,False,2
Education and Training,knowledge,14.58,12.73,18.79,0.00,False,2
Customer and Personal Service,knowledge,20.31,11.33,14.88,0.00,False,2
Computers and Electronics,unknown,13.35,0.00,0.00,0.00,False,2
Coordination,skills,12.04,9.75,8.69,0.00,False,2
Critical Thinking,skills,11.87,9.62,12.37,0.00,False,2
Administrative,unknown,16.48,0.00,0.00,0.00,False,2
Administration and Management,knowledge,13.36,12.15,12.47,0.00,False,2
Active Listening,skills,13.77,9.05,13.05,0.00,False,2
Complex Problem Solving,skills,9.69,8.92,11.05,0.00,False,2
Active Learning,skills,10.10,9.00,12.36,0.00,False,2
Management of Personnel Resources,unknown,14.11,0.00,0.00,0.00,False,2
Instructing,unknown,10.94,0.00,0.00,0.00,False,2
Judgment and Decision Making,skills,9.37,8.92,10.85,0.00,False,2
Persuasion,unknown,10.12,0.00,0.00,0.00,False,2
Personnel and Human Resources,unknown,10.85,0.00,0.00,0.00,False,2
Monitoring,skills,11.33,9.90,10.53,0.00,False,2
Negotiation,unknown,10.16,0.00,0.00,0.00,False,2
Learning Strategies,unknown,9.99,0.00,0.00,0.00,False,2
Management of Financial Resources,unknown,9.00,0.00,0.00,0.00,False,2
Management of Material Resources,unknown,9.00,0.00,0.00,0.00,False,2
Public Safety and Security,knowledge,14.40,10.81,9.10,0.00,False,2
Service Orientation,skills,11.37,7.86,8.71,0.00,False,2
Sales and Marketing,unknown,12.60,0.00,0.00,0.00,False,2
Reading Comprehension,skills,12.56,8.82,14.64,0.00,False,2
Social Perceptiveness,skills,10.65,8.25,10.16,0.00,False,2
Systems Evaluation,unknown,9.24,0.00,0.00,0.00,False,2
Speaking,skills,14.41,8.30,13.74,0.00,False,2
Time Management,skills,10.20,8.93,8.62,0.00,False,2
