element_name,avg_score,ai_score,type,job_zone,group
Active Listening,8.17,13.05,skills,1,high_risk
Complex Problem Solving,8.05,11.05,skills,1,high_risk
Coordination,9.29,8.69,skills,1,high_risk
Critical Thinking,8.14,12.37,skills,1,high_risk
Judgment and Decision Making,7.12,10.85,skills,1,high_risk
Monitoring,8.82,10.53,skills,1,high_risk
Negotiation,10.98,9.25,skills,1,high_risk
Operation and Control,15.52,4.50,skills,1,high_risk
Operations Monitoring,16.00,5.57,skills,1,high_risk
Persuasion,16.00,9.91,skills,1,high_risk
Quality Control Analysis,8.58,6.61,skills,1,high_risk
Reading Comprehension,8.25,14.64,skills,1,high_risk
Service Orientation,8.61,8.71,skills,1,high_risk
Social Perceptiveness,8.91,10.16,skills,1,high_risk
Speaking,9.01,13.74,skills,1,high_risk
Time Management,8.58,8.62,skills,1,high_risk
Administration and Management,11.27,12.47,knowledge,1,high_risk
Administrative,11.28,13.46,knowledge,1,high_risk
Building and Construction,12.39,9.94,knowledge,1,high_risk
Communications and Media,12.83,14.98,knowledge,1,high_risk
Customer and Personal Service,15.51,14.88,knowledge,1,high_risk
Education and Training,8.98,18.79,knowledge,1,high_risk
English Language,10.18,16.99,knowledge,1,high_risk
Food Production,15.18,8.94,knowledge,1,high_risk
Mathematics,11.91,14.52,knowledge,1,high_risk
Mechanical,11.38,9.76,knowledge,1,high_risk
Personnel and Human Resources,11.31,12.95,knowledge,1,high_risk
Production and Processing,12.03,9.51,knowledge,1,high_risk
Public Safety and Security,9.68,9.10,knowledge,1,high_risk
Sales and Marketing,11.58,19.48,knowledge,1,high_risk
Transportation,11.59,10.75,knowledge,1,high_risk
Active Learning,10.10,12.35,skills,2,high_risk
Active Listening,13.77,13.05,skills,2,high_risk
Complex Problem Solving,9.69,11.05,skills,2,high_risk
Coordination,12.04,8.69,skills,2,high_risk
Critical Thinking,11.87,12.37,skills,2,high_risk
Instructing,10.94,13.59,skills,2,high_risk
Judgment and Decision Making,9.37,10.85,skills,2,high_risk
Learning Strategies,9.99,13.46,skills,2,high_risk
Management of Financial Resources,9.00,9.72,skills,2,high_risk
Management of Material Resources,9.00,8.94,skills,2,high_risk
Management of Personnel Resources,14.11,9.14,skills,2,high_risk
Mathematics,8.13,11.83,skills,2,high_risk
Monitoring,11.33,10.53,skills,2,high_risk
Negotiation,10.16,9.25,skills,2,high_risk
Persuasion,10.12,9.91,skills,2,high_risk
Reading Comprehension,12.56,14.64,skills,2,high_risk
Service Orientation,11.37,8.71,skills,2,high_risk
Social Perceptiveness,10.65,10.16,skills,2,high_risk
Speaking,14.41,13.74,skills,2,high_risk
Systems Analysis,8.88,9.98,skills,2,high_risk
Systems Evaluation,9.24,10.22,skills,2,high_risk
Time Management,10.20,8.62,skills,2,high_risk
Writing,9.76,13.86,skills,2,high_risk
Administration and Management,13.36,12.47,knowledge,2,high_risk
Administrative,16.48,13.46,knowledge,2,high_risk
Computers and Electronics,13.35,16.82,knowledge,2,high_risk
Customer and Personal Service,20.31,14.88,knowledge,2,high_risk
Economics and Accounting,10.53,14.47,knowledge,2,high_risk
Education and Training,14.58,18.79,knowledge,2,high_risk
Engineering and Technology,11.38,14.86,knowledge,2,high_risk
English Language,14.95,16.99,knowledge,2,high_risk
Food Production,14.23,8.94,knowledge,2,high_risk
Law and Government,11.01,12.41,knowledge,2,high_risk
Mathematics,12.51,14.52,knowledge,2,high_risk
Personnel and Human Resources,10.85,12.95,knowledge,2,high_risk
Production and Processing,13.82,9.51,knowledge,2,high_risk
Public Safety and Security,14.40,9.10,knowledge,2,high_risk
Sales and Marketing,12.60,19.48,knowledge,2,high_risk
Transportation,11.54,10.75,knowledge,2,high_risk
Active Learning,10.18,12.35,skills,3,high_risk
Active Listening,14.13,13.05,skills,3,high_risk
Complex Problem Solving,9.78,11.05,skills,3,high_risk
Coordination,10.62,8.69,skills,3,high_risk
Critical Thinking,12.13,12.37,skills,3,high_risk
Instructing,9.93,13.59,skills,3,high_risk
Judgment and Decision Making,9.87,10.85,skills,3,high_risk
Learning Strategies,9.73,13.46,skills,3,high_risk
Management of Personnel Resources,11.38,9.14,skills,3,high_risk
Mathematics,10.69,11.83,skills,3,high_risk
