element_name,avg_score,ai_score,type,job_zone,group
Active Listening,8.41,13.05,skills,1,low_risk
Complex Problem Solving,9.36,11.05,skills,1,low_risk
Coordination,9.38,8.69,skills,1,low_risk
Critical Thinking,9.14,12.37,skills,1,low_risk
Equipment Maintenance,9.39,5.97,skills,1,low_risk
Judgment and Decision Making,7.46,10.85,skills,1,low_risk
Management of Personnel Resources,10.14,9.14,skills,1,low_risk
Monitoring,9.32,10.53,skills,1,low_risk
Operation and Control,11.32,4.50,skills,1,low_risk
Operations Monitoring,10.79,5.57,skills,1,low_risk
Quality Control Analysis,9.02,6.61,skills,1,low_risk
Repairing,10.20,5.85,skills,1,low_risk
Speaking,9.14,13.74,skills,1,low_risk
Time Management,8.64,8.62,skills,1,low_risk
Troubleshooting,9.48,6.50,skills,1,low_risk
Administration and Management,8.56,12.47,knowledge,1,low_risk
Building and Construction,17.61,9.94,knowledge,1,low_risk
Customer and Personal Service,14.59,14.88,knowledge,1,low_risk
Education and Training,9.54,18.79,knowledge,1,low_risk
English Language,10.47,16.99,knowledge,1,low_risk
Mathematics,10.02,14.52,knowledge,1,low_risk
Mechanical,15.88,9.76,knowledge,1,low_risk
Production and Processing,11.57,9.51,knowledge,1,low_risk
Public Safety and Security,9.83,9.10,knowledge,1,low_risk
Transportation,13.24,10.75,knowledge,1,low_risk
Active Learning,9.00,12.35,skills,2,low_risk
Active Listening,9.05,13.05,skills,2,low_risk
Complex Problem Solving,8.92,11.05,skills,2,low_risk
Coordination,9.75,8.69,skills,2,low_risk
Critical Thinking,9.62,12.37,skills,2,low_risk
Equipment Maintenance,10.22,5.97,skills,2,low_risk
Installation,9.91,4.77,skills,2,low_risk
Judgment and Decision Making,8.92,10.85,skills,2,low_risk
Monitoring,9.90,10.53,skills,2,low_risk
Operation and Control,13.03,4.50,skills,2,low_risk
Operations Monitoring,13.32,5.57,skills,2,low_risk
Quality Control Analysis,10.77,6.61,skills,2,low_risk
Reading Comprehension,8.82,14.64,skills,2,low_risk
Repairing,10.06,5.85,skills,2,low_risk
Service Orientation,7.86,8.71,skills,2,low_risk
Social Perceptiveness,8.25,10.16,skills,2,low_risk
Speaking,8.30,13.74,skills,2,low_risk
Systems Analysis,9.36,9.98,skills,2,low_risk
Time Management,8.93,8.62,skills,2,low_risk
Troubleshooting,10.35,6.50,skills,2,low_risk
Administration and Management,12.15,12.47,knowledge,2,low_risk
Building and Construction,20.53,9.94,knowledge,2,low_risk
Customer and Personal Service,11.33,14.88,knowledge,2,low_risk
Design,12.82,15.00,knowledge,2,low_risk
Education and Training,12.73,18.79,knowledge,2,low_risk
Engineering and Technology,15.41,14.86,knowledge,2,low_risk
English Language,11.64,16.99,knowledge,2,low_risk
Law and Government,11.46,12.41,knowledge,2,low_risk
Mathematics,14.53,14.52,knowledge,2,low_risk
Mechanical,16.86,9.76,knowledge,2,low_risk
Physics,12.88,13.58,knowledge,2,low_risk
