element_name,mean_gap,median_gap,std_gap,n_occs,type,ceiling_mean_gap,gap_delta_ceiling
Sales and Marketing,4.64,5.73,5.05,117,knowledge,5.38,0.74
History and Archeology,4.44,6.65,5.71,24,knowledge,4.58,0.14
Philosophy and Theology,3.28,5.13,5.37,28,knowledge,4.23,0.95
Foreign Language,3.28,5.33,7.58,7,knowledge,6.05,2.76
Education and Training,2.47,3.48,5.11,433,knowledge,4.01,1.54
Fine Arts,2.21,5.61,7.05,33,knowledge,3.18,0.96
Telecommunications,1.77,2.77,4.38,62,knowledge,2.78,1.02
Instructing,1.76,2.73,3.09,397,skills,2.87,1.11
Communications and Media,1.60,2.97,4.70,131,knowledge,2.69,1.09
English Language,1.43,1.85,4.80,774,knowledge,2.73,1.30
Learning Strategies,1.39,2.48,3.08,356,skills,2.03,0.64
Economics and Accounting,1.14,2.78,4.58,107,knowledge,3.69,2.54
Computers and Electronics,1.09,2.35,4.61,487,knowledge,3.04,1.94
Programming,1.00,0.90,3.10,26,skills,1.95,0.95
Speech Clarity,0.54,1.05,3.28,786,abilities,1.55,1.01
