title_current,config,overall_gap,skills_gap,abilities_gap,knowledge_gap
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",all_ceiling,5.74,4.76,1.15,11.30
Food Preparation Workers,all_ceiling,4.91,4.57,1.66,8.49
Cashiers,all_ceiling,4.65,3.83,3.94,6.18
Laundry and Dry-Cleaning Workers,all_ceiling,4.53,5.98,1.68,5.92
Fast Food and Counter Workers,all_ceiling,4.51,3.83,4.81,4.88
Stockers and Order Fillers,all_ceiling,4.42,5.38,0.37,7.52
Parking Attendants,all_ceiling,4.32,4.05,1.30,7.63
"Locker Room, Coatroom, and Dressing Room Attendants",all_ceiling,4.30,2.92,4.03,5.96
"Food Servers, Nonrestaurant",all_ceiling,4.29,5.67,3.75,3.46
"Shipping, Receiving, and Inventory Clerks",all_ceiling,4.22,4.09,2.69,5.88
Crossing Guards and Flaggers,all_ceiling,4.20,5.05,2.21,5.35
Pharmacy Aides,all_ceiling,4.19,3.19,2.47,6.91
Baristas,all_ceiling,4.15,3.76,0.51,8.17
"Library Assistants, Clerical",all_ceiling,4.12,3.77,2.43,6.17
Childcare Workers,all_ceiling,4.03,3.45,2.18,6.46
"Cooks, Fast Food",all_ceiling,4.01,5.08,3.24,3.71
Postal Service Mail Carriers,all_ceiling,3.95,4.72,2.73,4.40
"Pourers and Casters, Metal",all_ceiling,3.92,1.45,-1.85,12.16
"Mail Clerks and Mail Machine Operators, Except Postal Service",all_ceiling,3.84,4.69,2.20,4.63
"Ushers, Lobby Attendants, and Ticket Takers",all_ceiling,3.76,3.04,4.12,4.11
Shampooers,all_ceiling,3.71,4.49,2.47,4.16
Dishwashers,all_ceiling,3.67,,-2.77,10.10
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",all_ceiling,3.66,7.53,0.19,3.25
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",all_ceiling,3.56,3.00,4.07,3.63
Animal Caretakers,all_ceiling,3.55,3.93,2.27,4.46
Postal Service Clerks,all_ceiling,3.55,3.47,1.14,6.04
Costume Attendants,all_ceiling,3.51,2.71,2.24,5.58
Parking Enforcement Workers,all_ceiling,3.47,3.19,2.65,4.57
"Office Machine Operators, Except Computer",all_ceiling,3.42,3.01,2.54,4.71
Library Technicians,all_ceiling,3.42,2.87,2.58,4.80
Couriers and Messengers,all_ceiling,3.37,4.63,1.16,4.33
Gambling Cage Workers,all_ceiling,3.37,3.41,2.29,4.40
"Graders and Sorters, Agricultural Products",all_ceiling,3.36,,1.06,5.66
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",all_ceiling,3.33,2.74,1.90,5.34
Dining Room and Cafeteria Attendants and Bartender Helpers,all_ceiling,3.31,4.17,0.65,5.12
Gambling Change Persons and Booth Cashiers,all_ceiling,3.31,4.31,2.81,2.81
"Painters, Construction and Maintenance",all_ceiling,3.28,3.51,0.05,6.29
Manicurists and Pedicurists,all_ceiling,3.27,4.31,0.51,5.00
Structural Metal Fabricators and Fitters,all_ceiling,3.27,6.36,-0.97,4.42
Amusement and Recreation Attendants,all_ceiling,3.27,4.22,2.41,3.16
Counter and Rental Clerks,all_ceiling,3.25,2.97,2.14,4.65
Waiters and Waitresses,all_ceiling,3.25,2.76,0.71,6.28
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",all_ceiling,3.14,5.18,-1.81,6.05
"Meter Readers, Utilities",all_ceiling,3.14,4.28,0.87,4.26
"Stone Cutters and Carvers, Manufacturing",all_ceiling,3.11,5.14,-1.20,5.40
Home Health Aides,all_ceiling,3.08,2.57,1.38,5.30
Physical Therapist Aides,all_ceiling,3.06,3.34,2.88,2.97
Tellers,all_ceiling,3.04,3.00,1.37,4.74
"Umpires, Referees, and Other Sports Officials",all_ceiling,3.01,3.27,-0.77,6.52
Bartenders,all_ceiling,2.92,2.99,0.82,4.95
Barbers,all_ceiling,2.92,3.50,-0.48,5.75
Personal Care Aides,all_ceiling,2.90,1.83,2.61,4.27
Log Graders and Scalers,all_ceiling,2.86,3.85,1.07,3.66
"Teaching Assistants, Special Education",all_ceiling,2.81,1.93,1.17,5.33
Funeral Attendants,all_ceiling,2.81,2.19,4.01,2.22
Forest and Conservation Workers,all_ceiling,2.80,4.06,-0.56,4.89
Light Truck Drivers,all_ceiling,2.70,3.33,-0.63,5.39
Gambling and Sports Book Writers and Runners,all_ceiling,2.69,2.96,2.92,2.20
"Substitute Teachers, Short-Term",all_ceiling,2.68,2.04,1.50,4.50
Nursing Assistants,all_ceiling,2.67,1.75,0.97,5.29
Retail Salespersons,all_ceiling,2.67,1.17,2.73,4.11
Tire Repairers and Changers,all_ceiling,2.66,4.78,-0.35,3.56
"Office Clerks, General",all_ceiling,2.66,2.44,2.66,2.87
