title_current,config,gap_first,gap_last,gap_delta
Accountants and Auditors,all_ceiling,-7.20,-0.37,6.83
Actors,all_ceiling,-6.97,0.02,6.99
Actuaries,all_ceiling,-9.69,-2.94,6.75
Acupuncturists,all_ceiling,-6.43,0.54,6.96
Acute Care Nurses,all_ceiling,-8.12,-1.62,6.50
Adapted Physical Education Specialists,all_ceiling,-6.91,-0.37,6.54
Adhesive Bonding Machine Operators and Tenders,all_ceiling,-5.57,-0.61,4.96
"Administrative Law Judges, Adjudicators, and Hearing Officers",all_ceiling,-9.21,-2.33,6.88
Administrative Services Managers,all_ceiling,-6.81,-0.11,6.70
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",all_ceiling,-7.12,0.22,7.34
Advanced Practice Psychiatric Nurses,all_ceiling,-9.20,-2.50,6.70
Advertising Sales Agents,all_ceiling,-7.20,-0.26,6.94
Advertising and Promotions Managers,all_ceiling,-8.16,-1.20,6.96
Aerospace Engineering and Operations Technologists and Technicians,all_ceiling,-6.44,-0.37,6.07
Aerospace Engineers,all_ceiling,-9.18,-3.06,6.11
"Agents and Business Managers of Artists, Performers, and Athletes",all_ceiling,-7.31,-0.12,7.19
Agricultural Engineers,all_ceiling,-8.57,-2.31,6.26
Agricultural Equipment Operators,all_ceiling,-4.12,1.38,5.51
Agricultural Inspectors,all_ceiling,-5.46,0.84,6.30
"Agricultural Sciences Teachers, Postsecondary",all_ceiling,-8.43,-1.49,6.94
Agricultural Technicians,all_ceiling,-4.57,1.42,5.99
Air Traffic Controllers,all_ceiling,-8.59,-2.14,6.45
Aircraft Cargo Handling Supervisors,all_ceiling,-6.06,0.13,6.19
Aircraft Mechanics and Service Technicians,all_ceiling,-7.43,-2.06,5.37
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",all_ceiling,-3.82,1.95,5.77
Airfield Operations Specialists,all_ceiling,-6.14,0.30,6.45
"Airline Pilots, Copilots, and Flight Engineers",all_ceiling,-8.58,-2.92,5.65
Allergists and Immunologists,all_ceiling,-8.36,-1.64,6.72
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",all_ceiling,-4.30,1.70,6.00
Amusement and Recreation Attendants,all_ceiling,-3.34,3.27,6.60
Anesthesiologist Assistants,all_ceiling,-6.17,0.21,6.38
Anesthesiologists,all_ceiling,-8.48,-2.10,6.38
Animal Breeders,all_ceiling,-4.26,2.23,6.49
Animal Caretakers,all_ceiling,-3.22,3.55,6.77
Animal Control Workers,all_ceiling,-4.78,1.70,6.48
Animal Scientists,all_ceiling,-8.40,-1.69,6.72
Animal Trainers,all_ceiling,-4.19,2.46,6.65
Anthropologists and Archeologists,all_ceiling,-9.29,-1.86,7.43
"Anthropology and Archeology Teachers, Postsecondary",all_ceiling,-10.32,-3.00,7.31
Appraisers and Assessors of Real Estate,all_ceiling,-5.10,1.82,6.93
Appraisers of Personal and Business Property,all_ceiling,-5.56,1.41,6.97
"Arbitrators, Mediators, and Conciliators",all_ceiling,-10.04,-3.20,6.85
"Architects, Except Landscape and Naval",all_ceiling,-8.47,-2.07,6.40
Architectural and Civil Drafters,all_ceiling,-5.96,0.50,6.46
Architectural and Engineering Managers,all_ceiling,-8.27,-2.10,6.17
"Architecture Teachers, Postsecondary",all_ceiling,-8.54,-1.89,6.65
Archivists,all_ceiling,-7.42,-0.17,7.25
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",all_ceiling,-7.98,-0.43,7.54
Art Directors,all_ceiling,-7.97,-1.06,6.91
Art Therapists,all_ceiling,-9.43,-2.36,7.07
"Art, Drama, and Music Teachers, Postsecondary",all_ceiling,-8.61,-1.32,7.29
Astronomers,all_ceiling,-10.28,-3.60,6.69
