element_name,type,gap,occ_score,ai_score,recommendation
Static Strength,abilities,-11.26,15.00,3.74,Invest in yourself — human advantage
Manual Dexterity,abilities,-9.91,14.55,4.64,Invest in yourself — human advantage
Building and Construction,knowledge,-8.92,18.87,9.94,Invest in yourself — human advantage
Multilimb Coordination,abilities,-8.56,12.24,3.67,Invest in yourself — human advantage
Trunk Strength,abilities,-8.02,12.19,4.17,Invest in yourself — human advantage
Control Precision,abilities,-6.58,10.98,4.40,Invest in yourself — human advantage
Arm-Hand Steadiness,abilities,-5.97,10.92,4.95,Invest in yourself — human advantage
Stamina,abilities,-5.84,9.73,3.89,Invest in yourself — human advantage
Depth Perception,abilities,-5.63,9.00,3.37,Invest in yourself — human advantage
Extent Flexibility,abilities,-5.37,9.73,4.37,Invest in yourself — human advantage
Oral Expression,abilities,4.66,10.14,14.80,Learn to leverage AI — AI advantage
Deductive Reasoning,abilities,4.46,7.86,12.32,Learn to leverage AI — AI advantage
Speaking,skills,4.38,9.36,13.74,Learn to leverage AI — AI advantage
Speech Clarity,abilities,4.11,8.64,12.75,Learn to leverage AI — AI advantage
Active Listening,skills,3.69,9.36,13.05,Learn to leverage AI — AI advantage
Oral Comprehension,abilities,3.36,10.98,14.34,Learn to leverage AI — AI advantage
Speech Recognition,abilities,2.04,8.64,10.68,Learn to leverage AI — AI advantage
Information Ordering,abilities,1.07,9.36,10.43,Learn to leverage AI — AI advantage
Problem Sensitivity,abilities,1.04,9.75,10.79,Learn to leverage AI — AI advantage
Category Flexibility,abilities,0.95,8.64,9.59,Learn to leverage AI — AI advantage
