element_name,type,gap,occ_score,ai_score,recommendation
Psychology,knowledge,-13.31,27.85,14.54,Invest in yourself — human advantage
Problem Sensitivity,abilities,-9.81,20.60,10.79,Invest in yourself — human advantage
Customer and Personal Service,knowledge,-9.23,24.11,14.88,Invest in yourself — human advantage
Social Perceptiveness,skills,-7.88,18.05,10.16,Invest in yourself — human advantage
Inductive Reasoning,abilities,-7.47,19.52,12.05,Invest in yourself — human advantage
Coordination,skills,-7.31,16.00,8.69,Invest in yourself — human advantage
Service Orientation,skills,-7.29,16.00,8.71,Invest in yourself — human advantage
Arm-Hand Steadiness,abilities,-6.35,11.29,4.95,Invest in yourself — human advantage
Medicine and Dentistry,knowledge,-6.07,19.49,13.41,Invest in yourself — human advantage
Static Strength,abilities,-5.62,9.36,3.74,Invest in yourself — human advantage
Biology,knowledge,8.48,7.79,16.27,Learn to leverage AI — AI advantage
Education and Training,knowledge,8.01,10.78,18.79,Learn to leverage AI — AI advantage
Therapy and Counseling,knowledge,3.56,12.42,15.97,Learn to leverage AI — AI advantage
Mathematical Reasoning,abilities,3.48,9.00,12.48,Learn to leverage AI — AI advantage
Administration and Management,knowledge,2.97,9.51,12.47,Learn to leverage AI — AI advantage
Mathematics,knowledge,2.86,11.66,14.52,Learn to leverage AI — AI advantage
Number Facility,abilities,2.74,9.00,11.74,Learn to leverage AI — AI advantage
Learning Strategies,skills,1.70,11.77,13.46,Learn to leverage AI — AI advantage
English Language,knowledge,1.48,15.51,16.99,Learn to leverage AI — AI advantage
Instructing,skills,1.40,12.19,13.59,Learn to leverage AI — AI advantage
