element_name,type,gap,occ_score,ai_score,recommendation
Administrative,knowledge,-12.76,26.22,13.46,Invest in yourself — human advantage
Near Vision,abilities,-4.20,15.05,10.85,Invest in yourself — human advantage
Speech Recognition,abilities,-3.38,14.06,10.68,Invest in yourself — human advantage
Service Orientation,skills,-2.21,10.92,8.71,Invest in yourself — human advantage
Active Listening,skills,-1.95,15.00,13.05,Invest in yourself — human advantage
Time Management,skills,-1.88,10.50,8.62,Invest in yourself — human advantage
Selective Attention,abilities,-1.66,8.64,6.98,Invest in yourself — human advantage
Oral Comprehension,abilities,-1.66,16.00,14.34,Invest in yourself — human advantage
Customer and Personal Service,knowledge,-1.51,16.39,14.88,Invest in yourself — human advantage
English Language,knowledge,-1.24,18.23,16.99,Invest in yourself — human advantage
Deductive Reasoning,abilities,3.68,8.64,12.32,Learn to leverage AI — AI advantage
Inductive Reasoning,abilities,3.41,8.64,12.05,Learn to leverage AI — AI advantage
Judgment and Decision Making,skills,2.99,7.86,10.85,Learn to leverage AI — AI advantage
Administration and Management,knowledge,1.67,10.80,12.47,Learn to leverage AI — AI advantage
Critical Thinking,skills,1.51,10.86,12.37,Learn to leverage AI — AI advantage
Problem Sensitivity,abilities,1.43,9.36,10.79,Learn to leverage AI — AI advantage
Social Perceptiveness,skills,1.16,9.00,10.16,Learn to leverage AI — AI advantage
Writing,skills,0.73,13.12,13.86,Learn to leverage AI — AI advantage
Category Flexibility,abilities,0.59,9.00,9.59,Learn to leverage AI — AI advantage
Speech Clarity,abilities,0.56,12.19,12.75,Learn to leverage AI — AI advantage
