task,auto_avg,pct_avg,recommendation
"Mail newsletters, promotional material, or other information.",5.00,0.00,Let AI handle this
Maintain scheduling and event calendars.,5.00,0.00,Let AI handle this
"Schedule and confirm appointments for clients, customers, or supervisors.",4.65,0.02,Let AI handle this
"Provide services to customers, such as order placement or account information.",4.47,0.01,Let AI handle this
"Answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",4.42,0.04,Let AI handle this
Manage projects or contribute to committee or team work.,4.33,0.00,Let AI handle this
"Collect and deposit money into accounts, disburse funds from cash accounts to pay bills or invoices, keep records of collections and disbursements, and ensure accounts are balanced.",4.33,0.00,Let AI handle this
"Create, maintain, and enter information into databases.",4.24,0.08,Let AI handle this
"Arrange conference, meeting, or travel reservations for office personnel.",4.09,0.01,Let AI handle this
"Conduct searches to find needed information, using such sources as the Internet.",4.04,0.23,Let AI handle this
"Coordinate conferences, meetings, or special events, such as luncheons or graduation ceremonies.",4.03,0.00,Let AI handle this
"Compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.",3.94,0.01,Let AI handle this
Develop or maintain internal or external company Web sites.,3.86,0.15,Let AI handle this
"Perform payroll functions, such as maintaining timekeeping information and processing and submitting payroll.",3.83,0.00,Let AI handle this
"Use computers for various applications, such as database management or word processing.",3.81,0.29,Let AI handle this
"Operate electronic mail systems and coordinate the flow of information, internally or with other organizations.",3.78,0.00,Let AI handle this
Establish work procedures or schedules and keep track of the daily work of clerical staff.,3.67,0.00,Let AI handle this
Greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,3.54,0.03,Let AI handle this
"Prepare conference or event materials, such as flyers or invitations.",3.48,0.00,AI can assist
"Set up and manage paper or electronic filing systems, recording information, updating paperwork, or maintaining documents, such as attendance records, correspondence, or other material.",3.43,0.00,AI can assist
Prepare and mail checks.,3.43,0.00,AI can assist
"Review work done by others to check for correct spelling and grammar, ensure that company format policies are followed, and recommend revisions.",3.35,0.00,AI can assist
Complete forms in accordance with company procedures.,3.34,0.00,AI can assist
Locate and attach appropriate files to incoming correspondence requiring replies.,3.33,0.00,AI can assist
Make copies of correspondence or other printed material.,3.25,0.00,AI can assist
"Operate office equipment, such as fax machines, copiers, or phone systems and arrange for repairs when equipment malfunctions.",3.12,0.00,AI can assist
"Open, read, route, and distribute incoming mail or other materials and answer routine letters.",3.07,0.00,AI can assist
Learn to operate new office technologies as they are developed and implemented.,2.75,0.00,AI can assist
Train and assist staff with computer usage.,2.25,0.00,AI can assist
Order and dispense supplies.,1.78,0.00,Focus on doing this yourself
