config_key,config_label,category,pct_tasks_affected,workers_affected
all_ceiling,All Sources (Ceiling),Office and Administrative Support Occupations,68.35,13793013.13
all_ceiling,All Sources (Ceiling),Sales and Related Occupations,74.50,9712322.92
all_ceiling,All Sources (Ceiling),Management Occupations,51.26,6608513.10
all_ceiling,All Sources (Ceiling),Business and Financial Operations Occupations,62.25,6538446.55
all_ceiling,All Sources (Ceiling),Food Preparation and Serving Related Occupations,41.10,5708987.91
all_ceiling,All Sources (Ceiling),Educational Instruction and Library Occupations,60.83,4804818.59
all_ceiling,All Sources (Ceiling),Transportation and Material Moving Occupations,29.88,4544620.49
all_ceiling,All Sources (Ceiling),Computer and Mathematical Occupations,78.38,3957634.66
all_ceiling,All Sources (Ceiling),Healthcare Practitioners and Technical Occupations,34.87,3893860.86
all_ceiling,All Sources (Ceiling),Healthcare Support Occupations,31.02,2713512.15
all_ceiling,All Sources (Ceiling),Production Occupations,27.14,2275648.44
all_ceiling,All Sources (Ceiling),"Installation, Maintenance, and Repair Occupations",29.44,1963304.12
all_ceiling,All Sources (Ceiling),Protective Service Occupations,43.16,1651253.82
all_ceiling,All Sources (Ceiling),Construction and Extraction Occupations,16.97,1504296.23
all_ceiling,All Sources (Ceiling),Personal Care and Service Occupations,41.78,1431845.45
all_ceiling,All Sources (Ceiling),"Arts, Design, Entertainment, Sports, and Media Occupations",58.64,1349234.46
all_ceiling,All Sources (Ceiling),Architecture and Engineering Occupations,50.33,1340764.04
all_ceiling,All Sources (Ceiling),Community and Social Service Occupations,53.32,1085063.21
all_ceiling,All Sources (Ceiling),"Life, Physical, and Social Science Occupations",51.99,780764.80
all_ceiling,All Sources (Ceiling),Building and Grounds Cleaning and Maintenance Occupations,24.24,780092.67
all_ceiling,All Sources (Ceiling),Legal Occupations,54.52,619404.51
all_ceiling,All Sources (Ceiling),"Farming, Fishing, and Forestry Occupations",19.36,66055.22
human_conversation,Human Conversation,Office and Administrative Support Occupations,44.20,9741780.69
human_conversation,Human Conversation,Sales and Related Occupations,49.76,6510319.58
human_conversation,Human Conversation,Business and Financial Operations Occupations,43.43,4833941.83
human_conversation,Human Conversation,Food Preparation and Serving Related Occupations,33.71,4712073.95
human_conversation,Human Conversation,Management Occupations,30.13,3994913.56
human_conversation,Human Conversation,Educational Instruction and Library Occupations,48.18,3849226.25
human_conversation,Human Conversation,Computer and Mathematical Occupations,55.08,2713678.91
human_conversation,Human Conversation,Healthcare Practitioners and Technical Occupations,24.76,2690466.62
human_conversation,Human Conversation,Healthcare Support Occupations,20.19,2087489.37
human_conversation,Human Conversation,Transportation and Material Moving Occupations,16.64,2020607.16
human_conversation,Human Conversation,"Installation, Maintenance, and Repair Occupations",22.31,1536268.46
human_conversation,Human Conversation,Production Occupations,17.62,1508793.96
human_conversation,Human Conversation,Protective Service Occupations,30.62,1186857.32
human_conversation,Human Conversation,Construction and Extraction Occupations,13.01,1146201.42
human_conversation,Human Conversation,"Arts, Design, Entertainment, Sports, and Media Occupations",43.62,1058951.37
human_conversation,Human Conversation,Architecture and Engineering Occupations,38.74,1042978.35
human_conversation,Human Conversation,Personal Care and Service Occupations,31.11,1034656.75
human_conversation,Human Conversation,Community and Social Service Occupations,41.28,883987.51
human_conversation,Human Conversation,"Life, Physical, and Social Science Occupations",36.57,549958.75
human_conversation,Human Conversation,Legal Occupations,42.93,490206.41
human_conversation,Human Conversation,Building and Grounds Cleaning and Maintenance Occupations,16.00,451049.50
human_conversation,Human Conversation,"Farming, Fishing, and Forestry Occupations",13.43,40866.85
agentic_confirmed,Agentic Confirmed,Office and Administrative Support Occupations,29.02,7349907.91
agentic_confirmed,Agentic Confirmed,Sales and Related Occupations,40.45,4583691.00
agentic_confirmed,Agentic Confirmed,Business and Financial Operations Occupations,31.88,3826203.80
agentic_confirmed,Agentic Confirmed,Educational Instruction and Library Occupations,33.51,2649055.32
agentic_confirmed,Agentic Confirmed,Management Occupations,19.56,2545176.89
agentic_confirmed,Agentic Confirmed,Computer and Mathematical Occupations,43.93,2271408.88
agentic_confirmed,Agentic Confirmed,Healthcare Practitioners and Technical Occupations,12.43,1549717.05
agentic_confirmed,Agentic Confirmed,Food Preparation and Serving Related Occupations,7.23,1024215.52
agentic_confirmed,Agentic Confirmed,Transportation and Material Moving Occupations,3.96,708892.89
agentic_confirmed,Agentic Confirmed,"Arts, Design, Entertainment, Sports, and Media Occupations",27.08,670371.56
agentic_confirmed,Agentic Confirmed,Construction and Extraction Occupations,3.24,573566.69
agentic_confirmed,Agentic Confirmed,Healthcare Support Occupations,9.65,545205.21
agentic_confirmed,Agentic Confirmed,Protective Service Occupations,10.43,540163.35
agentic_confirmed,Agentic Confirmed,Community and Social Service Occupations,21.97,366330.19
agentic_confirmed,Agentic Confirmed,Architecture and Engineering Occupations,12.16,356359.43
agentic_confirmed,Agentic Confirmed,Legal Occupations,26.85,348932.56
agentic_confirmed,Agentic Confirmed,Personal Care and Service Occupations,9.93,317809.98
agentic_confirmed,Agentic Confirmed,"Installation, Maintenance, and Repair Occupations",4.77,314271.55
agentic_confirmed,Agentic Confirmed,Production Occupations,2.62,239777.24
agentic_confirmed,Agentic Confirmed,"Life, Physical, and Social Science Occupations",18.40,237985.78
agentic_confirmed,Agentic Confirmed,Building and Grounds Cleaning and Maintenance Occupations,7.21,73450.57
agentic_confirmed,Agentic Confirmed,"Farming, Fishing, and Forestry Occupations",1.26,11837.73
all_confirmed,All Confirmed,Office and Administrative Support Occupations,51.05,11211805.50
all_confirmed,All Confirmed,Sales and Related Occupations,59.53,7574293.67
all_confirmed,All Confirmed,Business and Financial Operations Occupations,50.73,5465270.63
all_confirmed,All Confirmed,Food Preparation and Serving Related Occupations,35.56,4905325.38
all_confirmed,All Confirmed,Management Occupations,35.52,4787440.12
