category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Laborers and Material Movers,11.87,998142.93,37091133509.39,AEI Both + Micro 2026-02-12,broad,23.54,2476429.38,93437272503.97,All 2026-02-18,broad,11.67,1478286.45,56346138994.58
General and Operations Managers,27.87,999093.32,102856656979.21,AEI Both + Micro 2026-02-12,broad,52.31,1875106.72,193042237156.46,All 2026-02-18,broad,24.44,876013.41,90185580177.25
Secretaries and Administrative Assistants,49.79,1924134.27,97619295280.78,AEI Both + Micro 2026-02-12,broad,80.81,2716104.48,137200320721.03,All 2026-02-18,broad,31.02,791970.21,39581025440.25
Cashiers,40.82,1484329.11,46320798346.56,AEI Both + Micro 2026-02-12,broad,61.69,2159319.24,67389752567.36,All 2026-02-18,broad,20.87,674990.13,21068954220.80
Retail Salespersons,57.36,2179886.98,75380491682.11,AEI Both + Micro 2026-02-12,broad,69.00,2622196.64,90675559889.75,All 2026-02-18,broad,11.64,442309.66,15295068207.63
Driver/Sales Workers and Truck Drivers,18.88,674747.76,35176699830.37,AEI Both + Micro 2026-02-12,broad,35.69,1091970.55,54822947598.54,All 2026-02-18,broad,16.81,417222.79,19646247768.17
"Miscellaneous Sales Representatives, Services",38.31,455594.48,30187690497.43,AEI Both + Micro 2026-02-12,broad,72.98,867966.14,57511436723.72,All 2026-02-18,broad,34.67,412371.66,27323746226.28
"Software and Web Developers, Programmers, and Testers",60.96,899428.17,98649069587.68,AEI Both + Micro 2026-02-12,broad,77.11,1256531.36,138693514131.30,All 2026-02-18,broad,16.15,357103.19,40044444543.62
"Office Clerks, General",71.37,1791660.63,78170153362.97,AEI Both + Micro 2026-02-12,broad,82.44,2069678.99,90300094127.05,All 2026-02-18,broad,11.07,278018.35,12129940764.08
Industrial Truck and Tractor Operators,5.43,43777.08,2030818594.71,AEI Both + Micro 2026-02-12,broad,39.37,317212.20,14715473817.66,All 2026-02-18,broad,33.93,273435.12,12684655222.95
Accountants and Auditors,28.09,406788.64,33226496491.62,AEI Both + Micro 2026-02-12,broad,43.59,631369.97,51570298906.80,All 2026-02-18,broad,15.51,224581.32,18343802415.18
"Shipping, Receiving, and Inventory Clerks",25.81,221355.21,9560331730.44,AEI Both + Micro 2026-02-12,broad,51.03,437688.09,18903748746.06,All 2026-02-18,broad,25.22,216332.88,9343417015.62
Supervisors of Food Preparation and Serving Workers,39.31,514414.86,23159184446.92,AEI Both + Micro 2026-02-12,broad,51.97,726447.19,32201720316.43,All 2026-02-18,broad,12.66,212032.32,9042535869.50
Logisticians and Project Management Specialists,58.46,275451.69,23497881225.43,AEI Both + Micro 2026-02-12,broad,71.29,477496.20,41437542963.05,All 2026-02-18,broad,12.82,202044.51,17939661737.62
Fast Food and Counter Workers,37.56,1471484.25,44850839962.60,AEI Both + Micro 2026-02-12,broad,42.79,1664246.95,50726247158.00,All 2026-02-18,broad,5.23,192762.70,5875407195.40
"Bookkeeping, Accounting, and Auditing Clerks",69.59,1013026.79,49851048430.02,AEI Both + Micro 2026-02-12,broad,82.82,1205693.98,59332200900.88,All 2026-02-18,broad,13.23,192667.19,9481152470.86
First-Line Supervisors of Sales Workers,67.41,896606.06,47903299111.99,AEI Both + Micro 2026-02-12,broad,81.68,1087661.34,58067184990.99,All 2026-02-18,broad,14.27,191055.28,10163885879.00
"Securities, Commodities, and Financial Services Sales Agents",29.00,136979.21,10703555742.56,AEI Both + Micro 2026-02-12,broad,67.48,318731.51,24905680085.60,All 2026-02-18,broad,38.48,181752.30,14202124343.04
Building Cleaning Workers,5.45,273444.22,9794501221.23,AEI Both + Micro 2026-02-12,broad,11.38,445916.68,15924684593.15,All 2026-02-18,broad,5.93,172472.46,6130183371.92
Cooks,41.44,1093048.45,38321288708.32,AEI Both + Micro 2026-02-12,broad,46.56,1239391.99,43420697032.27,All 2026-02-18,broad,5.13,146343.54,5099408323.94
Waiters and Waitresses,39.41,907500.77,30637225915.91,AEI Both + Micro 2026-02-12,broad,45.07,1037900.67,35039526727.19,All 2026-02-18,broad,5.66,130399.91,4402300811.27
Billing and Posting Clerks,36.77,153517.97,7241442843.95,AEI Both + Micro 2026-02-12,broad,66.60,278042.82,13115279680.47,All 2026-02-18,broad,29.83,124524.84,5873836836.52
Home Health and Personal Care Aides,38.41,1469696.40,51292404247.88,AEI Both + Micro 2026-02-12,broad,41.70,1592083.73,55563722142.69,All 2026-02-18,broad,3.29,122387.33,4271317894.81
Administrative Services and Facilities Managers,22.71,80077.98,8505192574.00,AEI Both + Micro 2026-02-12,broad,48.09,201024.74,21415012727.26,All 2026-02-18,broad,25.38,120946.76,12909820153.26
Miscellaneous Healthcare Support Occupations,33.00,671118.62,29603211118.39,AEI Both + Micro 2026-02-12,broad,40.12,784224.01,34519006874.88,All 2026-02-18,broad,7.12,113105.39,4915795756.49
Registered Nurses,35.44,1279664.70,119776615525.79,AEI Both + Micro 2026-02-12,broad,38.98,1388819.66,129993520239.68,All 2026-02-18,broad,3.54,109154.96,10216904713.89
Miscellaneous Computer Occupations,56.66,451779.04,49230362009.83,AEI Both + Micro 2026-02-12,broad,74.28,560277.12,61053398144.68,All 2026-02-18,broad,17.63,108498.08,11823036134.84
First-Line Supervisors of Office and Administrative Support Workers,68.43,1023367.28,67685511818.04,AEI Both + Micro 2026-02-12,broad,75.47,1128732.29,74654353675.11,All 2026-02-18,broad,7.05,105365.01,6968841857.06
Elementary and Middle School Teachers,61.95,1283592.42,80278337879.88,AEI Both + Micro 2026-02-12,broad,67.29,1388743.21,86865971911.31,All 2026-02-18,broad,5.34,105150.79,6587634031.42
