category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Material Moving Workers,11.67,1072056.44,40757480941.90,AEI Both + Micro 2026-02-12,minor,28.69,2861962.95,111892252624.00,All 2026-02-18,minor,17.02,1789906.51,71134771682.10
Retail Sales Workers,51.32,4067798.91,137121698656.76,AEI Both + Micro 2026-02-12,minor,67.64,5279020.66,177057055787.60,All 2026-02-18,minor,16.32,1211221.75,39935357130.84
Top Executives,39.74,1111807.90,124078005999.92,AEI Both + Micro 2026-02-12,minor,51.98,2007226.40,218170649901.85,All 2026-02-18,minor,12.24,895418.50,94092643901.93
Secretaries and Administrative Assistants,49.79,1924134.27,97619295280.78,AEI Both + Micro 2026-02-12,minor,80.81,2716104.48,137200320721.03,All 2026-02-18,minor,31.02,791970.21,39581025440.25
"Sales Representatives, Services",48.74,1017319.94,66119975271.43,AEI Both + Micro 2026-02-12,minor,73.68,1660175.05,110486318616.61,All 2026-02-18,minor,24.95,642855.12,44366343345.18
Business Operations Specialists,52.23,4226368.91,338208290461.56,AEI Both + Micro 2026-02-12,minor,62.24,4862779.94,390216737114.84,All 2026-02-18,minor,10.01,636411.04,52008446653.28
Computer Occupations,64.61,3013574.10,300217650606.65,AEI Both + Micro 2026-02-12,minor,78.01,3634239.36,367159988750.01,All 2026-02-18,minor,13.40,620665.26,66942338143.35
Other Management Occupations,35.26,1533160.79,162569972568.85,AEI Both + Micro 2026-02-12,minor,51.13,2060541.44,219566450090.42,All 2026-02-18,minor,15.87,527380.65,56996477521.57
Motor Vehicle Operators,18.18,802258.66,40914587522.17,AEI Both + Micro 2026-02-12,minor,30.27,1301796.27,64200288917.82,All 2026-02-18,minor,12.09,499537.61,23285701395.65
"Material Recording, Scheduling, Dispatching, and Distributing Workers",39.38,798614.53,40220385313.74,AEI Both + Micro 2026-02-12,minor,56.60,1257353.65,62946709988.74,All 2026-02-18,minor,17.22,458739.12,22726324674.99
Financial Clerks,50.24,1571627.37,75563494746.19,AEI Both + Micro 2026-02-12,minor,68.67,2026293.59,96937057116.36,All 2026-02-18,minor,18.43,454666.22,21373562370.17
Financial Specialists,48.09,1238901.73,105489841122.60,AEI Both + Micro 2026-02-12,minor,62.28,1675666.60,142234470111.00,All 2026-02-18,minor,14.20,436764.88,36744628988.40
Food and Beverage Serving Workers,35.07,2653873.41,84761461979.61,AEI Both + Micro 2026-02-12,minor,41.01,3045783.52,97369439664.28,All 2026-02-18,minor,5.94,391910.11,12607977684.67
Other Office and Administrative Support Workers,52.60,2026903.93,88564497451.48,AEI Both + Micro 2026-02-12,minor,68.36,2418647.61,105920539482.57,All 2026-02-18,minor,15.76,391743.69,17356042031.09
Information and Record Clerks,56.91,3839153.74,161926458707.69,AEI Both + Micro 2026-02-12,minor,72.15,4213792.55,177751064904.26,All 2026-02-18,minor,15.25,374638.82,15824606196.57
Operations Specialties Managers,33.20,1490716.50,230694616357.67,AEI Both + Micro 2026-02-12,minor,49.36,1823847.38,272657693626.48,All 2026-02-18,minor,16.16,333130.88,41963077268.80
Other Production Occupations,18.09,433932.12,20945891743.90,AEI Both + Micro 2026-02-12,minor,28.29,708095.77,33238765878.94,All 2026-02-18,minor,10.19,274163.66,12292874135.04
Healthcare Diagnosing or Treating Practitioners,30.89,2358436.28,271010727503.05,AEI Both + Micro 2026-02-12,minor,35.32,2617772.51,303240424443.24,All 2026-02-18,minor,4.43,259336.23,32229696940.18
Health Technologists and Technicians,26.71,919483.17,51283897416.33,AEI Both + Micro 2026-02-12,minor,34.51,1176587.94,66259472782.95,All 2026-02-18,minor,7.80,257104.77,14975575366.61
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",46.85,2434564.44,149066679782.65,AEI Both + Micro 2026-02-12,minor,52.74,2666577.65,163142482042.14,All 2026-02-18,minor,5.89,232013.21,14075802259.49
Supervisors of Food Preparation and Serving Workers,39.31,514414.86,23159184446.92,AEI Both + Micro 2026-02-12,minor,51.97,726447.19,32201720316.43,All 2026-02-18,minor,12.66,212032.32,9042535869.50
"Other Installation, Maintenance, and Repair Occupations",23.94,780229.05,43939458677.63,AEI Both + Micro 2026-02-12,minor,29.86,979542.73,55060293202.60,All 2026-02-18,minor,5.92,199313.67,11120834524.97
Supervisors of Sales Workers,67.41,896606.06,47903299111.99,AEI Both + Micro 2026-02-12,minor,81.68,1087661.34,58067184990.99,All 2026-02-18,minor,14.27,191055.28,10163885879.00
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",18.10,1686302.07,59866506718.79,AEI Both + Micro 2026-02-12,minor,21.67,1866945.95,66443672469.97,All 2026-02-18,minor,3.57,180643.87,6577165751.18
Building Cleaning and Pest Control Workers,13.85,305802.00,11241864601.48,AEI Both + Micro 2026-02-12,minor,18.05,478395.84,17377477739.49,All 2026-02-18,minor,4.20,172593.85,6135613138.00
Cooks and Food Preparation Workers,40.35,1410975.35,49200747452.17,AEI Both + Micro 2026-02-12,minor,44.96,1578736.40,55033062980.94,All 2026-02-18,minor,4.61,167761.05,5832315528.77
Other Teachers and Instructors,41.07,403112.44,16515918031.36,AEI Both + Micro 2026-02-12,minor,52.84,529952.48,21807794258.66,All 2026-02-18,minor,11.77,126840.04,5291876227.29
Engineers,42.40,785451.08,86401202801.90,AEI Both + Micro 2026-02-12,minor,49.67,907937.49,99962285647.43,All 2026-02-18,minor,7.27,122486.41,13561082845.54
"Counselors, Social Workers, and Other Community and Social Service Specialists",45.36,906492.65,52748734465.05,AEI Both + Micro 2026-02-12,minor,51.77,1028774.86,59687143130.30,All 2026-02-18,minor,6.41,122282.21,6938408665.25
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",15.64,327756.13,18222554346.54,AEI Both + Micro 2026-02-12,minor,19.62,444343.61,24506776555.20,All 2026-02-18,minor,3.98,116587.48,6284222208.66
Other Healthcare Support Occupations,32.08,691094.08,30760789401.09,AEI Both + Micro 2026-02-12,minor,38.79,805852.09,35772354194.02,All 2026-02-18,minor,6.71,114758.01,5011564792.93
Other Protective Service Workers,41.32,847628.77,33304596376.42,AEI Both + Micro 2026-02-12,minor,50.70,959911.03,37687953935.16,All 2026-02-18,minor,9.37,112282.26,4383357558.74
Other Educational Instruction and Library Occupations,33.06,402791.95,19158035268.19,AEI Both + Micro 2026-02-12,minor,43.17,510198.47,23438450607.27,All 2026-02-18,minor,10.11,107406.52,4280415339.08
Supervisors of Office and Administrative Support Workers,68.43,1023367.28,67685511818.04,AEI Both + Micro 2026-02-12,minor,75.47,1128732.29,74654353675.11,All 2026-02-18,minor,7.05,105365.01,6968841857.06
Other Personal Care and Service Workers,37.50,438376.34,16105316421.00,AEI Both + Micro 2026-02-12,minor,44.77,541864.54,19860161622.09,All 2026-02-18,minor,7.27,103488.20,3754845201.09
Grounds Maintenance Workers,9.45,62681.24,2462935791.22,AEI Both + Micro 2026-02-12,minor,12.41,159556.80,6155134276.93,All 2026-02-18,minor,2.97,96875.55,3692198485.71
Construction Trades Workers,16.47,844052.65,48745941306.96,AEI Both + Micro 2026-02-12,minor,17.69,935280.08,54108074223.29,All 2026-02-18,minor,1.22,91227.43,5362132916.33
Metal Workers and Plastic Workers,19.25,330129.36,16692204438.83,AEI Both + Micro 2026-02-12,minor,26.72,421153.81,21089359388.57,All 2026-02-18,minor,7.47,91024.45,4397154949.73
Supervisors of Production Workers,32.67,223843.33,15935406585.35,AEI Both + Micro 2026-02-12,minor,45.40,311051.96,22143788800.06,All 2026-02-18,minor,12.73,87208.63,6208382214.71
Assemblers and Fabricators,13.95,159312.37,7013445439.37,AEI Both + Micro 2026-02-12,minor,17.46,244085.07,10637689674.43,All 2026-02-18,minor,3.51,84772.70,3624244235.05
Entertainment Attendants and Related Workers,38.99,246028.64,7708354107.22,AEI Both + Micro 2026-02-12,minor,48.79,330577.39,10328900052.40,All 2026-02-18,minor,9.80,84548.75,2620545945.18
