category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Record operational or production data.,17.10,86740.34,4186911527.35,AEI Both + Micro 2026-02-12,dwa,69.27,969478.99,43263903130.40,All 2026-02-18,dwa,52.18,882738.64,39076991603.05
"Direct organizational operations, projects, or services.",14.71,136426.22,18894794164.49,AEI Both + Micro 2026-02-12,dwa,47.86,615041.76,68669087269.90,All 2026-02-18,dwa,33.15,478615.54,49774293105.41
Calculate costs of goods or services.,67.99,944140.46,36584393800.56,AEI Both + Micro 2026-02-12,dwa,86.25,1324641.44,50565904025.26,All 2026-02-18,dwa,18.26,380500.98,13981510224.70
Maintain records of sales or other business transactions.,22.95,209239.25,8877498083.74,AEI Both + Micro 2026-02-12,dwa,78.58,552830.53,22131759006.83,All 2026-02-18,dwa,55.63,343591.28,13254260923.09
Process customer bills or payments.,53.30,543531.00,18474046106.38,AEI Both + Micro 2026-02-12,dwa,88.42,882197.16,29479650140.67,All 2026-02-18,dwa,35.11,338666.16,11005604034.29
Operate forklifts or other loaders.,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,dwa,68.25,327006.39,12676835685.92,All 2026-02-18,dwa,68.25,327006.39,12676835685.92
Prepare staff schedules or work assignments.,0.00,0.00,0.00,AEI Both + Micro 2026-02-12,dwa,69.87,326065.58,33944708042.63,All 2026-02-18,dwa,69.87,326065.58,33944708042.63
"Collect deposits, payments or fees.",23.79,399088.93,17008570566.53,AEI Both + Micro 2026-02-12,dwa,75.01,715570.38,30334465421.60,All 2026-02-18,dwa,51.21,316481.44,13325894855.08
Sell products or services.,18.10,126088.61,5449788641.39,AEI Both + Micro 2026-02-12,dwa,56.21,417756.25,17527026095.69,All 2026-02-18,dwa,38.11,291667.64,12077237454.30
Maintain student records.,5.50,24620.72,922086918.94,AEI Both + Micro 2026-02-12,dwa,89.58,296406.90,17648618726.77,All 2026-02-18,dwa,84.07,271786.18,16726531807.83
"Direct sales, marketing, or customer service activities.",20.84,164194.38,25106780479.54,AEI Both + Micro 2026-02-12,dwa,46.71,435143.92,53917730944.48,All 2026-02-18,dwa,25.87,270949.54,28810950464.95
Process sales or other transactions.,63.51,686885.00,25345115409.88,AEI Both + Micro 2026-02-12,dwa,86.41,943784.36,34493242467.42,All 2026-02-18,dwa,22.90,256899.35,9148127057.54
Schedule appointments.,53.51,449772.35,18377056692.80,AEI Both + Micro 2026-02-12,dwa,97.95,675309.37,29262364289.06,All 2026-02-18,dwa,44.44,225537.02,10885307596.26
