category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Maintain operational records.,21.23,1231274.90,78229490621.61,AEI Both + Micro 2026-02-12,iwa,72.96,3871861.22,222607161502.85,All 2026-02-18,iwa,51.73,2640586.33,144377670881.24
"Direct organizational operations, activities, or procedures.",20.66,1151934.75,105089164974.34,AEI Both + Micro 2026-02-12,iwa,31.98,2186305.90,196389842495.98,All 2026-02-18,iwa,11.31,1034371.16,91300677521.63
Execute financial transactions.,62.95,2732000.37,110534553123.46,AEI Both + Micro 2026-02-12,iwa,77.78,3489310.10,137639935708.74,All 2026-02-18,iwa,14.83,757309.72,27105382585.29
Maintain sales or financial records.,28.09,689913.97,29696354893.39,AEI Both + Micro 2026-02-12,iwa,75.17,1396772.00,57781370759.66,All 2026-02-18,iwa,47.08,706858.03,28085015866.26
Assign work to others.,27.81,392233.59,22729678310.41,AEI Both + Micro 2026-02-12,iwa,75.29,1039716.27,78191484106.84,All 2026-02-18,iwa,47.48,647482.67,55461805796.43
Operate lifting or moving equipment.,0.87,476.14,25929393.48,AEI Both + Micro 2026-02-12,iwa,26.08,535804.42,22245017398.62,All 2026-02-18,iwa,25.21,535328.29,22219088005.14
Maintain health or medical records.,33.32,671018.26,54680431936.10,AEI Both + Micro 2026-02-12,iwa,51.60,1117209.74,80786914281.99,All 2026-02-18,iwa,18.28,446191.48,26106482345.89
Collect fares or payments.,14.06,406152.32,17535381248.95,AEI Both + Micro 2026-02-12,iwa,54.03,849039.16,40112792491.78,All 2026-02-18,iwa,39.96,442886.84,22577411242.83
Determine values or prices of goods or services.,65.47,1510441.45,72130676043.97,AEI Both + Micro 2026-02-12,iwa,76.00,1920107.18,88053046139.79,All 2026-02-18,iwa,10.53,409665.73,15922370095.82
Sell products or services.,20.26,210647.78,10783355697.14,AEI Both + Micro 2026-02-12,iwa,52.02,517603.06,24209516818.49,All 2026-02-18,iwa,31.76,306955.29,13426161121.35
Process shipments or mail.,18.18,149604.88,7884941793.98,AEI Both + Micro 2026-02-12,iwa,48.90,434726.58,20645102512.15,All 2026-02-18,iwa,30.72,285121.70,12760160718.18
Analyze data to improve operations.,40.74,636558.72,69264715689.54,AEI Both + Micro 2026-02-12,iwa,74.56,913622.32,90652204805.42,All 2026-02-18,iwa,33.81,277063.60,21387489115.88
"Replenish inventories of materials, equipment, or products.",15.89,123904.89,8032535466.55,AEI Both + Micro 2026-02-12,iwa,47.15,384963.85,24277171813.97,All 2026-02-18,iwa,31.26,261058.96,16244636347.42
Mark materials or objects for identification.,10.63,122401.21,4899493778.01,AEI Both + Micro 2026-02-12,iwa,41.03,379262.31,15221650531.10,All 2026-02-18,iwa,30.41,256861.10,10322156753.09
Schedule appointments.,57.54,606806.79,26860244751.82,AEI Both + Micro 2026-02-12,iwa,95.56,860357.12,39931220355.57,All 2026-02-18,iwa,38.02,253550.33,13070975603.75
Monitor resources or inventories.,20.80,164862.78,10404060772.76,AEI Both + Micro 2026-02-12,iwa,47.52,413119.01,22659812117.27,All 2026-02-18,iwa,26.72,248256.23,12255751344.50
"Provide information to guests, clients, or customers.",71.73,3339988.91,163797021490.83,AEI Both + Micro 2026-02-12,iwa,80.63,3572448.83,173326310989.86,All 2026-02-18,iwa,8.90,232459.92,9529289499.03
