category,Agentic Ceiling,Agentic Confirmed,All Confirmed,All Sources (Ceiling),Human Conversation,range
Construction and Extraction Occupations,8.28,3.24,13.88,16.97,13.01,3.09
"Installation, Maintenance, and Repair Occupations",14.32,4.77,23.91,29.44,22.31,5.53
Food Preparation and Serving Related Occupations,20.87,7.23,35.56,41.10,33.71,5.54
Healthcare Practitioners and Technical Occupations,22.53,12.43,29.25,34.87,24.76,5.62
"Farming, Fishing, and Forestry Occupations",8.46,1.26,13.72,19.36,13.43,5.64
Building and Grounds Cleaning and Maintenance Occupations,15.12,7.21,18.46,24.24,16.00,5.78
Healthcare Support Occupations,23.04,9.65,25.10,31.02,20.19,5.92
Community and Social Service Occupations,35.36,21.97,47.26,53.32,41.28,6.06
Legal Occupations,41.33,26.85,48.28,54.52,42.93,6.24
Educational Instruction and Library Occupations,41.84,33.51,53.58,60.83,48.18,7.25
Personal Care and Service Occupations,27.91,9.93,34.27,41.78,31.11,7.51
Production Occupations,14.90,2.62,18.31,27.14,17.62,8.83
Protective Service Occupations,26.29,10.43,33.27,43.16,30.62,9.89
Architecture and Engineering Occupations,37.96,12.16,40.43,50.33,38.74,9.90
"Life, Physical, and Social Science Occupations",38.11,18.40,41.77,51.99,36.57,10.22
"Arts, Design, Entertainment, Sports, and Media Occupations",46.83,27.08,47.59,58.64,43.62,11.05
Business and Financial Operations Occupations,52.63,31.88,50.73,62.25,43.43,11.52
Transportation and Material Moving Occupations,19.93,3.96,17.58,29.88,16.64,12.30
Computer and Mathematical Occupations,75.01,43.93,65.70,78.38,55.08,12.68
Sales and Related Occupations,68.47,40.45,59.53,74.50,49.76,14.97
Management Occupations,41.71,19.56,35.52,51.26,30.13,15.74
Office and Administrative Support Occupations,62.07,29.02,51.05,68.35,44.20,17.30
