title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score,relevance_score
General and Operations Managers,27.87,999093.32,102856656979.21,52.31,1875106.72,193042237156.46,24.44,-1.69,3584420.00,102950.00,Management Occupations,4.00,5,moderate,Q3: Tool gap,24417315.49,369016039000.00
Retail Salespersons,57.36,2179886.98,75380491682.11,69.00,2622196.64,90675559889.75,11.64,1.40,3800250.00,34580.00,Sales and Related Occupations,2.00,11,high,Q1: Automation opportunity,25371622.35,131412645000.00
Heavy and Tractor-Trailer Truck Drivers,21.53,445791.35,25606255274.51,29.40,608734.10,34965686776.13,7.87,-1.21,2070480.00,57440.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,3508291.24,118928371200.00
Accountants and Auditors,28.09,406788.64,33226496491.62,43.59,631369.97,51570298906.80,15.51,-1.67,1448290.00,81680.00,Business and Financial Operations Occupations,4.00,3,low,Q3: Tool gap,6307930.85,118296327200.00
Recycling and Reclamation Workers,0.00,0.00,0.00,13.56,404313.00,15743948050.03,13.56,-1.00,2982530.00,38940.00,Transportation and Material Moving Occupations,2.00,4,moderate,Q1: Automation opportunity,0.00,116139718200.00
"Laborers and Freight, Stock, and Material Movers, Hand",5.97,178081.92,6934510155.93,20.71,617811.81,24057591884.78,14.74,0.08,2982530.00,38940.00,Transportation and Material Moving Occupations,2.00,4,moderate,Q1: Automation opportunity,2625554.29,116139718200.00
"Office Clerks, General",71.37,1791660.63,78170153362.97,82.44,2069678.99,90300094127.05,11.07,1.31,2510550.00,43630.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,19840853.16,109535296500.00
Stockers and Order Fillers,23.26,646480.80,23977972713.46,44.66,1241241.34,46037641144.32,21.40,3.27,2779530.00,37090.00,Transportation and Material Moving Occupations,2.00,6,moderate,Q1: Automation opportunity,13833319.56,103092767700.00
Cashiers,46.94,1477540.91,46084501118.56,68.24,2148107.83,66999483179.98,21.30,3.56,3148030.00,31190.00,Sales and Related Occupations,2.00,10,high,Q1: Automation opportunity,31473335.77,98187055700.00
Software Quality Assurance Analysts and Testers,49.63,360283.98,40939451965.53,75.24,546177.09,62062683863.72,25.61,-0.87,725946.38,113631.06,Computer and Mathematical Occupations,4.00,5,moderate,Q1: Automation opportunity,9225792.88,82490056662.56
Software Developers,45.16,327857.15,37254756564.89,64.68,469541.70,53354522704.87,19.52,-1.65,725946.38,113631.06,Computer and Mathematical Occupations,4.00,5,moderate,Q3: Tool gap,6398859.97,82490056662.56
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",75.10,1305154.98,60415624181.77,90.87,1579176.43,73100076739.57,15.77,-1.11,1737820.00,46290.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,20579832.83,80443687800.00
"Bookkeeping, Accounting, and Auditing Clerks",69.59,1013026.79,49851048430.02,82.82,1205693.98,59332200900.88,13.23,1.01,1455770.00,49210.00,Office and Administrative Support Occupations,3.00,11,high,Q1: Automation opportunity,13407133.44,71638441700.00
Human Resources Specialists,75.84,695759.72,50727841250.31,86.37,792364.65,57771306499.32,10.53,-1.23,917460.00,72910.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,7326076.04,66892008600.00
Medical and Health Services Managers,47.27,267480.24,31551968799.74,65.06,368154.77,43427537248.36,17.79,-3.35,565840.00,117960.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,4759021.84,66746486400.00
First-Line Supervisors of Retail Sales Workers,67.18,747844.83,35388017512.09,81.60,908388.03,42984921619.19,14.42,0.26,1113160.00,47320.00,Sales and Related Occupations,2.00,11,high,Q1: Automation opportunity,10785637.36,52674731200.00
"Entertainment and Recreation Managers, Except Gambling",39.76,222948.84,20047680499.91,54.73,306876.04,27594459120.87,14.97,-0.38,560732.43,89920.54,Management Occupations,4.00,8,high,Q1: Automation opportunity,3336969.59,50421362901.11
First-Line Supervisors of Food Preparation and Serving Workers,36.45,432822.87,18182888890.75,53.71,637739.38,26791431550.39,17.26,0.91,1187460.00,42010.00,Food Preparation and Serving Related Occupations,2.00,11,high,Q1: Automation opportunity,7469098.19,49885194600.00
