title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score
Cashiers,46.94,1477540.91,46084501118.56,68.24,2148107.83,66999483179.98,21.30,3.56,3148030.00,31190.00,Sales and Related Occupations,2.00,10,high,Q1: Automation opportunity,31473335.77
Retail Salespersons,57.36,2179886.98,75380491682.11,69.00,2622196.64,90675559889.75,11.64,1.40,3800250.00,34580.00,Sales and Related Occupations,2.00,11,high,Q1: Automation opportunity,25371622.35
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",75.10,1305154.98,60415624181.77,90.87,1579176.43,73100076739.57,15.77,-1.11,1737820.00,46290.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,20579832.83
"Office Clerks, General",71.37,1791660.63,78170153362.97,82.44,2069678.99,90300094127.05,11.07,1.31,2510550.00,43630.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,19840853.16
Stockers and Order Fillers,23.26,646480.80,23977972713.46,44.66,1241241.34,46037641144.32,21.40,3.27,2779530.00,37090.00,Transportation and Material Moving Occupations,2.00,6,moderate,Q1: Automation opportunity,13833319.56
"Bookkeeping, Accounting, and Auditing Clerks",69.59,1013026.79,49851048430.02,82.82,1205693.98,59332200900.88,13.23,1.01,1455770.00,49210.00,Office and Administrative Support Occupations,3.00,11,high,Q1: Automation opportunity,13407133.44
Medical Secretaries and Administrative Assistants,31.36,260566.70,11631697449.06,73.25,608508.61,27163824298.54,41.88,1.02,830760.00,44640.00,Office and Administrative Support Occupations,2.00,7,moderate,Q1: Automation opportunity,10913148.79
First-Line Supervisors of Retail Sales Workers,67.18,747844.83,35388017512.09,81.60,908388.03,42984921619.19,14.42,0.26,1113160.00,47320.00,Sales and Related Occupations,2.00,11,high,Q1: Automation opportunity,10785637.36
Software Quality Assurance Analysts and Testers,49.63,360283.98,40939451965.53,75.24,546177.09,62062683863.72,25.61,-0.87,725946.38,113631.06,Computer and Mathematical Occupations,4.00,5,moderate,Q1: Automation opportunity,9225792.88
Receptionists and Information Clerks,73.83,712141.63,26513032975.50,84.57,815674.39,30367557375.49,10.73,1.14,964530.00,37230.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,7644135.88
