title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score
Cashiers,46.94,1477540.91,46084501118.56,68.24,2148107.83,66999483179.98,21.30,3.56,3148030.00,31190.00,Sales and Related Occupations,2.00,10,high,Q1: Automation opportunity,31473335.77
Retail Salespersons,57.36,2179886.98,75380491682.11,69.00,2622196.64,90675559889.75,11.64,1.40,3800250.00,34580.00,Sales and Related Occupations,2.00,11,high,Q1: Automation opportunity,25371622.35
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",75.10,1305154.98,60415624181.77,90.87,1579176.43,73100076739.57,15.77,-1.11,1737820.00,46290.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,20579832.83
"Office Clerks, General",71.37,1791660.63,78170153362.97,82.44,2069678.99,90300094127.05,11.07,1.31,2510550.00,43630.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,19840853.16
"Bookkeeping, Accounting, and Auditing Clerks",69.59,1013026.79,49851048430.02,82.82,1205693.98,59332200900.88,13.23,1.01,1455770.00,49210.00,Office and Administrative Support Occupations,3.00,11,high,Q1: Automation opportunity,13407133.44
First-Line Supervisors of Retail Sales Workers,67.18,747844.83,35388017512.09,81.60,908388.03,42984921619.19,14.42,0.26,1113160.00,47320.00,Sales and Related Occupations,2.00,11,high,Q1: Automation opportunity,10785637.36
Receptionists and Information Clerks,73.83,712141.63,26513032975.50,84.57,815674.39,30367557375.49,10.73,1.14,964530.00,37230.00,Office and Administrative Support Occupations,2.00,11,high,Q1: Automation opportunity,7644135.88
First-Line Supervisors of Food Preparation and Serving Workers,36.45,432822.87,18182888890.75,53.71,637739.38,26791431550.39,17.26,0.91,1187460.00,42010.00,Food Preparation and Serving Related Occupations,2.00,11,high,Q1: Automation opportunity,7469098.19
Executive Secretaries and Executive Administrative Assistants,64.84,306536.60,22763407867.54,87.55,413906.11,30736667905.74,22.71,-0.85,472770.00,74260.00,Office and Administrative Support Occupations,3.00,11,high,Q1: Automation opportunity,6961669.61
Billing and Posting Clerks,36.77,153517.97,7241442843.95,66.60,278042.82,13115279680.47,29.83,1.18,417500.00,47170.00,Office and Administrative Support Occupations,3.00,9,high,Q1: Automation opportunity,4578874.64
