title_current,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,adoption_gap,ska_overall_gap,emp_nat,median_wage,major,job_zone,risk_score,risk_tier,quadrant,opportunity_score
General and Operations Managers,27.87,999093.32,102856656979.21,52.31,1875106.72,193042237156.46,24.44,-1.69,3584420.00,102950.00,Management Occupations,4.00,5,moderate,Q3: Tool gap,24417315.49
Human Resources Specialists,75.84,695759.72,50727841250.31,86.37,792364.65,57771306499.32,10.53,-1.23,917460.00,72910.00,Business and Financial Operations Occupations,4.00,7,moderate,Q3: Tool gap,7326076.04
Software Developers,45.16,327857.15,37254756564.89,64.68,469541.70,53354522704.87,19.52,-1.65,725946.38,113631.06,Computer and Mathematical Occupations,4.00,5,moderate,Q3: Tool gap,6398859.97
Accountants and Auditors,28.09,406788.64,33226496491.62,43.59,631369.97,51570298906.80,15.51,-1.67,1448290.00,81680.00,Business and Financial Operations Occupations,4.00,3,low,Q3: Tool gap,6307930.85
Medical and Health Services Managers,47.27,267480.24,31551968799.74,65.06,368154.77,43427537248.36,17.79,-3.35,565840.00,117960.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,4759021.84
Heavy and Tractor-Trailer Truck Drivers,21.53,445791.35,25606255274.51,29.40,608734.10,34965686776.13,7.87,-1.21,2070480.00,57440.00,Transportation and Material Moving Occupations,2.00,2,low,Q3: Tool gap,3508291.24
Computer Systems Analysts,70.69,285190.50,29599922217.58,80.71,325592.31,33793226211.67,10.01,-1.78,403416.00,103790.00,Computer and Mathematical Occupations,3.00,6,moderate,Q3: Tool gap,2856161.59
Network and Computer Systems Administrators,73.68,234714.64,22720377430.12,85.55,272541.99,26382064346.84,11.87,-1.75,318570.00,96800.00,Computer and Mathematical Occupations,4.00,5,moderate,Q3: Tool gap,2787026.90
Security Management Specialists,49.70,240075.27,19510916823.64,59.51,287414.69,23358191516.39,9.80,-2.50,483001.00,81270.00,Business and Financial Operations Occupations,4.00,5,moderate,Q3: Tool gap,2353002.15
Treasurers and Controllers,47.63,136491.96,22070750235.64,64.19,183938.05,29742782695.97,16.56,-4.68,286560.00,161700.00,Management Occupations,4.00,7,moderate,Q3: Tool gap,2259914.04
Legal Secretaries and Administrative Assistants,33.57,51875.98,2808565782.42,74.10,114513.33,6199751777.18,40.53,-1.22,154540.00,54140.00,Office and Administrative Support Occupations,3.00,7,moderate,Q3: Tool gap,2102610.36
Paralegals and Legal Assistants,41.59,152714.69,9317123092.37,55.24,202847.37,12375718252.29,13.65,-1.45,367220.00,61010.00,Legal Occupations,3.00,9,high,Q3: Tool gap,2084853.07
