major,quadrant,n_occs,emp
Architecture and Engineering Occupations,Q1: Automation opportunity,10,456957.00
Architecture and Engineering Occupations,Q2: Already adopted,1,16713.00
Architecture and Engineering Occupations,Q3: Tool gap,23,1055470.50
Architecture and Engineering Occupations,Q4: Low priority,21,1006750.50
"Arts, Design, Entertainment, Sports, and Media Occupations",Q1: Automation opportunity,14,582620.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Q2: Already adopted,8,413409.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Q3: Tool gap,7,646124.00
"Arts, Design, Entertainment, Sports, and Media Occupations",Q4: Low priority,9,369567.00
Building and Grounds Cleaning and Maintenance Occupations,Q1: Automation opportunity,2,1067560.00
Building and Grounds Cleaning and Maintenance Occupations,Q2: Already adopted,5,3350780.00
Building and Grounds Cleaning and Maintenance Occupations,Q4: Low priority,1,47870.00
Business and Financial Operations Occupations,Q1: Automation opportunity,12,1244651.00
Business and Financial Operations Occupations,Q2: Already adopted,4,501124.00
Business and Financial Operations Occupations,Q3: Tool gap,17,4136455.00
Business and Financial Operations Occupations,Q4: Low priority,12,3066140.00
Community and Social Service Occupations,Q2: Already adopted,1,424220.00
Community and Social Service Occupations,Q3: Tool gap,4,306770.00
Community and Social Service Occupations,Q4: Low priority,9,1501053.33
Computer and Mathematical Occupations,Q1: Automation opportunity,8,1506169.36
Computer and Mathematical Occupations,Q2: Already adopted,3,209338.73
Computer and Mathematical Occupations,Q3: Tool gap,11,1977428.36
Computer and Mathematical Occupations,Q4: Low priority,9,1236259.00
Construction and Extraction Occupations,Q1: Automation opportunity,6,261755.00
Construction and Extraction Occupations,Q2: Already adopted,28,2557967.00
Construction and Extraction Occupations,Q3: Tool gap,4,75898.93
Construction and Extraction Occupations,Q4: Low priority,23,3431468.00
Educational Instruction and Library Occupations,Q1: Automation opportunity,10,2660175.00
Educational Instruction and Library Occupations,Q2: Already adopted,5,776550.00
Educational Instruction and Library Occupations,Q3: Tool gap,15,476823.33
Educational Instruction and Library Occupations,Q4: Low priority,31,3876580.00
"Farming, Fishing, and Forestry Occupations",Q1: Automation opportunity,3,59710.00
"Farming, Fishing, and Forestry Occupations",Q2: Already adopted,6,85810.00
"Farming, Fishing, and Forestry Occupations",Q4: Low priority,3,288320.00
Food Preparation and Serving Related Occupations,Q1: Automation opportunity,3,1907500.00
Food Preparation and Serving Related Occupations,Q2: Already adopted,12,11410510.00
Food Preparation and Serving Related Occupations,Q4: Low priority,1,182320.00
Healthcare Practitioners and Technical Occupations,Q1: Automation opportunity,10,1858233.00
Healthcare Practitioners and Technical Occupations,Q2: Already adopted,16,1010786.67
Healthcare Practitioners and Technical Occupations,Q3: Tool gap,10,477736.57
Healthcare Practitioners and Technical Occupations,Q4: Low priority,46,5656098.00
Healthcare Support Occupations,Q1: Automation opportunity,7,1177590.00
Healthcare Support Occupations,Q2: Already adopted,12,6270410.00
"Installation, Maintenance, and Repair Occupations",Q1: Automation opportunity,7,266000.00
"Installation, Maintenance, and Repair Occupations",Q2: Already adopted,16,889160.00
"Installation, Maintenance, and Repair Occupations",Q3: Tool gap,10,1751270.00
"Installation, Maintenance, and Repair Occupations",Q4: Low priority,17,3128920.00
Legal Occupations,Q2: Already adopted,1,48170.00
Legal Occupations,Q3: Tool gap,2,383450.00
Legal Occupations,Q4: Low priority,4,794410.00
"Life, Physical, and Social Science Occupations",Q1: Automation opportunity,9,230592.98
"Life, Physical, and Social Science Occupations",Q2: Already adopted,6,122084.10
"Life, Physical, and Social Science Occupations",Q3: Tool gap,15,611247.00
"Life, Physical, and Social Science Occupations",Q4: Low priority,29,521885.00
Management Occupations,Q1: Automation opportunity,6,1022013.95
Management Occupations,Q2: Already adopted,1,296640.00
Management Occupations,Q3: Tool gap,39,7795766.96
Management Occupations,Q4: Low priority,8,2286604.00
Office and Administrative Support Occupations,Q1: Automation opportunity,43,13240470.00
Office and Administrative Support Occupations,Q2: Already adopted,5,2848110.00
Office and Administrative Support Occupations,Q3: Tool gap,2,255680.00
Office and Administrative Support Occupations,Q4: Low priority,1,1495580.00
Personal Care and Service Occupations,Q1: Automation opportunity,15,1480284.00
Personal Care and Service Occupations,Q2: Already adopted,13,1391426.00
Personal Care and Service Occupations,Q3: Tool gap,1,107697.71
Production Occupations,Q1: Automation opportunity,42,4347974.00
Production Occupations,Q2: Already adopted,36,1987034.00
Production Occupations,Q3: Tool gap,18,576317.00
Production Occupations,Q4: Low priority,11,647973.00
Protective Service Occupations,Q1: Automation opportunity,7,630558.00
Protective Service Occupations,Q2: Already adopted,6,1935875.00
Protective Service Occupations,Q3: Tool gap,5,389282.00
Protective Service Occupations,Q4: Low priority,7,606605.00
Sales and Related Occupations,Q1: Automation opportunity,13,10102780.00
Sales and Related Occupations,Q2: Already adopted,4,534120.00
Sales and Related Occupations,Q4: Low priority,3,1421020.00
Transportation and Material Moving Occupations,Q1: Automation opportunity,21,11890548.87
Transportation and Material Moving Occupations,Q2: Already adopted,9,1396083.33
Transportation and Material Moving Occupations,Q3: Tool gap,15,2747269.33
Transportation and Material Moving Occupations,Q4: Low priority,4,69030.00
