major,mean_ska_gap,mean_adoption_gap,total_workers,n_occs
Architecture and Engineering Occupations,-2.60,9.16,2535891.00,55
"Arts, Design, Entertainment, Sports, and Media Occupations",-0.89,9.87,2011720.00,38
Building and Grounds Cleaning and Maintenance Occupations,0.58,5.95,4466210.00,8
Business and Financial Operations Occupations,-1.35,9.42,8948370.00,45
Community and Social Service Occupations,-2.46,6.90,2232043.33,14
Computer and Mathematical Occupations,-1.75,9.98,4929195.45,31
Construction and Extraction Occupations,-0.91,2.74,6327088.93,61
Educational Instruction and Library Occupations,-2.01,7.17,7790128.33,61
"Farming, Fishing, and Forestry Occupations",0.03,5.78,433840.00,12
Food Preparation and Serving Related Occupations,2.00,5.43,13500330.00,16
Healthcare Practitioners and Technical Occupations,-2.18,4.97,9002854.24,82
Healthcare Support Occupations,0.70,5.71,7448000.00,19
"Installation, Maintenance, and Repair Occupations",-1.26,5.56,6035350.00,50
Legal Occupations,-3.14,6.14,1226030.00,7
"Life, Physical, and Social Science Occupations",-2.36,8.37,1485809.08,59
Management Occupations,-2.24,15.35,11401024.91,54
Office and Administrative Support Occupations,0.65,16.30,17839840.00,51
Personal Care and Service Occupations,1.11,8.84,2979407.71,29
Production Occupations,-0.41,8.56,7559298.00,107
Protective Service Occupations,-0.89,10.75,3562320.00,25
Sales and Related Occupations,0.13,11.90,12057920.00,20
Transportation and Material Moving Occupations,-0.71,13.17,16102931.53,49
