category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Maintain operational records.,21.23,1231274.90,78229490621.61,72.96,3871861.22,222607161502.85,51.73,2640586.33,144377670881.24
"Direct organizational operations, activities, or procedures.",20.66,1151934.75,105089164974.34,31.98,2186305.90,196389842495.98,11.31,1034371.16,91300677521.63
Assign work to others.,27.81,392233.59,22729678310.41,75.29,1039716.27,78191484106.84,47.48,647482.67,55461805796.43
Maintain sales or financial records.,28.09,689913.97,29696354893.39,75.17,1396772.00,57781370759.66,47.08,706858.03,28085015866.26
Execute financial transactions.,62.95,2732000.37,110534553123.46,77.78,3489310.10,137639935708.74,14.83,757309.72,27105382585.29
Maintain health or medical records.,33.32,671018.26,54680431936.10,51.60,1117209.74,80786914281.99,18.28,446191.48,26106482345.89
Collect fares or payments.,14.06,406152.32,17535381248.95,54.03,849039.16,40112792491.78,39.96,442886.84,22577411242.83
Operate lifting or moving equipment.,0.87,476.14,25929393.48,26.08,535804.42,22245017398.62,25.21,535328.29,22219088005.14
Analyze data to improve operations.,40.74,636558.72,69264715689.54,74.56,913622.32,90652204805.42,33.81,277063.60,21387489115.88
Manage budgets or finances.,42.79,323290.56,46734964905.80,65.39,518245.35,67274029256.65,22.60,194954.79,20539064350.85
"Replenish inventories of materials, equipment, or products.",15.89,123904.89,8032535466.55,47.15,384963.85,24277171813.97,31.26,261058.96,16244636347.42
Determine values or prices of goods or services.,65.47,1510441.45,72130676043.97,76.00,1920107.18,88053046139.79,10.53,409665.73,15922370095.82
Direct scientific or technical activities.,21.89,84571.49,9001606990.66,48.07,244881.25,24663695444.96,26.18,160309.76,15662088454.29
Supervise personnel activities.,18.70,496204.52,34276831087.08,22.42,644005.24,49677375465.33,3.72,147800.72,15400544378.25
Negotiate contracts or agreements.,30.13,181633.88,13857322914.95,48.53,383139.18,28578845808.41,18.41,201505.30,14721522893.46
Evaluate personnel capabilities or performance.,25.97,136789.26,15794394921.58,49.18,294401.44,30382252608.80,23.20,157612.18,14587857687.23
Sell products or services.,20.26,210647.78,10783355697.14,52.02,517603.06,24209516818.49,31.76,306955.29,13426161121.35
Schedule appointments.,57.54,606806.79,26860244751.82,95.56,860357.12,39931220355.57,38.02,253550.33,13070975603.75
"Develop organizational policies, systems, or processes.",36.62,728812.37,76545134610.64,54.25,873005.54,89542358562.09,17.63,144193.17,12997223951.44
Process digital or online data.,65.96,584943.88,38828671769.29,86.60,789613.30,51703126851.31,20.64,204669.42,12874455082.03
Process shipments or mail.,18.18,149604.88,7884941793.98,48.90,434726.58,20645102512.15,30.72,285121.70,12760160718.18
Monitor resources or inventories.,20.80,164862.78,10404060772.76,47.52,413119.01,22659812117.27,26.72,248256.23,12255751344.50
Analyze business or financial data.,69.26,598006.64,54116167722.75,77.07,730191.76,65690037029.96,7.81,132185.12,11573869307.21
Monitor operations to ensure adequate performance.,12.22,110147.40,8892218758.44,35.54,296092.12,20398074394.65,23.32,185944.72,11505855636.21
Monitor equipment operation.,7.18,173422.06,8026552467.77,35.55,347534.94,19296185260.52,28.37,174112.88,11269632792.75
Operate transportation equipment or vehicles.,1.41,20272.44,1486951738.74,9.36,209159.77,12690894889.69,7.95,188887.32,11203943150.95
"Prepare financial documents, reports, or budgets.",30.22,202839.70,17918869618.48,53.10,342774.60,29093834724.37,22.89,139934.90,11174965105.89
Prepare legal or regulatory documents.,41.77,167530.10,12724170251.42,58.88,289986.11,23619479251.38,17.10,122456.00,10895308999.96
Notify others of emergencies or problems.,8.80,144003.64,9273258530.43,39.72,341290.30,20077725343.79,30.93,197286.66,10804466813.36
Develop operational or technical procedures or standards.,66.44,562372.17,57372573536.56,70.95,663156.17,67732957704.99,4.51,100784.00,10360384168.43
